;1503.1;1508.3;FlorPanc27;Giunta;ModD4;Pet-1505;Pet-1515;Pet-1519;SGall463;VatS41-13a
1503.1;0;201;117;222;227;221;221;225;39;122
1508.3;201;0;159;205;205;204;204;208;208;167
FlorPanc27;117;159;0;133;134;131;132;135;124;28
Giunta;222;205;133;0;37;4;5;8;218;125
ModD4;227;205;134;37;0;33;34;37;221;133
Pet-1505;221;204;131;4;33;0;1;4;217;123
Pet-1515;221;204;132;5;34;1;0;5;217;124
Pet-1519;225;208;135;8;37;4;5;0;219;127
SGall463;39;208;124;218;221;217;217;219;0;121
VatS41-13a;122;167;28;125;133;123;124;127;121;0
;;;;;;;;;;
1503.1;0;225,85417;123,40179;217,78542;219,00417;215,06146;215,88958;219,03021;39;119,97321
1508.3;225,85417;0;144,04762;205,63125;206,85;202,90729;203,73542;206,87604;224,47917;140,61905
FlorPanc27;123,40179;144,04762;0;135,97887;137,19762;133,25491;134,08304;137,22366;122,02679;28
Giunta;217,78542;205,63125;135,97887;0;36,09375;4,06771;4,89583;8,03646;216,41042;132,5503
ModD4;219,00417;206,85;137,19762;36,09375;0;33,36979;34,19792;37,33854;217,62917;133,76905
Pet-1505;215,06146;202,90729;133,25491;4,06771;33,36979;0;1,01563;4;213,68646;129,82634
Pet-1515;215,88958;203,73542;134,08304;4,89583;34,19792;1,01563;0;4,98438;214,51458;130,65446
Pet-1519;219,03021;206,87604;137,22366;8,03646;37,33854;4;4,98438;0;217,65521;133,79509
SGall463;39;224,47917;122,02679;216,41042;217,62917;213,68646;214,51458;217,65521;0;118,59821
VatS41-13a;119,97321;140,61905;28;132,5503;133,76905;129,82634;130,65446;133,79509;118,59821;0
;;;;;;;;;;
1503.1;0;-24,85417;-6,40179;4,21458;7,99583;5,93854;5,11042;5,96979;0;2,02679
1508.3;-24,85417;0;14,95238;-0,63125;-1,85;1,09271;0,26458;1,12396;-16,47917;26,38095
FlorPanc27;-6,40179;14,95238;0;-2,97887;-3,19762;-2,25491;-2,08304;-2,22366;1,97321;0
Giunta;4,21458;-0,63125;-2,97887;0;0,90625;-0,06771;0,10417;-0,03646;1,58958;-7,5503
ModD4;7,99583;-1,85;-3,19762;0,90625;0;-0,36979;-0,19792;-0,33854;3,37083;-0,76905
Pet-1505;5,93854;1,09271;-2,25491;-0,06771;-0,36979;0;-0,01563;0;3,31354;-6,82634
Pet-1515;5,11042;0,26458;-2,08304;0,10417;-0,19792;-0,01563;0;0,01562;2,48542;-6,65446
Pet-1519;5,96979;1,12396;-2,22366;-0,03646;-0,33854;0;0,01562;0;1,34479;-6,79509
SGall463;0;-16,47917;1,97321;1,58958;3,37083;3,31354;2,48542;1,34479;0;2,40179
VatS41-13a;2,02679;26,38095;0;-7,5503;-0,76905;-6,82634;-6,65446;-6,79509;2,40179;0
