1503-1
Panc27
ModD4
Pet-1515
SGall-463
Giunta
1508-3
Pet-1505
VatS41
Pet-1519

Matrix------
0	169	109	155	150	152	152	155	39	164	
169	0	95	161	164	161	161	170	168	174	
109	95	0	121	124	113	114	116	119	133	
155	161	121	0	41	4	5	9	156	50	
150	164	124	41	0	37	38	42	164	84	
152	161	113	4	37	0	1	5	156	46	
152	161	114	5	38	1	0	6	154	47	
155	170	116	9	42	5	6	0	160	51	
39	168	119	156	164	156	154	160	0	161	
164	174	133	50	84	46	47	51	161	0	

Between		And		Length
-------		---		------
1503-1		1503-1SGall-463		17.5
SGall-463		1503-1SGall-463		21.5
1508-3		1508-3Panc27		70.67857
Panc27		1508-3Panc27		24.32143
1503-1SGall-463		1503-1SGall-4631508-3Panc27		58.08333
1508-3Panc27		1503-1SGall-4631508-3Panc27		16.16667
1503-1SGall-4631508-3Panc27		1503-1SGall-4631508-3Panc27VatS41		54.55
VatS41		1503-1SGall-4631508-3Panc27VatS41		32.825
1503-1SGall-4631508-3Panc27VatS41		1503-1SGall-4631508-3Panc27VatS41ModD4		8.82813
ModD4		1503-1SGall-4631508-3Panc27VatS41ModD4		29.42188
Pet-1505		Pet-1505Pet-1519		0.01042
Pet-1519		Pet-1505Pet-1519		4.98958
1503-1SGall-4631508-3Panc27VatS41ModD4		1503-1SGall-4631508-3Panc27VatS41ModD4Giunta		7.50781
Giunta		1503-1SGall-4631508-3Panc27VatS41ModD4Giunta		3.92969
Pet-1505Pet-1519		Pet-1505Pet-1519Pet-1515		0.07031
Pet-1515		Pet-1505Pet-1519Pet-1515		0.92969
1503-1SGall-4631508-3Panc27VatS41ModD4Giunta		Pet-1505Pet-1519Pet-1515		0.07031
