1503-1
Panc27
ModD4
Pet-1515
SGall-463
VatS41
1508-3
Pet-1519
Giunta
Pet-1505

Matrix------
0	164	101	143	143	136	136	148	26	159	
164	0	94	160	160	157	157	160	169	165	
101	94	0	124	125	118	119	121	108	121	
143	160	124	0	32	2	3	7	142	33	
143	160	125	32	0	30	31	35	153	47	
136	157	118	2	30	0	1	5	137	31	
136	157	119	3	31	1	0	6	138	32	
148	160	121	7	35	5	6	0	139	36	
26	169	108	142	153	137	138	139	0	145	
159	165	121	33	47	31	32	36	145	0	

Between		And		Length
-------		---		------
1503-1		1503-1SGall-463		12.9375
SGall-463		1503-1SGall-463		13.0625
1508-3		1508-3Panc27		67.92857
Panc27		1508-3Panc27		26.07143
1503-1SGall-463		1503-1SGall-4631508-3Panc27		56.08333
1508-3Panc27		1503-1SGall-4631508-3Panc27		19.41667
1503-1SGall-4631508-3Panc27		1503-1SGall-4631508-3Panc27ModD4		58
ModD4		1503-1SGall-4631508-3Panc27ModD4		19.5
1503-1SGall-4631508-3Panc27ModD4		1503-1SGall-4631508-3Panc27ModD4VatS41		2.42188
VatS41		1503-1SGall-4631508-3Panc27ModD4VatS41		22.20313
1503-1SGall-4631508-3Panc27ModD4VatS41		1503-1SGall-4631508-3Panc27ModD4VatS41Pet-1515		8.69792
Pet-1515		1503-1SGall-4631508-3Panc27ModD4VatS41Pet-1515		0.80208
Giunta		GiuntaPet-1505		2.10156
Pet-1505		GiuntaPet-1505		-0.10156
1503-1SGall-4631508-3Panc27ModD4VatS41Pet-1515		1503-1SGall-4631508-3Panc27ModD4VatS41Pet-1515Pet-1519		0.16406
Pet-1519		1503-1SGall-4631508-3Panc27ModD4VatS41Pet-1515Pet-1519		4.89844
1503-1SGall-4631508-3Panc27ModD4VatS41Pet-1515Pet-1519		GiuntaPet-1505		0.10156
