1503-1
Panc27
ModD4
Pet-1515
Pet-1505
1508-3
Pet-1519
SGall-463
Giunta
VatS41

Matrix------
0	223	93	199	198	196	197	200	27	205	
223	0	174	222	217	221	221	224	221	232	
93	174	0	117	124	117	118	120	95	122	
199	222	117	0	32	2	3	7	198	32	
198	217	124	32	0	30	31	35	201	46	
196	221	117	2	30	0	1	5	194	30	
197	221	118	3	31	1	0	6	195	31	
200	224	120	7	35	5	6	0	198	35	
27	221	95	198	201	194	195	198	0	205	
205	232	122	32	46	30	31	35	205	0	

Between		And		Length
-------		---		------
1503-1		1503-1SGall-463		13.75
SGall-463		1503-1SGall-463		13.25
1503-1SGall-463		1503-1SGall-463Panc27		70.85714
Panc27		1503-1SGall-463Panc27		9.64286
1503-1SGall-463Panc27		1503-1SGall-463Panc271508-3		20.20833
1508-3		1503-1SGall-463Panc271508-3		130.79167
1503-1SGall-463Panc271508-3		1503-1SGall-463Panc271508-3ModD4		73.975
ModD4		1503-1SGall-463Panc271508-3ModD4		16.4
1503-1SGall-463Panc271508-3ModD4		1503-1SGall-463Panc271508-3ModD4VatS41		5.69531
VatS41		1503-1SGall-463Panc271508-3ModD4VatS41		21.49219
1503-1SGall-463Panc271508-3ModD4VatS41		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519		8.42188
Pet-1519		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519		4.82813
Pet-1505		Pet-1505Pet-1515		0.01563
Pet-1515		Pet-1505Pet-1515		0.98438
1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519Giunta		0.16406
Giunta		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519Giunta		1.97656
1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519Giunta		Pet-1505Pet-1515		0.02344
