1503-1
Panc27
ModD4
Pet-1515
Giunta
1508-3
Pet-1505
Pet-1519
SGall-463
VatS41

Matrix------
0	201	117	222	227	221	221	225	39	235	
201	0	159	205	205	204	204	208	208	213	
117	159	0	133	134	131	132	135	124	144	
222	205	133	0	37	4	5	8	218	51	
227	205	134	37	0	33	34	37	221	62	
221	204	131	4	33	0	1	4	217	47	
221	204	132	5	34	1	0	5	217	48	
225	208	135	8	37	4	5	0	219	51	
39	208	124	218	221	217	217	219	0	237	
235	213	144	51	62	47	48	51	237	0	

Between		And		Length
-------		---		------
1503-1		1503-1SGall-463		20
SGall-463		1503-1SGall-463		19
1503-1SGall-463		1503-1SGall-463Panc27		81.92857
Panc27		1503-1SGall-463Panc27		19.07143
1503-1SGall-463Panc27		1503-1SGall-463Panc271508-3		16.91667
1508-3		1503-1SGall-463Panc271508-3		104.58333
1503-1SGall-463Panc271508-3		1503-1SGall-463Panc271508-3VatS41		79.5
VatS41		1503-1SGall-463Panc271508-3VatS41		31.125
1503-1SGall-463Panc271508-3VatS41		1503-1SGall-463Panc271508-3VatS41ModD4		5.14063
ModD4		1503-1SGall-463Panc271508-3VatS41ModD4		21.10938
1503-1SGall-463Panc271508-3VatS41ModD4		1503-1SGall-463Panc271508-3VatS41ModD4Giunta		11.73958
Giunta		1503-1SGall-463Panc271508-3VatS41ModD4Giunta		3.69792
Pet-1505		Pet-1505Pet-1519		0.00781
Pet-1519		Pet-1505Pet-1519		3.99219
1503-1SGall-463Panc271508-3VatS41ModD4Giunta		1503-1SGall-463Panc271508-3VatS41ModD4GiuntaPet-1515		0.28906
Pet-1515		1503-1SGall-463Panc271508-3VatS41ModD4GiuntaPet-1515		0.96094
1503-1SGall-463Panc271508-3VatS41ModD4GiuntaPet-1515		Pet-1505Pet-1519		0.03906
