1503-1
Panc27
ModD4
Giunta
Pet-1505
1508-3
Pet-1515
SGall-463
Pet-1519
VatS41

Matrix------
0	130	74	116	121	116	116	116	4	118	
130	0	78	127	124	131	138	131	132	129	
74	78	0	102	103	102	103	102	91	102	
116	127	102	0	8	1	2	2	116	6	
121	124	103	8	0	7	8	8	121	12	
116	131	102	1	7	0	1	1	116	5	
116	138	103	2	8	1	0	2	116	6	
116	131	102	2	8	1	2	0	116	6	
4	132	91	116	121	116	116	116	0	118	
118	129	102	6	12	5	6	6	118	0	

Between		And		Length
-------		---		------
1503-1		1503-1SGall-463		0.8125
SGall-463		1503-1SGall-463		3.1875
1508-3		1508-3Panc27		54.32143
Panc27		1508-3Panc27		23.67857
1503-1SGall-463		1503-1SGall-4631508-3Panc27		51.875
1508-3Panc27		1503-1SGall-4631508-3Panc27		13.875
1503-1SGall-4631508-3Panc27		1503-1SGall-4631508-3Panc27ModD4		59.225
ModD4		1503-1SGall-4631508-3Panc27ModD4		4.65
1503-1SGall-4631508-3Panc27ModD4		1503-1SGall-4631508-3Panc27ModD4VatS41		1.75
VatS41		1503-1SGall-4631508-3Panc27ModD4VatS41		4
1503-1SGall-4631508-3Panc27ModD4VatS41		1503-1SGall-4631508-3Panc27ModD4VatS41Giunta		0.875
Giunta		1503-1SGall-4631508-3Panc27ModD4VatS41Giunta		0.75
Pet-1505		Pet-1505Pet-1515		-0.03125
Pet-1515		Pet-1505Pet-1515		1.03125
1503-1SGall-4631508-3Panc27ModD4VatS41Giunta		1503-1SGall-4631508-3Panc27ModD4VatS41GiuntaPet-1519		0.21875
Pet-1519		1503-1SGall-4631508-3Panc27ModD4VatS41GiuntaPet-1519		0.90625
1503-1SGall-4631508-3Panc27ModD4VatS41GiuntaPet-1519		Pet-1505Pet-1515		0.09375
