1503-1
Panc27
ModD4
Pet-1515
Giunta
Pet-1505
1508-3
Pet-1519
SGall-463
VatS41

Matrix------
0	181	74	154	154	151	152	151	4	153	
181	0	141	181	176	181	181	181	182	183	
74	141	0	86	92	87	88	87	75	89	
154	181	86	0	7	1	2	2	155	7	
154	176	92	7	0	6	7	7	155	12	
151	181	87	1	6	0	1	1	152	6	
152	181	88	2	7	1	0	2	153	7	
151	181	87	2	7	1	2	0	152	7	
4	182	75	155	155	152	153	152	0	154	
153	183	89	7	12	6	7	7	154	0	

Between		And		Length
-------		---		------
1503-1		1503-1SGall-463		1.5
SGall-463		1503-1SGall-463		2.5
1503-1SGall-463		1503-1SGall-463Panc27		65.92857
Panc27		1503-1SGall-463Panc27		6.57143
1503-1SGall-463Panc27		1503-1SGall-463Panc271508-3		13.41667
1508-3		1503-1SGall-463Panc271508-3		110.58333
1503-1SGall-463Panc271508-3		1503-1SGall-463Panc271508-3ModD4		65.65
ModD4		1503-1SGall-463Panc271508-3ModD4		3.35
1503-1SGall-463Panc271508-3ModD4		1503-1SGall-463Panc271508-3ModD4VatS41		2.125
VatS41		1503-1SGall-463Panc271508-3ModD4VatS41		5.125
1503-1SGall-463Panc271508-3ModD4VatS41		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519		0.83333
Pet-1519		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519		0.91667
Giunta		GiuntaPet-1505		0.98438
Pet-1505		GiuntaPet-1505		0.01563
1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519Pet-1515		0.07813
Pet-1515		1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519Pet-1515		0.98438
1503-1SGall-463Panc271508-3ModD4VatS41Pet-1519Pet-1515		GiuntaPet-1505		0.01563
