Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;25,6;23;2008;2009;2017
randomized;96,5333333332;121;2008;2009;130
randomized;98,5333333332;113;2008;2009;131
randomized;83,1999999999;113;2008;2009;126
randomized;95,2666666666;118;2008;2009;130
randomized;92,1999999999;119;2008;2009;128
randomized;96,8666666666;121;2008;2009;129
randomized;93,3333333332;121;2008;2009;128
randomized;93,9999999999;118;2008;2009;129
randomized;97,6666666666;122;2008;2009;130
randomized;96,9333333332;121;2008;2009;131
randomized;93,3333333332;120;2008;2009;129
randomized;97,7333333332;122;2008;2009;129
randomized;94,1333333332;121;2008;2009;129
randomized;98,5999999999;122;2008;2009;130
randomized;92,7999999999;116;2008;2009;128
randomized;94,7333333332;120;2008;2009;129
randomized;95,1999999999;117;2008;2009;129
randomized;89,8666666666;119;2008;2009;128
randomized;98,9999999999;123;2008;2009;129
randomized;96,7333333332;120;2008;2009;131
randomized;93,9333333332;117;2008;2009;129
randomized;99,3333333332;122;2008;2009;129
randomized;93,7333333332;122;2008;2009;128
randomized;95,3333333332;112;2008;2009;132
randomized;88,3333333332;120;2008;2009;127
randomized;98,3333333332;119;2008;2009;131
randomized;99,9333333332;122;2008;2009;130
randomized;93,3999999999;120;2008;2009;128
randomized;87,9333333332;115;2008;2009;127
randomized;86,7333333332;118;2008;2009;127
randomized;98,1999999999;124;2008;2009;129
randomized;95,7999999999;123;2008;2009;129
randomized;99,3333333332;120;2008;2009;129
randomized;94,1999999999;121;2008;2009;130
randomized;95,3333333332;123;2008;2009;129
randomized;98,5333333332;122;2008;2009;129
randomized;95,3999999999;122;2008;2009;128
randomized;95,6666666666;117;2008;2009;130
randomized;94,3333333332;123;2008;2009;128
randomized;93,1333333332;120;2008;2009;129
randomized;98,7333333332;122;2008;2009;129
randomized;95,1333333332;120;2008;2009;130
randomized;92,5333333332;115;2008;2009;129
randomized;90,7333333332;119;2008;2009;128
randomized;96,9333333332;118;2008;2009;130
randomized;96,3333333332;121;2008;2009;130
randomized;89,9333333332;121;2008;2009;128
randomized;95,5999999999;118;2008;2009;131
randomized;88,7333333332;116;2008;2009;128
randomized;98,5333333332;120;2008;2009;130
randomized;96,1999999999;121;2008;2009;130
randomized;95,7333333332;117;2008;2009;129
randomized;95,1333333332;121;2008;2009;129
randomized;94,0666666666;120;2008;2009;129
randomized;90,1999999999;120;2008;2009;127
randomized;99,0666666666;118;2008;2009;132
randomized;96,3333333332;121;2008;2009;129
randomized;90,1333333332;116;2008;2009;129
randomized;91,1333333332;118;2008;2009;129
randomized;99,5333333332;124;2008;2009;130
randomized;95,1333333332;117;2008;2009;131
randomized;98,3333333332;123;2008;2009;129
randomized;94,5999999999;122;2008;2009;128
randomized;94,5333333332;121;2008;2009;129
randomized;95,9333333332;122;2008;2009;129
randomized;98,2666666666;122;2008;2009;130
randomized;95,4666666666;122;2008;2009;129
randomized;96,7333333332;122;2008;2009;130
randomized;95,3999999999;120;2008;2009;129
randomized;94,3999999999;120;2008;2009;130
randomized;89,6666666666;114;2008;2009;129
randomized;94,3333333332;120;2008;2009;129
randomized;90,7333333332;117;2008;2009;128
randomized;96,2666666666;121;2008;2009;130
randomized;93,9999999999;119;2008;2009;129
randomized;94,1333333332;122;2008;2009;128
randomized;93,7333333332;119;2008;2009;130
randomized;89,6666666666;119;2008;2009;129
randomized;93,1333333332;123;2008;2009;128
randomized;96,3999999999;119;2008;2009;130
randomized;92,5333333333;116;2008;2009;129
randomized;96,3999999999;118;2008;2009;131
randomized;95,7333333332;121;2008;2009;128
randomized;92,3333333332;122;2008;2009;128
randomized;95,5999999999;121;2008;2009;129
randomized;94,7333333332;121;2008;2009;128
randomized;94,5999999999;120;2008;2009;129
randomized;84,3333333332;113;2008;2009;128
randomized;96,0666666666;119;2008;2009;130
randomized;96,9999999999;124;2008;2009;131
randomized;90,3333333332;116;2008;2009;128
randomized;96,5999999999;123;2008;2009;129
randomized;92,7333333332;114;2008;2009;130
randomized;94,1999999999;118;2008;2009;128
randomized;93,9333333332;114;2008;2009;130
randomized;92,7333333332;119;2008;2009;129
randomized;96,5333333332;122;2008;2009;129
randomized;90,7333333332;116;2008;2009;128
randomized;97,5333333332;123;2008;2009;130
randomized;96,9333333332;119;2008;2009;131
randomized;93,5333333332;113;2008;2009;131
randomized;100,2666666666;121;2008;2009;131
randomized;100,3999999999;122;2008;2009;129
randomized;92,1333333332;115;2008;2009;129
randomized;94,7999999999;116;2008;2009;131
randomized;98,5333333332;120;2008;2009;129
randomized;87,9333333332;116;2008;2009;129
randomized;98,1333333332;121;2008;2009;131
randomized;99,5333333332;119;2008;2009;130
randomized;97,8666666666;120;2008;2009;130
randomized;92,7333333332;120;2008;2009;128
randomized;94,1333333332;118;2008;2009;129
randomized;94,7333333332;121;2008;2009;130
randomized;97,1333333332;120;2008;2009;129
randomized;93,5333333332;116;2008;2009;130
randomized;99,7333333332;126;2008;2009;129
randomized;95,3333333332;120;2008;2009;129
randomized;95,3333333332;117;2008;2009;129
randomized;90,7333333332;120;2008;2009;128
randomized;92,3333333332;118;2008;2009;130
randomized;94,5333333332;124;2008;2009;128
randomized;94,5333333332;116;2008;2009;130
randomized;94,9333333332;120;2008;2009;129
randomized;95,7333333333;121;2008;2009;129
randomized;96,4666666666;113;2008;2009;130
randomized;99,1333333332;122;2008;2009;129
randomized;97,9333333332;122;2008;2009;131
randomized;96,1333333332;119;2008;2009;130
randomized;95,9333333332;122;2008;2009;129
randomized;93,1333333332;118;2008;2009;129
randomized;100,1999999999;122;2008;2009;130
randomized;91,7999999999;117;2008;2009;128
randomized;89,9333333332;120;2008;2009;128
