Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;0,2857142857;1;227;227;228
randomized;193,8839285707;209;227;227;309
randomized;188,6869047611;211;227;227;297
randomized;196,2809523804;210;227;227;306
randomized;205,7136904754;223;227;227;299
randomized;205,3571428563;226;227;227;284
randomized;194,8636904751;213;227;227;309
randomized;191,3880952372;218;227;227;276
randomized;194,1666666655;218;227;227;288
randomized;195,7428571421;213;227;227;307
randomized;197,4726190467;213;227;227;301
randomized;195,7976190469;219;227;227;297
randomized;209,1404761898;218;227;227;308
randomized;206,5845238089;218;227;227;296
randomized;199,8333333320;221;227;227;297
randomized;195,5476190467;203;227;227;298
randomized;200,3404761897;216;227;227;299
randomized;205,0297619041;217;227;227;305
randomized;192,0226190459;215;227;227;295
randomized;203,9499999992;224;227;227;290
randomized;188,5134920625;217;227;227;302
randomized;193,0166666658;215;227;227;296
randomized;203,7285714277;213;227;227;295
randomized;192,1523809514;217;227;227;279
randomized;195,5428571416;211;227;227;300
randomized;192,8261904753;212;227;227;306
randomized;205,5654761898;218;227;227;307
randomized;193,4440476180;214;227;227;296
randomized;188,9714285703;214;227;227;288
randomized;194,5547619036;205;227;227;306
randomized;189,6523809516;215;227;227;296
randomized;185,2535714274;202;227;227;315
randomized;191,8440476184;204;227;227;309
randomized;190,5176587294;211;227;227;303
randomized;187,6619047615;208;227;227;306
randomized;184,9249999991;206;227;227;304
randomized;198,1095238084;217;227;227;292
randomized;195,9523809519;213;227;227;307
randomized;186,1148809517;203;227;227;317
randomized;184,3988095230;211;227;227;284
randomized;188,3714285704;209;227;227;306
randomized;196,6083333326;212;227;227;305
randomized;193,4952380946;219;227;227;293
randomized;200,0738095229;212;227;227;303
randomized;210,6333333322;227;227;227;292
randomized;204,5845238084;217;227;227;300
randomized;201,4499999991;223;227;227;286
randomized;204,9394841262;216;227;227;300
randomized;203,5523809517;218;227;227;292
randomized;197,5630952372;212;227;227;305
randomized;186,5130952373;210;227;227;303
randomized;196,8130952373;215;227;227;297
randomized;194,8464285707;209;227;227;301
randomized;197,2297619040;212;227;227;297
randomized;197,3202380944;216;227;227;297
randomized;204,8666666658;223;227;227;300
randomized;203,8744047607;219;227;227;309
randomized;193,6964285707;213;227;227;298
randomized;197,8591269833;211;227;227;297
randomized;205,6880952371;231;227;227;280
randomized;202,4952380940;215;227;227;301
randomized;194,6130952372;214;227;227;291
randomized;196,8714285705;209;227;227;305
randomized;199,4440476178;218;227;227;298
randomized;193,0928571417;219;227;227;289
randomized;199,9874999994;219;227;227;297
randomized;195,7734126977;211;227;227;297
randomized;192,5416666657;210;227;227;302
randomized;210,9571428560;227;227;227;292
randomized;199,3773809514;221;227;227;286
randomized;193,2488095227;210;227;227;303
randomized;188,7571428560;210;227;227;288
randomized;205,7738095226;224;227;227;293
randomized;206,1523809516;222;227;227;298
randomized;204,8404761899;217;227;227;300
randomized;195,5357142844;218;227;227;292
randomized;198,0523809513;211;227;227;296
randomized;201,5297619040;219;227;227;296
randomized;197,6452380944;212;227;227;308
randomized;193,2047619041;208;227;227;297
randomized;203,1476190467;224;227;227;291
randomized;188,1571428560;210;227;227;296
randomized;199,6523809515;221;227;227;296
randomized;199,4124999995;206;227;227;308
randomized;198,3702380943;212;227;227;302
randomized;198,2892857135;219;227;227;288
randomized;203,4892857134;219;227;227;297
randomized;211,1547619036;226;227;227;291
randomized;192,5738095228;219;227;227;288
randomized;205,0666666660;224;227;227;296
randomized;196,3416666653;214;227;227;295
randomized;198,5547619038;225;227;227;289
randomized;206,5547619034;225;227;227;286
randomized;199,4095238088;224;227;227;285
randomized;198,4821428562;215;227;227;298
randomized;202,0214285703;216;227;227;295
