Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;1,0;2;437;437;373
randomized;84,8999999999;200;437;437;270
randomized;85,3999999999;203;437;437;268
randomized;84,8083333333;196;437;437;263
randomized;86,6250000000;202;437;437;264
randomized;87,0666666666;203;437;437;262
randomized;88,8000000000;207;437;437;259
randomized;85,7333333333;203;437;437;268
randomized;86,6833333333;201;437;437;255
randomized;88,7944444444;210;437;437;271
randomized;89,2333333333;209;437;437;266
randomized;86,8833333333;203;437;437;260
randomized;87,7500000000;202;437;437;257
randomized;87,1333333333;205;437;437;264
randomized;88,6500000000;209;437;437;270
randomized;85,7166666666;201;437;437;264
randomized;88,4333333334;207;437;437;268
randomized;86,3333333333;201;437;437;265
randomized;89,7000000000;209;437;437;265
randomized;88,0500000000;207;437;437;268
randomized;88,5000000000;205;437;437;256
randomized;90,0000000000;209;437;437;264
randomized;86,70;204;437;437;263
randomized;87,0833333333;206;437;437;267
randomized;87,9333333333;207;437;437;265
randomized;88,6000000000;206;437;437;261
randomized;88,15;206;437;437;267
randomized;87,1833333334;204;437;437;266
randomized;84,15;196;437;437;259
randomized;86,2000000000;200;437;437;262
randomized;86,80;203;437;437;265
randomized;88,5833333333;206;437;437;263
randomized;86,3291666667;202;437;437;262
randomized;86,6499999999;200;437;437;258
randomized;88,8000000000;210;437;437;268
randomized;84,6500000000;198;437;437;259
randomized;86,9375000001;204;437;437;268
randomized;87,8166666666;205;437;437;264
randomized;87,3833333333;206;437;437;268
randomized;86,5333333334;200;437;437;261
randomized;85,9499999999;203;437;437;267
randomized;87,3000000000;206;437;437;267
randomized;86,65;203;437;437;263
randomized;86,6444444444;204;437;437;268
randomized;85,4000000000;196;437;437;250
randomized;86,4999999999;207;437;437;275
randomized;87,5777777778;206;437;437;263
randomized;84,7833333333;199;437;437;270
randomized;84,0083333332;200;437;437;271
randomized;83,1916666666;197;437;437;266
randomized;85,5333333333;202;437;437;272
randomized;85,2500000000;202;437;437;270
randomized;86,6999999999;205;437;437;262
randomized;83,9000000000;195;437;437;260
randomized;83,8500000000;195;437;437;262
randomized;88,3833333333;207;437;437;266
randomized;86,7833333332;207;437;437;272
randomized;86,3666666666;203;437;437;264
randomized;84,6666666667;196;437;437;264
randomized;88,6333333333;209;437;437;265
randomized;87,2000000000;206;437;437;265
randomized;86,6666666667;202;437;437;270
randomized;89,8500000000;210;437;437;264
randomized;84,9666666666;200;437;437;266
randomized;86,7083333333;202;437;437;263
randomized;87,5000000000;203;437;437;265
randomized;89,7333333333;209;437;437;265
randomized;88,2499999999;206;437;437;264
randomized;89,3333333333;212;437;437;271
randomized;90,0000000000;210;437;437;263
randomized;89,7249999999;212;437;437;269
randomized;87,5277777778;208;437;437;267
randomized;89,5166666665;206;437;437;253
randomized;87,7833333333;203;437;437;253
randomized;84,5666666666;200;437;437;267
randomized;87,2833333333;204;437;437;262
randomized;85,7750000000;201;437;437;261
randomized;88,3499999999;209;437;437;268
randomized;87,6333333333;207;437;437;267
randomized;87,4722222222;203;437;437;258
randomized;88,3666666667;206;437;437;266
randomized;84,0722222222;197;437;437;263
randomized;89,2416666666;211;437;437;269
randomized;86,7583333333;207;437;437;268
randomized;85,7083333333;206;437;437;270
randomized;86,6833333333;201;437;437;261
randomized;86,9416666666;201;437;437;254
randomized;88,0333333333;208;437;437;270
randomized;88,9666666667;206;437;437;265
randomized;87,4833333333;205;437;437;264
randomized;89,5000000000;207;437;437;262
randomized;87,7499999999;205;437;437;266
randomized;87,8666666667;206;437;437;265
randomized;86,6250000000;202;437;437;263
randomized;87,9666666667;203;437;437;257
randomized;89,8333333333;210;437;437;267
randomized;88,5833333333;208;437;437;264
randomized;88,2;208;437;437;264
randomized;88,4333333333;208;437;437;265
randomized;85,3250000000;201;437;437;268
randomized;87,5666666667;203;437;437;261
randomized;88,6333333333;208;437;437;266
randomized;89,2166666667;204;437;437;254
randomized;88,0166666666;206;437;437;265
randomized;86,2000;198;437;437;256
randomized;87,9166666666;207;437;437;267
randomized;90,1166666667;208;437;437;256
randomized;88,8833333333;209;437;437;268
randomized;85,3833333333;198;437;437;258
randomized;86,0666666667;203;437;437;265
randomized;88,8833333334;204;437;437;259
randomized;84,3000000000;199;437;437;266
randomized;84,2500000000;198;437;437;266
randomized;85,7166666665;199;437;437;257
randomized;88,2999999999;206;437;437;261
randomized;86,4166666666;201;437;437;262
randomized;86,8000000000;205;437;437;266
randomized;86,70;203;437;437;260
randomized;87,9166666666;207;437;437;269
randomized;87,5833333334;203;437;437;259
randomized;90,9833333333;212;437;437;263
randomized;87,9833333333;206;437;437;264
randomized;87,1499999999;204;437;437;265
randomized;89,1666666667;209;437;437;265
randomized;88,9833333333;210;437;437;266
randomized;89,7416666667;209;437;437;264
randomized;85,2999999999;202;437;437;265
randomized;86,7499999999;205;437;437;270
randomized;84,9666666666;199;437;437;266
randomized;83,4333333333;197;437;437;263
randomized;87,5000000000;206;437;437;268
randomized;84,2833333333;198;437;437;262
randomized;87,7833333333;203;437;437;262
randomized;86,3333333333;201;437;437;258
randomized;90,6166666666;212;437;437;263
randomized;86,4333333333;200;437;437;260
randomized;87,3833333333;204;437;437;265
randomized;89,1833333333;209;437;437;269
randomized;85,3666666666;201;437;437;263
randomized;84,1500000000;198;437;437;261
randomized;88,7499999999;208;437;437;265
randomized;88,3666666667;207;437;437;265
randomized;88,7166666666;211;437;437;268
randomized;87,1500000000;205;437;437;267
randomized;84,6500000000;197;437;437;265
randomized;86,0333333333;200;437;437;262
randomized;87,9666666666;208;437;437;273
randomized;85,7333333333;201;437;437;261
randomized;86,5499999999;203;437;437;265
randomized;87,1916666667;207;437;437;273
randomized;84,8166666667;197;437;437;262
randomized;88,0333333333;205;437;437;263
randomized;87,0777777778;204;437;437;266
randomized;86,3666666666;202;437;437;260
randomized;88,5999999999;210;437;437;274
randomized;85,5333333333;200;437;437;265
randomized;85,5000000000;197;437;437;252
randomized;88,3333333333;207;437;437;264
randomized;86,5833333333;206;437;437;268
randomized;84,6500000000;197;437;437;263
randomized;86,8249999999;204;437;437;262
randomized;88,0500000000;207;437;437;267
randomized;85,2166666666;199;437;437;263
randomized;87,6333333333;206;437;437;266
randomized;88,45;206;437;437;262
randomized;87,7333333333;204;437;437;262
randomized;86,5833333333;202;437;437;258
randomized;87,4249999999;206;437;437;266
randomized;87,9500000000;202;437;437;257
randomized;87,3833333333;204;437;437;261
randomized;86,9500000000;202;437;437;262
randomized;87,1666666666;204;437;437;268
randomized;88,2916666666;207;437;437;268
randomized;87,2250000000;206;437;437;273
randomized;83,6583333333;196;437;437;264
randomized;86,1083333333;203;437;437;271
randomized;85,4166666666;200;437;437;265
