Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;37,4642857148;100;120;200;203
randomized;52,2650793652;115;120;200;158
randomized;53,2047619053;115;120;200;151
randomized;54,6809523812;113;120;200;152
randomized;51,9309523811;114;120;200;158
randomized;55,0309523810;120;120;200;158
randomized;56,5023809523;127;120;200;150
randomized;54,2492063495;122;120;200;155
randomized;56,2761904763;124;120;200;150
randomized;55,5261904766;125;120;200;156
randomized;52,9523809526;120;120;200;157
randomized;55,8690476193;125;120;200;157
randomized;52,8904761906;116;120;200;148
randomized;55,1071428572;118;120;200;151
randomized;49,1785714288;110;120;200;155
randomized;53,5523809524;120;120;200;153
randomized;51,7404761905;117;120;200;161
randomized;53,8880952382;124;120;200;154
randomized;51,8452380951;117;120;200;155
randomized;52,3444444445;121;120;200;159
randomized;52,5904761905;118;120;200;156
randomized;54,4380952382;124;120;200;157
randomized;53,4619047623;120;120;200;163
randomized;49,8261904763;110;120;200;151
randomized;52,5047619049;120;120;200;159
randomized;54,4666666667;123;120;200;152
randomized;55,4523809527;126;120;200;168
randomized;56,5500000002;127;120;200;157
randomized;52,9515873019;116;120;200;157
randomized;50,6785714290;116;120;200;152
randomized;51,8658730160;117;120;200;152
randomized;55,2444444443;120;120;200;157
randomized;55,4063492064;119;120;200;157
randomized;55,1412698412;120;120;200;163
randomized;54,4079365081;116;120;200;149
randomized;57,8841269842;129;120;200;155
randomized;53,9769841271;120;120;200;155
randomized;55,8119047623;127;120;200;152
randomized;55,5253968253;124;120;200;161
randomized;54,6841269842;116;120;200;150
randomized;55,1658730160;124;120;200;156
randomized;56,3825396825;126;120;200;161
randomized;56,1952380954;123;120;200;157
randomized;55,4690476193;119;120;200;156
randomized;56,3619047618;120;120;200;156
randomized;53,6952380949;120;120;200;151
randomized;50,9476190478;114;120;200;155
randomized;53,5309523812;124;120;200;156
randomized;52,9809523814;119;120;200;158
randomized;54,4666666665;117;120;200;152
randomized;54,1333333336;118;120;200;153
randomized;54,5452380954;115;120;200;146
randomized;54,1761904764;118;120;200;155
randomized;55,3547619048;124;120;200;156
randomized;54,2642857144;125;120;200;165
randomized;51,7698412697;116;120;200;153
randomized;55,4690476192;125;120;200;159
randomized;53,7166666669;121;120;200;161
randomized;56,7261904763;126;120;200;157
randomized;54,7238095235;118;120;200;149
randomized;53,4071428573;112;120;200;151
randomized;53,0285714286;116;120;200;154
randomized;55,5119047624;129;120;200;156
randomized;55,6142857144;116;120;200;144
randomized;55,2928571430;124;120;200;155
randomized;57,1738095240;123;120;200;154
randomized;55,5341269844;119;120;200;151
randomized;56,8333333335;123;120;200;151
randomized;55,2333333333;123;120;200;155
randomized;54,2547619050;116;120;200;152
randomized;55,6063492064;130;120;200;161
randomized;54,9690476191;119;120;200;148
randomized;56,4865079367;122;120;200;154
randomized;53,2373015872;116;120;200;163
randomized;49,3365079367;110;120;200;156
randomized;53,5325396824;117;120;200;149
randomized;54,7825396826;121;120;200;158
randomized;53,4674603172;118;120;200;159
randomized;52,7761904767;112;120;200;153
randomized;54,7920634924;123;120;200;160
randomized;52,5261904764;112;120;200;155
randomized;56,0642857143;124;120;200;158
randomized;54,3992063490;125;120;200;159
randomized;54,6309523810;123;120;200;157
randomized;54,9261904764;124;120;200;148
randomized;55,5928571429;116;120;200;153
randomized;56,5309523809;121;120;200;153
randomized;53,3936507938;118;120;200;158
randomized;53,6119047622;119;120;200;157
randomized;55,5261904763;126;120;200;162
randomized;55,0857142859;126;120;200;159
randomized;54,3619047619;124;120;200;159
randomized;51,8547619048;113;120;200;153
randomized;53,9575396828;118;120;200;152
randomized;54,4690476189;118;120;200;157
randomized;54,2214285717;119;120;200;159
randomized;53,1476190475;116;120;200;159
randomized;52,1857142857;116;120;200;151
randomized;54,4801587301;120;120;200;159
randomized;54,5738095241;125;120;200;158
randomized;55,7634920632;116;120;200;153
randomized;53,7365079366;114;120;200;156
randomized;55,0992063495;121;120;200;154
randomized;53,2992063491;118;120;200;156
randomized;53,6801587304;123;120;200;162
randomized;56,0658730158;121;120;200;157
randomized;52,3484126983;108;120;200;150
randomized;53,9428571426;119;120;200;157
randomized;57,2944444446;126;120;200;155
randomized;55,7865079363;122;120;200;153
randomized;54,7349206350;122;120;200;155
randomized;54,6396825399;120;120;200;161
randomized;51,9992063497;114;120;200;159
randomized;55,1968253965;122;120;200;157
randomized;56,0976190476;121;120;200;150
randomized;55,5857142859;129;120;200;158
randomized;55,8190476188;121;120;200;150
randomized;56,7063492065;120;120;200;152
randomized;55,0952380952;122;120;200;158
randomized;55,7531746031;123;120;200;155
randomized;54,9527777777;117;120;200;154
randomized;54,8547619048;119;120;200;163
randomized;51,5690476190;122;120;200;152
randomized;54,8690476191;120;120;200;152
randomized;55,9500000001;122;120;200;155
randomized;51,6547619049;115;120;200;154
randomized;56,2119047616;124;120;200;157
randomized;53,8904761905;117;120;200;150
randomized;54,2619047622;122;120;200;153
randomized;53,4380952388;120;120;200;157
randomized;55,9777777780;119;120;200;157
randomized;53,5071428574;115;120;200;149
randomized;53,2230158731;121;120;200;160
randomized;51,7214285715;113;120;200;160
randomized;52,3119047619;115;120;200;157
randomized;53,0380952382;121;120;200;155
randomized;54,5214285716;121;120;200;160
randomized;55,3333333335;124;120;200;159
randomized;54,0357142855;111;120;200;149
randomized;51,3297619047;112;120;200;153
randomized;55,6666666668;121;120;200;159
randomized;54,1952380955;124;120;200;154
randomized;55,0238095241;113;120;200;155
randomized;54,8761904763;125;120;200;157
randomized;51,6047619050;112;120;200;154
randomized;53,6500000003;120;120;200;153
randomized;53,1693121691;112;120;200;159
randomized;54,5820105822;120;120;200;158
randomized;53,9587301585;114;120;200;155
randomized;52,0611111110;115;120;200;163
randomized;56,0510582008;131;120;200;167
randomized;55,1619047620;125;120;200;161
randomized;57,4714285716;127;120;200;161
randomized;56,6142857142;122;120;200;156
randomized;54,0928571430;116;120;200;149
randomized;51,1833333332;111;120;200;155
randomized;54,3452380953;125;120;200;153
randomized;53,7047619050;117;120;200;149
randomized;53,2904761904;120;120;200;153
randomized;53,4523809525;121;120;200;159
randomized;54,6976190478;123;120;200;159
randomized;56,0666666666;125;120;200;154
randomized;55,7309523810;114;120;200;150
randomized;55,0285714283;122;120;200;156
randomized;54,9738095240;120;120;200;160
randomized;54,3476190474;119;120;200;153
randomized;53,4357142858;114;120;200;149
randomized;52,8349206351;117;120;200;155
randomized;55,1238095239;121;120;200;149
randomized;57,3214285714;125;120;200;152
randomized;55,0119047621;117;120;200;152
randomized;52,3785714288;121;120;200;160
randomized;52,2333333337;113;120;200;160
randomized;56,8404761904;124;120;200;156
randomized;51,1238095233;110;120;200;147
randomized;55,3000000000;117;120;200;154
randomized;54,3952380950;118;120;200;153
randomized;53,9904761905;122;120;200;158
randomized;56,7428571429;126;120;200;154
randomized;55,2047619047;126;120;200;156
randomized;55,9523809522;119;120;200;154
randomized;55,8214285717;122;120;200;158
randomized;54,2285714285;121;120;200;154
randomized;54,7333333335;117;120;200;155
randomized;53,0761904760;115;120;200;152
randomized;51,2047619047;109;120;200;153
randomized;53,9976190479;125;120;200;156
randomized;51,6238095244;117;120;200;151
randomized;55,2952380951;119;120;200;158
randomized;55,3325396828;119;120;200;158
randomized;55,4023809522;118;120;200;153
randomized;53,3968253970;118;120;200;162
randomized;54,5476190474;122;120;200;155
randomized;52,4753968257;114;120;200;152
randomized;56,8230158730;128;120;200;158
randomized;54,8015873016;117;120;200;157
randomized;53,0539682539;112;120;200;155
randomized;52,6023809526;114;120;200;148
randomized;52,1507936512;116;120;200;157
randomized;55,4990740739;128;120;200;161
randomized;54,9047619046;123;120;200;150
randomized;57,0904761905;129;120;200;156
randomized;54,4952380954;121;120;200;150
randomized;55,8476190478;126;120;200;161
randomized;51,5436507939;112;120;200;153
randomized;55,9404761907;123;120;200;155
randomized;55,3404761906;123;120;200;157
randomized;53,5214285715;119;120;200;161
randomized;53,9095238097;115;120;200;157
randomized;53,5571428571;117;120;200;154
randomized;53,8547619048;118;120;200;162
randomized;52,1714285716;119;120;200;157
randomized;52,6992063490;116;120;200;156
randomized;52,2333333332;117;120;200;156
randomized;55,8047619049;122;120;200;150
randomized;54,0357142860;121;120;200;148
randomized;52,0619047622;115;120;200;150
randomized;53,2833333332;115;120;200;157
randomized;53,7960317461;119;120;200;155
randomized;55,0500000002;116;120;200;153
randomized;52,1928571430;119;120;200;159
randomized;52,9047619050;118;120;200;158
randomized;54,7571428569;117;120;200;152
randomized;55,0809523812;123;120;200;152
randomized;55,3936507936;117;120;200;160
randomized;55,5952380959;125;120;200;160
randomized;52,2617724873;118;120;200;156
randomized;53,6785714288;113;120;200;151
