Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;69,1964285711;162;180;204;343
randomized;84,3666666662;185;180;204;323
randomized;88,7904761899;195;180;204;312
randomized;88,0690476184;193;180;204;310
randomized;92,1678571429;203;180;204;312
randomized;85,6321428570;192;180;204;328
randomized;90,3333333329;201;180;204;320
randomized;85,0630952379;190;180;204;328
randomized;85,4321428564;189;180;204;323
randomized;83,8952380952;187;180;204;318
randomized;88,1440476186;190;180;204;297
randomized;86,0452380946;198;180;204;327
randomized;86,9476190471;193;180;204;303
randomized;89,1952380947;193;180;204;319
randomized;88,3749999996;194;180;204;297
randomized;87,3261904757;194;180;204;320
randomized;86,2678571424;190;180;204;308
randomized;92,2976190472;208;180;204;305
randomized;90,1749999998;199;180;204;297
randomized;89,6845238089;194;180;204;301
randomized;83,4285714283;186;180;204;320
randomized;84,9095238090;193;180;204;326
randomized;89,7809523804;206;180;204;307
randomized;88,0928571423;199;180;204;314
randomized;83,9738095236;185;180;204;310
randomized;87,4642857139;195;180;204;318
randomized;87,7928571423;196;180;204;317
randomized;90,3249999996;199;180;204;304
randomized;88,3226190472;196;180;204;329
randomized;87,0309523807;198;180;204;326
randomized;89,3404761902;197;180;204;299
randomized;89,8071428566;194;180;204;316
randomized;88,1154761902;198;180;204;319
randomized;85,9476190473;196;180;204;316
randomized;87,5654761899;193;180;204;310
randomized;83,3321428568;186;180;204;320
randomized;84,7154761901;190;180;204;322
randomized;87,6166666664;195;180;204;322
randomized;87,8833333327;195;180;204;318
randomized;86,7567460315;194;180;204;321
randomized;86,1234126982;195;180;204;327
randomized;83,7742063489;184;180;204;307
randomized;86,9666666661;186;180;204;305
randomized;88,2261904758;198;180;204;319
randomized;87,5309523805;192;180;204;317
randomized;86,3583333331;193;180;204;315
randomized;84,6226190472;192;180;204;326
randomized;88,6369047618;201;180;204;317
randomized;87,9178571425;198;180;204;312
randomized;87,2797619046;196;180;204;313
randomized;88,6273809520;196;180;204;307
randomized;84,4666666666;190;180;204;321
randomized;87,7392857139;198;180;204;303
randomized;85,9650793646;191;180;204;333
randomized;85,7392857141;190;180;204;316
randomized;85,2940476186;189;180;204;322
randomized;89,5095238090;196;180;204;308
randomized;86,5595238091;193;180;204;322
randomized;85,0404761902;184;180;204;319
randomized;85,7464285709;193;180;204;305
randomized;87,1619047614;197;180;204;315
randomized;87,7642857138;200;180;204;318
randomized;86,7958333329;192;180;204;326
randomized;86,5988095234;193;180;204;314
randomized;88,2702380948;194;180;204;312
randomized;87,8809523806;192;180;204;315
randomized;86,6999999995;191;180;204;311
randomized;89,8249999994;196;180;204;303
randomized;85,8761904758;194;180;204;317
randomized;85,6571428569;191;180;204;315
randomized;87,7273809518;193;180;204;323
randomized;86,6464285710;191;180;204;321
randomized;85,3547619045;195;180;204;332
randomized;86,9095238092;196;180;204;314
randomized;86,2880952380;189;180;204;311
randomized;87,2464285710;192;180;204;312
randomized;87,3535714284;191;180;204;323
randomized;87,0892857139;194;180;204;312
randomized;88,8499999997;199;180;204;320
randomized;87,8535714282;200;180;204;315
randomized;85,4261904757;186;180;204;308
randomized;80,6226190475;187;180;204;326
randomized;86,8178571422;187;180;204;305
randomized;86,9821428567;197;180;204;322
randomized;91,3726190473;201;180;204;314
randomized;86,7999999998;189;180;204;319
randomized;85,4476190471;193;180;204;315
randomized;86,2833333332;187;180;204;307
randomized;85,0226190474;188;180;204;322
randomized;89,6101190472;206;180;204;315
randomized;87,7904761901;195;180;204;313
randomized;85,9015873014;192;180;204;318
randomized;87,4313492061;194;180;204;315
randomized;86,5146825392;190;180;204;322
randomized;86,7607142852;190;180;204;318
randomized;88,5134920631;196;180;204;335
randomized;87,4404761901;200;180;204;310
randomized;85,4813492060;187;180;204;302
randomized;87,1361111106;183;180;204;301
randomized;85,4408730154;187;180;204;323
randomized;87,8714285710;197;180;204;320
randomized;86,8170634919;200;180;204;323
randomized;87,1178571425;196;180;204;308
randomized;87,7226190472;194;180;204;316
randomized;82,7630952376;180;180;204;319
randomized;87,4845238091;199;180;204;327
randomized;85,4809523808;185;180;204;328
randomized;86,2892857141;190;180;204;308
randomized;83,1583333329;178;180;204;313
randomized;85,9023809521;192;180;204;320
randomized;84,1976190471;185;180;204;315
randomized;85,6976190471;179;180;204;311
randomized;85,5999999996;190;180;204;325
randomized;88,0833333329;191;180;204;327
randomized;88,0238095230;195;180;204;303
randomized;89,1761904754;196;180;204;308
randomized;89,6345238089;196;180;204;297
randomized;88,7416666665;195;180;204;317
randomized;88,5964285713;195;180;204;321
randomized;87,8738095236;191;180;204;323
randomized;84,9797619043;187;180;204;317
randomized;85,8553571424;193;180;204;321
randomized;83,4976190470;185;180;204;309
randomized;85,8154761901;194;180;204;312
randomized;87,1773809523;194;180;204;316
randomized;82,9452380950;180;180;204;321
randomized;84,5589285710;192;180;204;316
