Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;72,000;201;227;199;321
randomized;101,6749999999;271;227;199;361
randomized;100,0333333333;273;227;199;358
randomized;97,7999999999;253;227;199;358
randomized;103,0166666665;265;227;199;345
randomized;97,8777777777;257;227;199;363
randomized;100,8250000000;270;227;199;353
randomized;101,3333333333;268;227;199;349
randomized;102,0166666666;262;227;199;350
randomized;101,0041666666;265;227;199;360
randomized;102,1499999999;266;227;199;354
randomized;101,0416666666;264;227;199;357
randomized;101,475;266;227;199;340
randomized;104,0500000000;277;227;199;355
randomized;101,5500000000;274;227;199;357
randomized;101,9333333333;261;227;199;347
randomized;102,1833333333;264;227;199;348
randomized;101,0999999999;262;227;199;359
randomized;100,7999999998;263;227;199;355
randomized;102,0916666667;265;227;199;356
randomized;101,3416666666;268;227;199;354
randomized;100,3833333333;270;227;199;361
randomized;103,6416666667;290;227;199;363
randomized;100,9944444444;288;227;199;363
randomized;99,9083333332;267;227;199;355
randomized;95,2958333333;247;227;199;363
randomized;98,5416666666;256;227;199;354
randomized;101,2083333332;265;227;199;360
randomized;97,7291666667;255;227;199;359
randomized;98,7833333333;262;227;199;350
randomized;101,3750000000;260;227;199;355
randomized;100,8777777777;278;227;199;365
randomized;100,0500000000;261;227;199;363
randomized;99,7333333332;268;227;199;358
randomized;101,7583333332;264;227;199;352
randomized;100,5249999999;264;227;199;358
randomized;102,2416666666;266;227;199;349
randomized;100,7583333333;262;227;199;351
randomized;99,3666666666;263;227;199;363
randomized;100,0083333332;272;227;199;363
randomized;101,5499999998;267;227;199;356
randomized;97,6083333332;252;227;199;348
randomized;102,9166666667;278;227;199;366
randomized;101,3277777777;264;227;199;367
randomized;99,1166666666;261;227;199;359
randomized;100,0999999999;254;227;199;347
randomized;99,7833333332;258;227;199;351
randomized;100,8166666665;269;227;199;355
randomized;100,0916666667;258;227;199;352
randomized;99,1000000000;264;227;199;356
randomized;101,4333333333;269;227;199;365
randomized;99,3291666666;259;227;199;357
randomized;100,1166666666;259;227;199;346
randomized;101,8624999999;270;227;199;362
randomized;97,9583333333;251;227;199;356
randomized;103,2166666665;283;227;199;363
randomized;100,7166666666;261;227;199;359
randomized;99,6708333333;253;227;199;351
randomized;101,2625000000;267;227;199;351
randomized;101,5250000000;286;227;199;377
randomized;97,5958333333;272;227;199;370
randomized;97,2750000000;251;227;199;358
randomized;100,3000000000;259;227;199;353
randomized;100,8833333333;261;227;199;359
randomized;99,4166666665;259;227;199;353
randomized;99,9583333333;258;227;199;354
randomized;102,7666666666;274;227;199;366
randomized;102,4666666667;261;227;199;350
randomized;100,3833333333;266;227;199;350
randomized;98,9416666666;258;227;199;349
randomized;101,1083333334;258;227;199;349
randomized;98,5958333333;250;227;199;355
randomized;100,5874999998;262;227;199;347
randomized;97,0000000001;257;227;199;354
randomized;103,2666666666;271;227;199;351
randomized;102,6833333333;273;227;199;351
randomized;100,2416666666;259;227;199;354
randomized;100,4416666666;269;227;199;364
randomized;97,5708333333;271;227;199;367
randomized;98,6374999999;256;227;199;365
randomized;98,2499999999;253;227;199;354
randomized;94,4875000000;258;227;199;359
randomized;97,3208333332;254;227;199;361
randomized;100,9291666666;261;227;199;350
randomized;100,9083333332;261;227;199;356
randomized;99,7958333334;258;227;199;353
randomized;99,9916666667;264;227;199;363
randomized;99,1000000000;256;227;199;356
randomized;100,8333333333;265;227;199;360
randomized;100,2166666667;260;227;199;351
