Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;132,5952380950;104;171;82;191
randomized;105,8333333320;155;171;82;214
randomized;103,4285714272;155;171;82;221
randomized;97,2428571414;154;171;82;213
randomized;95,7380952369;148;171;82;228
randomized;101,0499999991;151;171;82;235
randomized;102,3380952372;152;171;82;233
randomized;110,1095238082;156;171;82;223
randomized;104,7666666652;156;171;82;223
randomized;100,4119047604;151;171;82;219
randomized;108,8190476179;159;171;82;216
randomized;98,6642857130;152;171;82;222
randomized;98,1428571420;153;171;82;223
randomized;111,1309523799;162;171;82;225
randomized;103,8952380941;155;171;82;223
randomized;105,2476190461;158;171;82;212
randomized;100,4333333316;155;171;82;228
randomized;103,3928571417;155;171;82;225
randomized;108,0476190469;161;171;82;216
randomized;101,8285714273;154;171;82;214
randomized;96,9571428562;155;171;82;219
randomized;101,2619047608;159;171;82;222
randomized;99,7285714273;144;171;82;230
randomized;99,0999999991;154;171;82;211
randomized;95,2238095225;153;171;82;221
randomized;99,3714285705;151;171;82;213
randomized;101,3238095223;158;171;82;217
randomized;105,5833333323;158;171;82;218
randomized;107,6285714274;157;171;82;229
randomized;97,9190476176;156;171;82;211
randomized;95,5666666656;147;171;82;227
randomized;94,0666666652;154;171;82;210
randomized;95,0357142849;151;171;82;223
randomized;95,4761904747;154;171;82;212
randomized;98,3571428556;146;171;82;231
randomized;99,9523809515;157;171;82;213
randomized;93,0285714277;152;171;82;217
randomized;103,2238095224;154;171;82;221
randomized;98,7999999989;149;171;82;220
randomized;103,0619047605;155;171;82;223
randomized;101,6499999986;154;171;82;205
randomized;97,4809523801;154;171;82;224
randomized;95,9476190463;154;171;82;216
randomized;104,7047619034;158;171;82;224
randomized;103,6761904749;156;171;82;218
randomized;103,3857142846;157;171;82;213
randomized;94,2238095222;147;171;82;216
randomized;103,3095238082;160;171;82;209
randomized;97,2333333318;159;171;82;210
randomized;103,6317460307;156;171;82;222
randomized;101,9380952372;155;171;82;217
randomized;107,6142857130;158;171;82;220
randomized;104,2238095225;155;171;82;226
randomized;96,4476190467;156;171;82;219
randomized;108,5865079350;158;171;82;219
randomized;105,8285714273;159;171;82;218
randomized;101,7095238081;151;171;82;229
randomized;104,9619047608;151;171;82;226
randomized;99,8261904749;155;171;82;220
randomized;98,9999999986;153;171;82;213
randomized;99,8976190466;146;171;82;232
randomized;95,0857142842;152;171;82;223
randomized;99,6976190463;155;171;82;219
randomized;103,6523809511;160;171;82;221
randomized;99,6499999983;155;171;82;215
randomized;100,0095238084;151;171;82;217
randomized;106,6047619034;160;171;82;216
randomized;100,0761904747;150;171;82;226
randomized;102,3380952370;156;171;82;213
randomized;108,1047619034;155;171;82;226
randomized;105,7309523799;152;171;82;214
randomized;101,0642857127;156;171;82;217
randomized;101,8595238083;154;171;82;219
randomized;107,4285714272;152;171;82;217
randomized;99,0809523793;153;171;82;219
randomized;93,7333333325;143;171;82;228
randomized;103,1412698400;155;171;82;220
randomized;98,4999999992;154;171;82;228
randomized;100,3523809512;153;171;82;219
randomized;101,7857142843;160;171;82;208
