Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;3;2;127;127;130
randomized;134,31250;109;127;127;185
randomized;145,5208333333;111;127;127;192
randomized;137,2708333333;111;127;127;193
randomized;132,06250;99;127;127;200
randomized;128,0000;103;127;127;195
randomized;142,25;118;127;127;186
randomized;141,0000;113;127;127;185
randomized;141,4166666667;116;127;127;176
randomized;139,81250;111;127;127;192
randomized;144,0000;118;127;127;180
randomized;145,125;113;127;127;185
randomized;152,3333333333;118;127;127;190
randomized;139,18750;111;127;127;190
randomized;155,25;120;127;127;177
randomized;147,5833333333;118;127;127;183
randomized;151,8333333333;125;127;127;176
randomized;139,5000;115;127;127;192
randomized;150,2500;113;127;127;190
randomized;156,1875;126;127;127;178
randomized;148,2083333333;115;127;127;190
randomized;126,7083333333;105;127;127;197
randomized;140,50;116;127;127;182
randomized;135,37500;105;127;127;197
randomized;140,68750;106;127;127;196
randomized;122,68750;100;127;127;195
randomized;122,68750;92;127;127;208
randomized;150,7500;122;127;127;184
randomized;137,75;108;127;127;184
randomized;142,37500;113;127;127;188
randomized;140,37500;106;127;127;204
randomized;139,2500;109;127;127;191
randomized;135,18750;104;127;127;191
randomized;141,1666666667;114;127;127;193
randomized;141,8750;116;127;127;181
randomized;141,3125;116;127;127;179
randomized;145,3958333333;118;127;127;182
randomized;128,2708333333;105;127;127;198
randomized;144,5416666667;115;127;127;185
randomized;141,5000;113;127;127;185
randomized;122,37500;98;127;127;196
randomized;143,06250;111;127;127;198
randomized;149,37500;116;127;127;187
randomized;143,00000;112;127;127;191
randomized;143,75000;113;127;127;193
randomized;149,12500;118;127;127;179
randomized;142,62500;115;127;127;187
randomized;152,5;120;127;127;171
randomized;130,6875;112;127;127;170
randomized;158,125;116;127;127;193
randomized;140,0000;115;127;127;189
randomized;123,8958333333;104;127;127;193
randomized;129,2500;103;127;127;197
randomized;126,2708333333;107;127;127;186
randomized;137,750;105;127;127;193
randomized;150,0;117;127;127;192
randomized;139,1875;111;127;127;189
randomized;140,1041666667;114;127;127;187
randomized;131,7708333333;107;127;127;195
randomized;144,5833333333;116;127;127;190
randomized;128,2708333333;103;127;127;198
randomized;133,50;110;127;127;193
randomized;125,5416666667;104;127;127;200
randomized;127,6250;105;127;127;195
randomized;139,5000;112;127;127;194
randomized;124,0208333333;100;127;127;199
randomized;114,4375;101;127;127;191
randomized;129,8333333333;110;127;127;181
randomized;140,5000;118;127;127;182
randomized;137,750;110;127;127;190
randomized;134,2500;112;127;127;182
randomized;142,93750;114;127;127;187
randomized;140,4375;111;127;127;190
randomized;136,93750;105;127;127;196
randomized;147,3750000000;117;127;127;180
randomized;146,3750;120;127;127;183
randomized;141,5833333333;111;127;127;188
randomized;140,5000;117;127;127;185
randomized;148,0;117;127;127;184
randomized;133,8958333333;112;127;127;186
randomized;145,2500;115;127;127;187
randomized;140,0;114;127;127;174
randomized;137,1250;109;127;127;195
randomized;146,2500;111;127;127;197
randomized;146,3750;116;127;127;179
randomized;135,0000;110;127;127;188
randomized;144,31250;114;127;127;196
randomized;140,1875;110;127;127;194
randomized;129,75000;103;127;127;189
randomized;131,9375;106;127;127;203
randomized;136,6041666667;110;127;127;193
randomized;129,31250;101;127;127;202
randomized;132,0833333333;109;127;127;191
randomized;133,56250;108;127;127;189
randomized;122,0625;99;127;127;204
randomized;128,8333333333;101;127;127;206
randomized;135,375;110;127;127;185
randomized;124,7291666667;104;127;127;191
randomized;133,0833333333;113;127;127;190
randomized;140,37500;114;127;127;181
randomized;130,0416666667;104;127;127;195
randomized;133,12500;105;127;127;195
randomized;130,8750;107;127;127;195
randomized;136,7500;108;127;127;197
randomized;154,5416666667;124;127;127;183
randomized;141,375;112;127;127;188
randomized;140,7500;118;127;127;189
randomized;137,0625;110;127;127;192
randomized;124,93750;102;127;127;195
randomized;141,5416666667;108;127;127;195
randomized;135,000;108;127;127;194
randomized;151,50;112;127;127;203
randomized;140,9583333333;109;127;127;192
randomized;141,5;115;127;127;180
randomized;143,6666666667;118;127;127;182
randomized;139,0000;109;127;127;181
randomized;149,8333333333;120;127;127;183
randomized;134,5208333333;107;127;127;190
randomized;144,0;112;127;127;187
randomized;145,0000;116;127;127;187
randomized;137,1250;111;127;127;190
randomized;143,0;114;127;127;193
randomized;141,0000;116;127;127;179
randomized;150,25;119;127;127;173
randomized;136,8541666667;115;127;127;175
randomized;149,250;115;127;127;183
randomized;146,75000;118;127;127;186
randomized;137,5625;108;127;127;195
randomized;148,125;120;127;127;186
randomized;153,1666666667;123;127;127;175
randomized;149,125;118;127;127;188
randomized;140,2083333333;118;127;127;179
randomized;144,1250;116;127;127;185
randomized;145,3333333333;119;127;127;180
randomized;147,62500;115;127;127;185
randomized;133,18750;109;127;127;191
randomized;144,000;114;127;127;181
randomized;138,4375;108;127;127;190
randomized;142,75;111;127;127;193
randomized;146,00;115;127;127;185
randomized;141,1250;106;127;127;205
randomized;135,93750;115;127;127;184
randomized;123,81250;98;127;127;204
randomized;139,8333333333;111;127;127;198
randomized;133,93750;104;127;127;205
randomized;137,18750;111;127;127;190
randomized;142,5833333333;117;127;127;178
randomized;150,2500;122;127;127;180
randomized;148,0000;117;127;127;186
randomized;138,75000;114;127;127;189
randomized;146,18750;114;127;127;191
randomized;142,3750;110;127;127;195
randomized;143,0000;112;127;127;187
randomized;135,93750;108;127;127;185
randomized;150,43750;118;127;127;187
randomized;139,62500;112;127;127;197
randomized;145,7083333333;115;127;127;188
randomized;139,8333333333;111;127;127;191
randomized;153,2708333333;114;127;127;203
randomized;147,8750;119;127;127;169
randomized;144,2500;113;127;127;191
randomized;150,50000;120;127;127;180
randomized;147,25;120;127;127;177
randomized;142,3333333333;111;127;127;182
randomized;133,75;109;127;127;190
randomized;137,3333333333;114;127;127;179
randomized;134,25;106;127;127;190
randomized;149,50;113;127;127;199
randomized;147,500;116;127;127;193
randomized;151,25;124;127;127;181
randomized;132,250;103;127;127;197
randomized;126,0000;107;127;127;192
randomized;152,1250;114;127;127;194
randomized;126,7083333333;105;127;127;185
randomized;148,12500;118;127;127;179
randomized;141,31250;113;127;127;187
randomized;133,6250;111;127;127;192
randomized;145,000;115;127;127;186
randomized;137,875;111;127;127;191
randomized;139,2500;106;127;127;208
randomized;137,37500;104;127;127;194
randomized;132,8750;109;127;127;192
randomized;131,75000;107;127;127;185
randomized;151,3750;117;127;127;184
randomized;142,125;120;127;127;183
randomized;132,3750;109;127;127;195
randomized;141,500;111;127;127;192
randomized;133,1250;112;127;127;189
randomized;147,3333333333;116;127;127;199
randomized;138,2500;113;127;127;188
randomized;133,5000000000;109;127;127;201
randomized;134,3750;108;127;127;192
randomized;134,75000;106;127;127;194
randomized;132,5000;110;127;127;193
randomized;147,0833333333;114;127;127;192
randomized;135,4583333333;109;127;127;187
randomized;139,7291666667;111;127;127;191
randomized;149,2500;119;127;127;181
randomized;131,6875;106;127;127;193
randomized;134,93750;106;127;127;195
randomized;136,0625;108;127;127;200
randomized;130,0000;107;127;127;192
randomized;146,7083333333;116;127;127;191
randomized;134,25;105;127;127;200
randomized;133,7083333333;110;127;127;196
randomized;125,7916666667;104;127;127;192
randomized;150,6666666667;112;127;127;196
randomized;136,6041666667;110;127;127;186
randomized;150,0833333333;115;127;127;195
randomized;142,18750;115;127;127;177
randomized;139,5000000000;114;127;127;189
randomized;144,06250;115;127;127;183
randomized;146,75;112;127;127;187
randomized;134,25000;110;127;127;192
randomized;146,1875;113;127;127;190
randomized;131,5416666667;110;127;127;191
randomized;142,25000;114;127;127;182
randomized;141,1875;110;127;127;198
randomized;148,625;117;127;127;185
randomized;141,5;116;127;127;186
randomized;130,1875;107;127;127;194
randomized;140,4166666667;107;127;127;191
randomized;145,0000000000;115;127;127;191
randomized;142,75;120;127;127;178
randomized;151,7083333333;117;127;127;188
randomized;149,62500;121;127;127;180
randomized;149,6041666666;119;127;127;183
randomized;144,625;112;127;127;193
randomized;139,125;108;127;127;202
randomized;141,5000;111;127;127;184
randomized;145,9583333333;117;127;127;188
randomized;146,7500;116;127;127;185
randomized;144,62500;108;127;127;197
randomized;142,1041666666;113;127;127;189
randomized;153,5000;122;127;127;181
randomized;142,5625;116;127;127;193
randomized;145,2708333333;117;127;127;193
randomized;126,875;109;127;127;174
randomized;153,0416666667;117;127;127;189
randomized;138,8333333333;120;127;127;176
randomized;141,875;115;127;127;178
randomized;150,37500;118;127;127;199
randomized;147,2500;117;127;127;186
randomized;150,875;117;127;127;182
randomized;146,6875;115;127;127;186
randomized;146,5208333333;116;127;127;180
randomized;140,62500;111;127;127;190
randomized;131,4375;104;127;127;194
randomized;140,2083333333;114;127;127;182
randomized;140,6458333333;106;127;127;202
randomized;134,6250;108;127;127;189
randomized;139,8750;112;127;127;182
randomized;143,5;113;127;127;185
randomized;137,4375;112;127;127;186
randomized;144,25000;110;127;127;197
randomized;139,0000;109;127;127;185
randomized;135,250;107;127;127;193
randomized;140,0;113;127;127;184
randomized;151,75000;120;127;127;187
randomized;150,6875;118;127;127;182
randomized;143,5000;111;127;127;200
randomized;140,9375;111;127;127;183
randomized;139,0;111;127;127;188
randomized;134,43750;114;127;127;187
randomized;146,6250;114;127;127;187
randomized;139,2083333333;114;127;127;190
randomized;149,750;119;127;127;189
randomized;136,2500;108;127;127;196
randomized;146,3750;115;127;127;177
randomized;141,62500;113;127;127;192
randomized;142,2708333333;114;127;127;183
randomized;139,9375;116;127;127;183
randomized;137,5000;108;127;127;191
randomized;145,2500;116;127;127;183
randomized;138,3750;110;127;127;186
randomized;137,43750;109;127;127;192
randomized;137,5000;109;127;127;196
randomized;131,3750;107;127;127;191
randomized;135,500;111;127;127;186
randomized;141,2500;117;127;127;177
randomized;150,8750;113;127;127;199
randomized;124,43750;100;127;127;197
randomized;133,4583333333;108;127;127;192
randomized;143,68750;115;127;127;179
randomized;150,875;115;127;127;194
randomized;143,1458333333;111;127;127;193
randomized;141,2500;106;127;127;195
randomized;137,43750;109;127;127;182
randomized;142,3750;112;127;127;183
randomized;128,6458333333;108;127;127;194
randomized;140,8333333333;111;127;127;190
randomized;138,00000;109;127;127;193
randomized;147,9583333333;118;127;127;188
randomized;146,2500;110;127;127;200
randomized;146,7083333333;114;127;127;190
randomized;142,93750;115;127;127;187
randomized;137,8541666667;112;127;127;194
randomized;140,7500;110;127;127;189
randomized;145,375;120;127;127;180
randomized;146,6875;119;127;127;180
randomized;138,875;115;127;127;183
randomized;134,8125;108;127;127;193
randomized;129,8125;103;127;127;193
randomized;142,8125;108;127;127;198
randomized;129,625;107;127;127;196
randomized;121,3333333333;102;127;127;197
randomized;144,2500;115;127;127;195
randomized;132,7083333333;108;127;127;200
randomized;131,2708333333;110;127;127;192
randomized;139,3125;115;127;127;187
randomized;122,4375;101;127;127;198
randomized;140,2500000000;112;127;127;186
randomized;128,0000;100;127;127;193
randomized;135,37500;108;127;127;199
randomized;124,0000;97;127;127;193
randomized;141,2500;112;127;127;196
randomized;131,6666666667;106;127;127;195
randomized;139,5625;110;127;127;182
randomized;145,0000;118;127;127;174
randomized;133,125;106;127;127;197
randomized;142,625;112;127;127;187
randomized;130,2500;108;127;127;189
randomized;148,2083333333;118;127;127;180
randomized;141,8750;117;127;127;179
randomized;155,8750;123;127;127;194
randomized;135,1875;109;127;127;189
randomized;155,75000;116;127;127;190
randomized;140,2916666666;118;127;127;184
randomized;126,0416666667;102;127;127;195
randomized;152,3333333333;121;127;127;189
randomized;142,1250;111;127;127;197
randomized;133,0833333333;104;127;127;199
randomized;135,5;108;127;127;187
randomized;143,750;112;127;127;183
randomized;145,4375;120;127;127;179
randomized;140,9375;114;127;127;190
randomized;147,7500;118;127;127;191
randomized;140,5208333333;112;127;127;200
randomized;148,75;121;127;127;170
randomized;140,8541666667;114;127;127;185
