Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;311,2083333334;372;793;782;811
randomized;57,9375;69;793;782;130
randomized;62,7083333333;74;793;782;126
randomized;63,8541666667;74;793;782;128
randomized;59,7083333333;76;793;782;125
randomized;60,0000000000;71;793;782;127
randomized;57,3333333333;70;793;782;130
randomized;60,8333333333;73;793;782;123
randomized;58,4583333333;67;793;782;135
randomized;65,750;75;793;782;124
randomized;63,4166666666;76;793;782;129
randomized;59,8750;69;793;782;128
randomized;61,6458333333;72;793;782;125
randomized;58,6875000000;71;793;782;130
randomized;59,7708333334;70;793;782;129
randomized;59,5833333333;68;793;782;128
randomized;62,8333333333;72;793;782;127
randomized;59,8125000000;69;793;782;131
randomized;66,9166666666;77;793;782;123
randomized;67,8541666667;74;793;782;125
randomized;63,8333333333;79;793;782;119
randomized;67,625;85;793;782;116
randomized;64,7500000000;76;793;782;123
randomized;61,8333333333;73;793;782;126
randomized;70,6250000000;84;793;782;119
randomized;65,4375000000;80;793;782;117
randomized;61,9166666667;72;793;782;127
randomized;60,3125000000;67;793;782;128
randomized;64,1250000000;75;793;782;123
randomized;68,3750000000;79;793;782;125
randomized;63,37500;73;793;782;125
randomized;62,5000000000;70;793;782;134
randomized;66,50000;73;793;782;130
randomized;63,8333333334;82;793;782;118
randomized;63,7083333333;74;793;782;125
randomized;62,2708333333;71;793;782;132
randomized;65,3541666667;77;793;782;126
randomized;61,1250000000;73;793;782;125
randomized;58,2708333333;70;793;782;128
randomized;65,6458333333;74;793;782;127
randomized;63,5833333333;69;793;782;132
randomized;63,8750;80;793;782;122
randomized;63,5000000000;73;793;782;126
randomized;65,3333333332;78;793;782;126
randomized;59,1250000000;68;793;782;134
randomized;60,1041666666;71;793;782;130
randomized;64,4375;74;793;782;122
randomized;64,4166666666;79;793;782;125
randomized;65,1250000000;76;793;782;121
randomized;61,12500;72;793;782;129
randomized;67,0208333333;78;793;782;124
randomized;61,9791666667;77;793;782;123
randomized;60,2916666666;73;793;782;129
randomized;66,31250;80;793;782;121
randomized;63,6666666667;74;793;782;128
randomized;63,2708333334;72;793;782;127
randomized;60,75000;72;793;782;126
randomized;60,31250;69;793;782;128
randomized;59,7083333333;71;793;782;128
randomized;63,0833333334;77;793;782;124
randomized;62,2916666667;74;793;782;130
