Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;7,5;10;1003;1005;1009
randomized;161,0833333334;144;1003;1005;220
randomized;158,5208333332;141;1003;1005;225
randomized;154,5208333333;134;1003;1005;229
randomized;163,2708333333;144;1003;1005;220
randomized;158,9583333333;140;1003;1005;223
randomized;159,50000;140;1003;1005;224
randomized;139,9583333334;132;1003;1005;223
randomized;146,06250;131;1003;1005;230
randomized;157,1666666667;142;1003;1005;226
randomized;159,93750;143;1003;1005;224
randomized;160,0208333333;140;1003;1005;228
randomized;153,5104166667;134;1003;1005;228
randomized;153,0416666666;140;1003;1005;217
randomized;155,9166666667;138;1003;1005;228
randomized;156,0416666667;140;1003;1005;221
randomized;151,7500000000;134;1003;1005;223
randomized;147,2500000000;136;1003;1005;219
randomized;164,7708333333;141;1003;1005;230
randomized;157,00000;136;1003;1005;232
randomized;156,3333333332;145;1003;1005;213
randomized;151,2708333333;141;1003;1005;228
randomized;161,6250000000;147;1003;1005;215
randomized;165,8333333333;146;1003;1005;227
randomized;164,8750000000;143;1003;1005;225
randomized;150,4999999999;136;1003;1005;227
randomized;152,9375000000;138;1003;1005;217
randomized;143,50000;126;1003;1005;230
randomized;165,7916666666;149;1003;1005;220
randomized;166,2083333333;153;1003;1005;211
randomized;150,4375000000;132;1003;1005;224
randomized;160,1875000000;141;1003;1005;223
randomized;158,8333333333;144;1003;1005;217
randomized;164,5833333332;143;1003;1005;224
randomized;167,5625000000;147;1003;1005;224
randomized;163,6458333334;144;1003;1005;224
randomized;158,8333333333;137;1003;1005;221
randomized;159,1249999999;140;1003;1005;226
randomized;164,7500000000;145;1003;1005;218
randomized;157,00000;137;1003;1005;231
randomized;154,2916666666;140;1003;1005;218
randomized;152,75000;138;1003;1005;222
randomized;162,8958333333;140;1003;1005;225
randomized;156,5208333333;135;1003;1005;226
randomized;159,6041666666;141;1003;1005;219
randomized;168,2499999999;147;1003;1005;215
randomized;168,0625000001;147;1003;1005;224
randomized;150,6875000000;134;1003;1005;228
randomized;169,0416666667;151;1003;1005;218
randomized;157,5833333333;141;1003;1005;207
randomized;147,2083333333;131;1003;1005;233
randomized;155,6250000000;139;1003;1005;219
randomized;152,7083333333;141;1003;1005;221
randomized;146,2499999999;134;1003;1005;228
randomized;163,0833333333;147;1003;1005;220
randomized;163,8958333333;144;1003;1005;228
randomized;152,1875000000;138;1003;1005;223
randomized;154,6666666666;145;1003;1005;216
randomized;156,1666666666;136;1003;1005;227
randomized;150,3541666667;140;1003;1005;221
randomized;155,5416666667;138;1003;1005;225
randomized;161,1458333333;145;1003;1005;224
randomized;155,6666666666;138;1003;1005;223
randomized;155,0000000000;138;1003;1005;224
randomized;147,0000000001;132;1003;1005;226
randomized;157,2708333333;140;1003;1005;228
randomized;150,8541666667;138;1003;1005;216
randomized;155,5000000000;137;1003;1005;221
randomized;164,5208333333;144;1003;1005;222
randomized;152,5833333333;141;1003;1005;220
randomized;149,0416666666;139;1003;1005;216
randomized;154,37500;140;1003;1005;223
randomized;147,3749999999;139;1003;1005;223
randomized;164,8958333334;144;1003;1005;227
randomized;152,7916666667;136;1003;1005;235
randomized;166,6041666667;141;1003;1005;227
randomized;157,0000000001;144;1003;1005;218
randomized;144,8958333333;127;1003;1005;234
randomized;150,4375000000;140;1003;1005;225
randomized;156,8541666667;145;1003;1005;219
randomized;162,5833333334;138;1003;1005;234
randomized;160,7291666667;134;1003;1005;238
randomized;159,6458333333;138;1003;1005;234
randomized;151,0208333333;138;1003;1005;226
randomized;151,9375000000;132;1003;1005;227
randomized;155,7083333333;144;1003;1005;213
randomized;161,3333333333;143;1003;1005;226
randomized;158,5208333333;142;1003;1005;225
randomized;153,6875000000;137;1003;1005;229
randomized;154,7708333333;134;1003;1005;232
randomized;154,6041666666;131;1003;1005;229
randomized;161,9375000000;142;1003;1005;222
randomized;147,2708333334;137;1003;1005;226
randomized;149,0833333333;135;1003;1005;228
randomized;150,4375000000;133;1003;1005;227
randomized;151,8333333333;137;1003;1005;222
randomized;152,6250000000;137;1003;1005;227
randomized;153,7083333334;138;1003;1005;230
