Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;986,9333333317;3179;1535;3106;3361
randomized;39,9333333332;111;1535;3106;135
randomized;42,4333333333;117;1535;3106;135
randomized;38,8666666666;107;1535;3106;135
randomized;39,9666666666;112;1535;3106;134
randomized;39,9666666666;108;1535;3106;134
randomized;39,5333333333;110;1535;3106;138
randomized;38,5333333332;104;1535;3106;133
randomized;40,2999999999;115;1535;3106;135
randomized;37,5999999999;105;1535;3106;133
randomized;39,9833333333;108;1535;3106;136
randomized;41,4833333333;115;1535;3106;136
randomized;40,9499999999;110;1535;3106;136
randomized;39,5999999999;113;1535;3106;136
randomized;41,1499999999;116;1535;3106;136
randomized;40,0833333333;116;1535;3106;140
randomized;40,4166666666;111;1535;3106;139
randomized;39,1833333332;108;1535;3106;131
randomized;41,6333333332;112;1535;3106;129
randomized;40,4833333332;111;1535;3106;139
randomized;40,4333333333;112;1535;3106;136
randomized;40,5166666666;109;1535;3106;132
randomized;39,0333333333;110;1535;3106;136
randomized;40,2999999999;108;1535;3106;135
randomized;41,1999999999;112;1535;3106;137
randomized;41,0833333332;111;1535;3106;133
randomized;39,3333333332;113;1535;3106;140
randomized;38,7999999999;107;1535;3106;136
randomized;39,4166666666;112;1535;3106;137
randomized;38,2999999999;105;1535;3106;132
randomized;41,1833333332;110;1535;3106;131
randomized;41,2833333332;106;1535;3106;136
randomized;40,2333333332;113;1535;3106;134
randomized;39,2999999999;107;1535;3106;132
randomized;40,7666666666;112;1535;3106;137
randomized;39,6666666666;110;1535;3106;139
randomized;40,8499999999;112;1535;3106;135
randomized;40,6166666666;113;1535;3106;134
randomized;40,3833333332;113;1535;3106;134
randomized;40,6499999999;112;1535;3106;131
randomized;40,5666666666;112;1535;3106;132
randomized;39,1499999999;105;1535;3106;127
randomized;40,6166666666;111;1535;3106;135
randomized;37,80;106;1535;3106;135
randomized;40,8666666666;115;1535;3106;137
randomized;40,7333333333;113;1535;3106;133
randomized;40,3499999999;109;1535;3106;135
randomized;40,6333333333;111;1535;3106;136
randomized;40,2166666666;110;1535;3106;132
randomized;40,8999999999;112;1535;3106;133
randomized;40,4999999999;111;1535;3106;132
randomized;39,0833333332;106;1535;3106;133
