Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;4,00;12;1265;1268;1273
randomized;104,8000;257;1265;1268;383
randomized;101,4875;254;1265;1268;392
randomized;105,925;262;1265;1268;392
randomized;102,4375;249;1265;1268;393
randomized;103,0000;255;1265;1268;391
randomized;101,0125;253;1265;1268;395
randomized;107,6750;266;1265;1268;389
randomized;102,4250;249;1265;1268;379
randomized;103,2041666667;253;1265;1268;377
randomized;102,3625;253;1265;1268;392
randomized;104,2250;260;1265;1268;388
randomized;103,5250;257;1265;1268;388
randomized;102,4500;252;1265;1268;391
randomized;101,1000;247;1265;1268;386
randomized;103,0666666667;255;1265;1268;385
randomized;103,975;255;1265;1268;389
randomized;102,3500;258;1265;1268;394
randomized;103,8125;258;1265;1268;395
randomized;101,07500;253;1265;1268;401
randomized;106,1250;270;1265;1268;408
randomized;103,2500;250;1265;1268;383
randomized;103,8166666667;261;1265;1268;389
randomized;100,725;246;1265;1268;385
randomized;99,3125;240;1265;1268;388
randomized;102,8500;252;1265;1268;384
randomized;104,0500;258;1265;1268;390
randomized;102,9750;254;1265;1268;393
randomized;102,9125;255;1265;1268;394
randomized;101,0125;248;1265;1268;384
randomized;103,3250;248;1265;1268;386
randomized;103,4750;258;1265;1268;392
randomized;102,3125;250;1265;1268;389
randomized;103,0875;254;1265;1268;387
randomized;102,0791666667;254;1265;1268;395
randomized;102,0500000000;251;1265;1268;386
randomized;103,1125;261;1265;1268;399
randomized;103,8500;253;1265;1268;387
randomized;103,400;258;1265;1268;396
randomized;101,6750;247;1265;1268;383
randomized;104,850;259;1265;1268;388
randomized;103,775;263;1265;1268;394
randomized;100,075;244;1265;1268;383
randomized;104,175;256;1265;1268;395
randomized;106,4750;264;1265;1268;392
randomized;101,675;248;1265;1268;384
randomized;104,4000;255;1265;1268;390
randomized;103,4625;256;1265;1268;394
randomized;102,1000;248;1265;1268;388
randomized;103,7625;258;1265;1268;393
randomized;101,600;249;1265;1268;392
randomized;103,100;251;1265;1268;377
randomized;102,0375;254;1265;1268;391
randomized;100,6250;238;1265;1268;380
randomized;103,025;254;1265;1268;383
randomized;102,8000;255;1265;1268;390
randomized;104,275;258;1265;1268;394
randomized;104,2750;258;1265;1268;390
randomized;102,8166666667;248;1265;1268;384
randomized;103,4916666667;257;1265;1268;389
randomized;102,8750;254;1265;1268;387
randomized;102,5375;250;1265;1268;390
randomized;99,3625;242;1265;1268;386
randomized;102,4375;255;1265;1268;391
