"Group";"Case";"Set"
"7";"1";"Signbased.all"
"7";"1";"Signbased.all.gap"
"7";"1";"Signbased.log"
"7";"1";"Signbased.log.gap"
"7";"1";"Signbased.vis"
"7";"1";"Signbased.vis.gap"
"7";"1";"Superlogical"
"7";"1";"Superlogical.gap"
"7";"1";"withoutSB.all"
"7";"1";"withoutSB.all.gap"
"7";"1";"withoutSB.log"
"7";"1";"withoutSB.log.gap"
"7";"1";"withoutSB.vis"
"7";"1";"withoutSB.vis.gap"
"7";"2";"Signbased.all"
"7";"2";"Signbased.all.gap"
"7";"2";"Signbased.log"
"7";"2";"Signbased.log.gap"
"7";"2";"Signbased.vis"
"7";"2";"Signbased.vis.gap"
"7";"2";"Superlogical"
"7";"2";"Superlogical.gap"
"7";"2";"withoutSB.all"
"7";"2";"withoutSB.all.gap"
"7";"2";"withoutSB.log"
"7";"2";"withoutSB.log.gap"
"7";"2";"withoutSB.vis"
"7";"2";"withoutSB.vis.gap"
"7";"3";"Signbased.all"
"7";"3";"Signbased.all.gap"
"7";"3";"Signbased.log"
"7";"3";"Signbased.log.gap"
"7";"3";"Signbased.vis"
"7";"3";"Signbased.vis.gap"
"7";"3";"Superlogical"
"7";"3";"Superlogical.gap"
"7";"3";"withoutSB.all"
"7";"3";"withoutSB.all.gap"
"7";"3";"withoutSB.log"
"7";"3";"withoutSB.log.gap"
"7";"3";"withoutSB.vis"
"7";"3";"withoutSB.vis.gap"
"7";"4";"Signbased.all"
"7";"4";"Signbased.all.gap"
"7";"4";"Signbased.log"
"7";"4";"Signbased.log.gap"
"7";"4";"Signbased.vis"
"7";"4";"Signbased.vis.gap"
"7";"4";"Superlogical"
"7";"4";"Superlogical.gap"
"7";"4";"withoutSB.all"
"7";"4";"withoutSB.all.gap"
"7";"4";"withoutSB.log"
"7";"4";"withoutSB.log.gap"
"7";"4";"withoutSB.vis"
"7";"4";"withoutSB.vis.gap"
"7";"5";"Signbased.all"
"7";"5";"Signbased.all.gap"
"7";"5";"Signbased.log"
"7";"5";"Signbased.log.gap"
"7";"5";"Signbased.vis"
"7";"5";"Signbased.vis.gap"
"7";"5";"Superlogical"
"7";"5";"Superlogical.gap"
"7";"5";"withoutSB.all"
"7";"5";"withoutSB.all.gap"
"7";"5";"withoutSB.log"
"7";"5";"withoutSB.log.gap"
"7";"5";"withoutSB.vis"
"7";"5";"withoutSB.vis.gap"
"7";"6";"Signbased.all"
"7";"6";"Signbased.all.gap"
"7";"6";"Signbased.log"
"7";"6";"Signbased.log.gap"
"7";"6";"Signbased.vis"
"7";"6";"Signbased.vis.gap"
"7";"6";"Superlogical"
"7";"6";"Superlogical.gap"
"7";"6";"withoutSB.all"
"7";"6";"withoutSB.all.gap"
"7";"6";"withoutSB.log"
"7";"6";"withoutSB.log.gap"
"7";"6";"withoutSB.vis"
"7";"6";"withoutSB.vis.gap"
"7";"7";"Signbased.all"
"7";"7";"Signbased.all.gap"
"7";"7";"Signbased.log"
"7";"7";"Signbased.log.gap"
"7";"7";"Signbased.vis"
"7";"7";"Signbased.vis.gap"
"7";"7";"Superlogical"
"7";"7";"Superlogical.gap"
"7";"7";"withoutSB.all"
"7";"7";"withoutSB.all.gap"
"7";"7";"withoutSB.log"
"7";"7";"withoutSB.log.gap"
"7";"7";"withoutSB.vis"
"7";"7";"withoutSB.vis.gap"
"7";"8";"Signbased.all"
"7";"8";"Signbased.all.gap"
"7";"8";"Signbased.log"
"7";"8";"Signbased.log.gap"
"7";"8";"Signbased.vis"
"7";"8";"Signbased.vis.gap"
"7";"8";"Superlogical"
"7";"8";"Superlogical.gap"
"7";"8";"withoutSB.all"
"7";"8";"withoutSB.all.gap"
"7";"8";"withoutSB.log"
"7";"8";"withoutSB.log.gap"
"7";"8";"withoutSB.vis"
"7";"8";"withoutSB.vis.gap"
"7";"9";"Signbased.all"
"7";"9";"Signbased.all.gap"
"7";"9";"Signbased.log"
"7";"9";"Signbased.log.gap"
"7";"9";"Signbased.vis"
"7";"9";"Signbased.vis.gap"
"7";"9";"Superlogical"
"7";"9";"Superlogical.gap"
"7";"9";"withoutSB.all"
"7";"9";"withoutSB.all.gap"
"7";"9";"withoutSB.log"
"7";"9";"withoutSB.log.gap"
"7";"9";"withoutSB.vis"
"7";"9";"withoutSB.vis.gap"
"7";"10";"Signbased.all"
"7";"10";"Signbased.all.gap"
"7";"10";"Signbased.log"
"7";"10";"Signbased.log.gap"
"7";"10";"Signbased.vis"
"7";"10";"Signbased.vis.gap"
"7";"10";"Superlogical"
"7";"10";"Superlogical.gap"
"7";"10";"withoutSB.all"
"7";"10";"withoutSB.all.gap"
"7";"10";"withoutSB.log"
"7";"10";"withoutSB.log.gap"
"7";"10";"withoutSB.vis"
"7";"10";"withoutSB.vis.gap"
"6";"11";"Signbased.all"
"6";"11";"Signbased.all.gap"
"6";"11";"Signbased.log"
"6";"11";"Signbased.log.gap"
"6";"11";"Signbased.vis"
"6";"11";"Signbased.vis.gap"
"6";"11";"Superlogical"
"6";"11";"Superlogical.gap"
"6";"11";"withoutSB.all"
"6";"11";"withoutSB.all.gap"
"6";"11";"withoutSB.log"
"6";"11";"withoutSB.log.gap"
"6";"11";"withoutSB.vis"
"6";"11";"withoutSB.vis.gap"
"6";"12";"Signbased.all"
"6";"12";"Signbased.all.gap"
"6";"12";"Signbased.log"
"6";"12";"Signbased.log.gap"
"6";"12";"Signbased.vis"
"6";"12";"Signbased.vis.gap"
"6";"12";"Superlogical"
"6";"12";"Superlogical.gap"
"6";"12";"withoutSB.all"
"6";"12";"withoutSB.all.gap"
"6";"12";"withoutSB.log"
"6";"12";"withoutSB.log.gap"
"6";"12";"withoutSB.vis"
"6";"12";"withoutSB.vis.gap"
"6";"13";"Signbased.all"
"6";"13";"Signbased.all.gap"
"6";"13";"Signbased.log"
"6";"13";"Signbased.log.gap"
"6";"13";"Signbased.vis"
"6";"13";"Signbased.vis.gap"
"6";"13";"Superlogical"
"6";"13";"Superlogical.gap"
"6";"13";"withoutSB.all"
"6";"13";"withoutSB.all.gap"
"6";"13";"withoutSB.log"
"6";"13";"withoutSB.log.gap"
"6";"13";"withoutSB.vis"
"6";"13";"withoutSB.vis.gap"
"6";"14";"Signbased.all"
"6";"14";"Signbased.all.gap"
"6";"14";"Signbased.log"
"6";"14";"Signbased.log.gap"
"6";"14";"Signbased.vis"
"6";"14";"Signbased.vis.gap"
"6";"14";"Superlogical"
"6";"14";"Superlogical.gap"
"6";"14";"withoutSB.all"
"6";"14";"withoutSB.all.gap"
"6";"14";"withoutSB.log"
"6";"14";"withoutSB.log.gap"
"6";"14";"withoutSB.vis"
"6";"14";"withoutSB.vis.gap"
"6";"15";"Signbased.all"
"6";"15";"Signbased.all.gap"
"6";"15";"Signbased.log"
"6";"15";"Signbased.log.gap"
"6";"15";"Signbased.vis"
"6";"15";"Signbased.vis.gap"
"6";"15";"Superlogical"
"6";"15";"Superlogical.gap"
"6";"15";"withoutSB.all"
"6";"15";"withoutSB.all.gap"
"6";"15";"withoutSB.log"
"6";"15";"withoutSB.log.gap"
"6";"15";"withoutSB.vis"
"6";"15";"withoutSB.vis.gap"
"6";"16";"Signbased.all"
"6";"16";"Signbased.all.gap"
"6";"16";"Signbased.log"
"6";"16";"Signbased.log.gap"
"6";"16";"Signbased.vis"
"6";"16";"Signbased.vis.gap"
"6";"16";"Superlogical"
"6";"16";"Superlogical.gap"
"6";"16";"withoutSB.all"
"6";"16";"withoutSB.all.gap"
"6";"16";"withoutSB.log"
"6";"16";"withoutSB.log.gap"
"6";"16";"withoutSB.vis"
"6";"16";"withoutSB.vis.gap"
"6";"17";"Signbased.all"
"6";"17";"Signbased.all.gap"
"6";"17";"Signbased.log"
"6";"17";"Signbased.log.gap"
"6";"17";"Signbased.vis"
"6";"17";"Signbased.vis.gap"
"6";"17";"Superlogical"
"6";"17";"Superlogical.gap"
"6";"17";"withoutSB.all"
"6";"17";"withoutSB.all.gap"
"6";"17";"withoutSB.log"
"6";"17";"withoutSB.log.gap"
"6";"17";"withoutSB.vis"
"6";"17";"withoutSB.vis.gap"
"6";"18";"Signbased.all"
"6";"18";"Signbased.all.gap"
"6";"18";"Signbased.log"
"6";"18";"Signbased.log.gap"
"6";"18";"Signbased.vis"
"6";"18";"Signbased.vis.gap"
"6";"18";"Superlogical"
"6";"18";"Superlogical.gap"
"6";"18";"withoutSB.all"
"6";"18";"withoutSB.all.gap"
"6";"18";"withoutSB.log"
"6";"18";"withoutSB.log.gap"
"6";"18";"withoutSB.vis"
"6";"18";"withoutSB.vis.gap"
"6";"19";"Signbased.all"
"6";"19";"Signbased.all.gap"
"6";"19";"Signbased.log"
"6";"19";"Signbased.log.gap"
"6";"19";"Signbased.vis"
"6";"19";"Signbased.vis.gap"
"6";"19";"Superlogical"
"6";"19";"Superlogical.gap"
"6";"19";"withoutSB.all"
"6";"19";"withoutSB.all.gap"
"6";"19";"withoutSB.log"
"6";"19";"withoutSB.log.gap"
"6";"19";"withoutSB.vis"
"6";"19";"withoutSB.vis.gap"
"6";"20";"Signbased.all"
"6";"20";"Signbased.all.gap"
"6";"20";"Signbased.log"
"6";"20";"Signbased.log.gap"
"6";"20";"Signbased.vis"
"6";"20";"Signbased.vis.gap"
"6";"20";"Superlogical"
"6";"20";"Superlogical.gap"
"6";"20";"withoutSB.all"
"6";"20";"withoutSB.all.gap"
"6";"20";"withoutSB.log"
"6";"20";"withoutSB.log.gap"
"6";"20";"withoutSB.vis"
"6";"20";"withoutSB.vis.gap"
"5";"21";"Signbased.all"
"5";"21";"Signbased.all.gap"
"5";"21";"Signbased.log"
"5";"21";"Signbased.log.gap"
"5";"21";"Signbased.vis"
"5";"21";"Signbased.vis.gap"
"5";"21";"Superlogical"
"5";"21";"Superlogical.gap"
"5";"21";"withoutSB.all"
"5";"21";"withoutSB.all.gap"
"5";"21";"withoutSB.log"
"5";"21";"withoutSB.log.gap"
"5";"21";"withoutSB.vis"
"5";"21";"withoutSB.vis.gap"
"5";"22";"Signbased.all"
"5";"22";"Signbased.all.gap"
"5";"22";"Signbased.log"
"5";"22";"Signbased.log.gap"
"5";"22";"Signbased.vis"
"5";"22";"Signbased.vis.gap"
"5";"22";"Superlogical"
"5";"22";"Superlogical.gap"
"5";"22";"withoutSB.all"
"5";"22";"withoutSB.all.gap"
"5";"22";"withoutSB.log"
"5";"22";"withoutSB.log.gap"
"5";"22";"withoutSB.vis"
"5";"22";"withoutSB.vis.gap"
"5";"23";"Signbased.all"
"5";"23";"Signbased.all.gap"
"5";"23";"Signbased.log"
"5";"23";"Signbased.log.gap"
"5";"23";"Signbased.vis"
"5";"23";"Signbased.vis.gap"
"5";"23";"Superlogical"
"5";"23";"Superlogical.gap"
"5";"23";"withoutSB.all"
"5";"23";"withoutSB.all.gap"
"5";"23";"withoutSB.log"
"5";"23";"withoutSB.log.gap"
"5";"23";"withoutSB.vis"
"5";"23";"withoutSB.vis.gap"
"5";"24";"Signbased.all"
"5";"24";"Signbased.all.gap"
"5";"24";"Signbased.log"
"5";"24";"Signbased.log.gap"
"5";"24";"Signbased.vis"
"5";"24";"Signbased.vis.gap"
"5";"24";"Superlogical"
"5";"24";"Superlogical.gap"
"5";"24";"withoutSB.all"
"5";"24";"withoutSB.all.gap"
"5";"24";"withoutSB.log"
"5";"24";"withoutSB.log.gap"
"5";"24";"withoutSB.vis"
"5";"24";"withoutSB.vis.gap"
"5";"25";"Signbased.all"
"5";"25";"Signbased.all.gap"
"5";"25";"Signbased.log"
"5";"25";"Signbased.log.gap"
"5";"25";"Signbased.vis"
"5";"25";"Signbased.vis.gap"
"5";"25";"Superlogical"
"5";"25";"Superlogical.gap"
"5";"25";"withoutSB.all"
"5";"25";"withoutSB.all.gap"
"5";"25";"withoutSB.log"
"5";"25";"withoutSB.log.gap"
"5";"25";"withoutSB.vis"
"5";"25";"withoutSB.vis.gap"
"5";"26";"Signbased.all"
"5";"26";"Signbased.all.gap"
"5";"26";"Signbased.log"
"5";"26";"Signbased.log.gap"
"5";"26";"Signbased.vis"
"5";"26";"Signbased.vis.gap"
"5";"26";"Superlogical"
"5";"26";"Superlogical.gap"
"5";"26";"withoutSB.all"
"5";"26";"withoutSB.all.gap"
"5";"26";"withoutSB.log"
"5";"26";"withoutSB.log.gap"
"5";"26";"withoutSB.vis"
"5";"26";"withoutSB.vis.gap"
"5";"27";"Signbased.all"
"5";"27";"Signbased.all.gap"
"5";"27";"Signbased.log"
"5";"27";"Signbased.log.gap"
"5";"27";"Signbased.vis"
"5";"27";"Signbased.vis.gap"
"5";"27";"Superlogical"
"5";"27";"Superlogical.gap"
"5";"27";"withoutSB.all"
"5";"27";"withoutSB.all.gap"
"5";"27";"withoutSB.log"
"5";"27";"withoutSB.log.gap"
"5";"27";"withoutSB.vis"
"5";"27";"withoutSB.vis.gap"
"5";"28";"Signbased.all"
"5";"28";"Signbased.all.gap"
"5";"28";"Signbased.log"
"5";"28";"Signbased.log.gap"
"5";"28";"Signbased.vis"
"5";"28";"Signbased.vis.gap"
"5";"28";"Superlogical"
"5";"28";"Superlogical.gap"
"5";"28";"withoutSB.all"
"5";"28";"withoutSB.all.gap"
"5";"28";"withoutSB.log"
"5";"28";"withoutSB.log.gap"
"5";"28";"withoutSB.vis"
"5";"28";"withoutSB.vis.gap"
"5";"29";"Signbased.all"
"5";"29";"Signbased.all.gap"
"5";"29";"Signbased.log"
"5";"29";"Signbased.log.gap"
"5";"29";"Signbased.vis"
"5";"29";"Signbased.vis.gap"
"5";"29";"Superlogical"
"5";"29";"Superlogical.gap"
"5";"29";"withoutSB.all"
"5";"29";"withoutSB.all.gap"
"5";"29";"withoutSB.log"
"5";"29";"withoutSB.log.gap"
"5";"29";"withoutSB.vis"
"5";"29";"withoutSB.vis.gap"
"5";"30";"Signbased.all"
"5";"30";"Signbased.all.gap"
"5";"30";"Signbased.log"
"5";"30";"Signbased.log.gap"
"5";"30";"Signbased.vis"
"5";"30";"Signbased.vis.gap"
"5";"30";"Superlogical"
"5";"30";"Superlogical.gap"
"5";"30";"withoutSB.all"
"5";"30";"withoutSB.all.gap"
"5";"30";"withoutSB.log"
"5";"30";"withoutSB.log.gap"
"5";"30";"withoutSB.vis"
"5";"30";"withoutSB.vis.gap"
"4";"31";"Signbased.all"
"4";"31";"Signbased.all.gap"
"4";"31";"Signbased.log"
"4";"31";"Signbased.log.gap"
"4";"31";"Signbased.vis"
"4";"31";"Signbased.vis.gap"
"4";"31";"Superlogical"
"4";"31";"Superlogical.gap"
"4";"31";"withoutSB.all"
"4";"31";"withoutSB.all.gap"
"4";"31";"withoutSB.log"
"4";"31";"withoutSB.log.gap"
"4";"31";"withoutSB.vis"
"4";"31";"withoutSB.vis.gap"
"4";"32";"Signbased.all"
"4";"32";"Signbased.all.gap"
"4";"32";"Signbased.log"
"4";"32";"Signbased.log.gap"
"4";"32";"Signbased.vis"
"4";"32";"Signbased.vis.gap"
"4";"32";"Superlogical"
"4";"32";"Superlogical.gap"
"4";"32";"withoutSB.all"
"4";"32";"withoutSB.all.gap"
"4";"32";"withoutSB.log"
"4";"32";"withoutSB.log.gap"
"4";"32";"withoutSB.vis"
"4";"32";"withoutSB.vis.gap"
"4";"33";"Signbased.all"
"4";"33";"Signbased.all.gap"
"4";"33";"Signbased.log"
"4";"33";"Signbased.log.gap"
"4";"33";"Signbased.vis"
"4";"33";"Signbased.vis.gap"
"4";"33";"Superlogical"
"4";"33";"Superlogical.gap"
"4";"33";"withoutSB.all"
"4";"33";"withoutSB.all.gap"
"4";"33";"withoutSB.log"
"4";"33";"withoutSB.log.gap"
"4";"33";"withoutSB.vis"
"4";"33";"withoutSB.vis.gap"
"4";"34";"Signbased.all"
"4";"34";"Signbased.all.gap"
"4";"34";"Signbased.log"
"4";"34";"Signbased.log.gap"
"4";"34";"Signbased.vis"
"4";"34";"Signbased.vis.gap"
"4";"34";"Superlogical"
"4";"34";"Superlogical.gap"
"4";"34";"withoutSB.all"
"4";"34";"withoutSB.all.gap"
"4";"34";"withoutSB.log"
"4";"34";"withoutSB.log.gap"
"4";"34";"withoutSB.vis"
"4";"34";"withoutSB.vis.gap"
"4";"35";"Signbased.all"
"4";"35";"Signbased.all.gap"
"4";"35";"Signbased.log"
"4";"35";"Signbased.log.gap"
"4";"35";"Signbased.vis"
"4";"35";"Signbased.vis.gap"
"4";"35";"Superlogical"
"4";"35";"Superlogical.gap"
"4";"35";"withoutSB.all"
"4";"35";"withoutSB.all.gap"
"4";"35";"withoutSB.log"
"4";"35";"withoutSB.log.gap"
"4";"35";"withoutSB.vis"
"4";"35";"withoutSB.vis.gap"
"4";"36";"Signbased.all"
"4";"36";"Signbased.all.gap"
"4";"36";"Signbased.log"
"4";"36";"Signbased.log.gap"
"4";"36";"Signbased.vis"
"4";"36";"Signbased.vis.gap"
"4";"36";"Superlogical"
"4";"36";"Superlogical.gap"
"4";"36";"withoutSB.all"
"4";"36";"withoutSB.all.gap"
"4";"36";"withoutSB.log"
"4";"36";"withoutSB.log.gap"
"4";"36";"withoutSB.vis"
"4";"36";"withoutSB.vis.gap"
"4";"37";"Signbased.all"
"4";"37";"Signbased.all.gap"
"4";"37";"Signbased.log"
"4";"37";"Signbased.log.gap"
"4";"37";"Signbased.vis"
"4";"37";"Signbased.vis.gap"
"4";"37";"Superlogical"
"4";"37";"Superlogical.gap"
"4";"37";"withoutSB.all"
"4";"37";"withoutSB.all.gap"
"4";"37";"withoutSB.log"
"4";"37";"withoutSB.log.gap"
"4";"37";"withoutSB.vis"
"4";"37";"withoutSB.vis.gap"
"4";"38";"Signbased.all"
"4";"38";"Signbased.all.gap"
"4";"38";"Signbased.log"
"4";"38";"Signbased.log.gap"
"4";"38";"Signbased.vis"
"4";"38";"Signbased.vis.gap"
"4";"38";"Superlogical"
"4";"38";"Superlogical.gap"
"4";"38";"withoutSB.all"
"4";"38";"withoutSB.all.gap"
"4";"38";"withoutSB.log"
"4";"38";"withoutSB.log.gap"
"4";"38";"withoutSB.vis"
"4";"38";"withoutSB.vis.gap"
"4";"39";"Signbased.all"
"4";"39";"Signbased.all.gap"
"4";"39";"Signbased.log"
"4";"39";"Signbased.log.gap"
"4";"39";"Signbased.vis"
"4";"39";"Signbased.vis.gap"
"4";"39";"Superlogical"
"4";"39";"Superlogical.gap"
"4";"39";"withoutSB.all"
"4";"39";"withoutSB.all.gap"
"4";"39";"withoutSB.log"
"4";"39";"withoutSB.log.gap"
"4";"39";"withoutSB.vis"
"4";"39";"withoutSB.vis.gap"
"4";"40";"Signbased.all"
"4";"40";"Signbased.all.gap"
"4";"40";"Signbased.log"
"4";"40";"Signbased.log.gap"
"4";"40";"Signbased.vis"
"4";"40";"Signbased.vis.gap"
"4";"40";"Superlogical"
"4";"40";"Superlogical.gap"
"4";"40";"withoutSB.all"
"4";"40";"withoutSB.all.gap"
"4";"40";"withoutSB.log"
"4";"40";"withoutSB.log.gap"
"4";"40";"withoutSB.vis"
"4";"40";"withoutSB.vis.gap"
"3";"41";"Signbased.all"
"3";"41";"Signbased.all.gap"
"3";"41";"Signbased.log"
"3";"41";"Signbased.log.gap"
"3";"41";"Signbased.vis"
"3";"41";"Signbased.vis.gap"
"3";"41";"Superlogical"
"3";"41";"Superlogical.gap"
"3";"41";"withoutSB.all"
"3";"41";"withoutSB.all.gap"
"3";"41";"withoutSB.log"
"3";"41";"withoutSB.log.gap"
"3";"41";"withoutSB.vis"
"3";"41";"withoutSB.vis.gap"
"3";"42";"Signbased.all"
"3";"42";"Signbased.all.gap"
"3";"42";"Signbased.log"
