Szenario,Vergleich,Beobachtete Differenz,\alpha = 0.001
Signbased.all,1-2,15.6,Nein
,1-3,3.1,Nein
,1-4,25.9,Nein
,1-5,25.3,Nein
,1-6,44.1,Ja
,1-7,48.8,Ja
Signbased.log,1-2,12.3,Nein
,1-3,4.7,Nein
,1-4,23.7,Nein
,1-5,32.7,Nein
,1-6,45.6,Ja
,1-7,49,Ja
Signbased.log.gap,1-2,5.2,Nein
,1-3,10.2,Nein
,1-4,19.9,Nein
,1-5,35.4,Ja
,1-6,43.1,Ja
,1-7,45,Ja
Signbased.vis.gap,1-2,5.9,Nein
,1-3,11.3,Nein
,1-4,25.3,Nein
,1-5,35.1,Ja
,1-6,46.3,Ja
,1-7,50.4,Ja
Superlogical,1-2,5.2,Nein
,1-3,8.6,Nein
,1-4,19.4,Nein
,1-5,40.6,Ja
,1-6,43,Ja
,1-7,44.9,Ja
Superlogical.gap,1-2,4.4,Nein
,1-3,8.8,Nein
,1-4,19.6,Nein
,1-5,37.9,Ja
,1-6,41.9,Ja
,1-7,43.2,Ja
withoutSB.all,1-2,16.1,Nein
,1-3,6.7,Nein
,1-4,21.7,Nein
,1-5,36.7,Ja
,1-6,45.7,Ja
,1-7,48.8,Ja
withoutSB.log,1-2,8.7,Nein
,1-3,3.7,Nein
,1-4,18.9,Nein
,1-5,37.9,Ja
,1-6,44.1,Ja
,1-7,45.6,Ja
withoutSB.log.gap,1-2,2.7,Nein
,1-3,11.6,Nein
,1-4,21.3,Nein
,1-5,37.8,Ja
,1-6,43.6,Ja
,1-7,45.9,Ja
withoutSB.vis.gap,1-2,7,Nein
,1-3,11.3,Nein
,1-4,25.3,Nein
,1-5,37.9,Ja
,1-6,46.3,Ja
,1-7,49.3,Ja
