Szenario,Vergleich,Beobachtete Differenz,\alpha = 0.001
Signbased.all,7-6,4.3,Nein
,7-5,23.1,Nein
,7-4,22.5,Nein
,7-3,45.3,Ja
,7-2,32.8,Nein
,7-1,48.4,Ja
Signbased.log,7-6,3.4,Nein
,7-5,16.3,Nein
,7-4,25.3,Nein
,7-3,44.3,Ja
,7-2,36.7,Ja
,7-1,49,Ja
Signbased.log.gap,7-6,1.9,Nein
,7-5,9.6,Nein
,7-4,25.1,Nein
,7-3,34.8,Ja
,7-2,50.2,Ja
,7-1,45,Ja
Signbased.vis.gap,7-6,4.1,Nein
,7-5,15.3,Nein
,7-4,25.1,Nein
,7-3,39.1,Ja
,7-2,44.5,Ja
,7-1,50.4,Ja
Superlogical,7-6,1.9,Nein
,7-5,4.3,Nein
,7-4,25.5,Nein
,7-3,36.3,Ja
,7-2,39.7,Ja
,7-1,44.9,Ja
Superlogical.gap,7-6,1.3,Nein
,7-5,5.3,Nein
,7-4,23.6,Nein
,7-3,34.4,Ja
,7-2,47.6,Ja
,7-1,43.2,Ja
withoutSB.all,7-6,3.1,Nein
,7-5,12.1,Nein
,7-4,27.1,Nein
,7-3,42.1,Ja
,7-2,32.7,Nein
,7-1,48.8,Ja
withoutSB.log,7-6,1.5,Nein
,7-5,7.7,Nein
,7-4,26.7,Nein
,7-3,41.9,Ja
,7-2,36.9,Ja
,7-1,45.6,Ja
withoutSB.log.gap,7-6,2.3,Nein
,7-5,8.1,Nein
,7-4,24.6,Nein
,7-3,34.3,Ja
,7-2,48.6,Ja
,7-1,45.9,Ja
withoutSB.vis.gap,7-6,3,Nein
,7-5,11.4,Nein
,7-4,24,Nein
,7-3,38,Ja
,7-2,42.3,Ja
,7-1,49.3,Ja
