"Group";"Set";"P";"W";"R";"mdOrig";"mdRand"
"1";"Signbased.all";0,90055300165774;127853;-0,000790176114767235;0,57900780789572;0,586984086974889
"2";"Signbased.all";2,31855672424413e-07;6944;-0,032702764703804;0,326391900055921;0,563203218342978
"3";"Signbased.all";0,580014956852277;137632;-0,00349907435361276;0,589677851927232;0,546591439602026
"4";"Signbased.all";1,1971209870569e-06;14150;-0,0307066177858637;0,460744277947112;0,683036380119221
"5";"Signbased.all";4,59091768610079e-06;20392;-0,0289775102280058;0,287022466584308;0,631405693364753
"6";"Signbased.all";4,350499499699e-08;0;-0,0346263345340366;0,00318604837296072;0,544265649577535
"7";"Signbased.all";4,35049950039567e-08;0;-0,0346263345338573;0,00871778024121743;0,485884972769265
"1";"Signbased.all.gap";2,56477219368315e-05;28921;-0,0266148767197344;0,217799605366243;0,266892645923418
"2";"Signbased.all.gap";3,61210201277891e-07;8849;-0,0321750572547359;0,205470019988468;0,262810602904959
"3";"Signbased.all.gap";5,96014066296994e-05;33364;-0,0253841133621881;0,194692363812859;0,247041076469548
"4";"Signbased.all.gap";4,35049949954415e-08;0;-0,0346263345340764;0,201958017993575;0,308460129843426
"5";"Signbased.all.gap";6,55941706343054e-08;1670;-0,0341637248542035;0,0921421899048618;0,275290771862673
"6";"Signbased.all.gap";4,35049949827978e-08;0;-0,0346263345344018;0,00318604837296072;0,250705664457301
"7";"Signbased.all.gap";4,35049949975059e-08;0;-0,0346263345340233;0,00445470717020202;0,229327230600775
"1";"Signbased.log";0,840413771445752;120403;-0,00127328467130026;0,692520179038467;0,728922522316255
"2";"Signbased.log";2,63979173718535e-06;17781,5;-0,0297006499165545;0,460481131861022;0,711834981167704
"3";"Signbased.log";0,657726740899044;135114;-0,0028015587129568;0,712840753849975;0,677987496042966
"4";"Signbased.log";5,19550745126847e-07;10433;-0,0317362708201899;0,585438763257955;0,815040650406504
"5";"Signbased.log";4,85836081982085e-06;20662,5;-0,0289025786357257;0,298128342245989;0,780522282474801
"6";"Signbased.log";4,35049899600896e-08;0;-0,0346263346636549;0,00534150225603822;0,703003759398496
