Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;6,5;4;862;863;742
randomized;134,6250000000;162;862;863;213
randomized;128,6041666668;161;862;863;217
randomized;136,2083333334;158;862;863;215
randomized;129,3749999999;157;862;863;219
randomized;134,9583333333;164;862;863;206
randomized;134,3541666666;165;862;863;211
randomized;132,6666666666;156;862;863;215
randomized;130,7916666667;161;862;863;212
randomized;132,1666666667;157;862;863;220
randomized;134,8958333333;159;862;863;213
randomized;133,2291666667;155;862;863;211
randomized;127,7083333333;158;862;863;213
randomized;133,1250000000;158;862;863;214
randomized;134,5625000000;164;862;863;209
randomized;134,8333333333;158;862;863;214
randomized;133,4791666667;159;862;863;216
randomized;128,1666666666;155;862;863;219
randomized;139,6250;165;862;863;206
randomized;129,9583333333;159;862;863;211
randomized;125,7708333333;156;862;863;216
randomized;136,1666666666;159;862;863;215
randomized;127,9583333333;155;862;863;219
randomized;135,81250;160;862;863;213
randomized;130,0833333333;158;862;863;214
randomized;126,2708333333;154;862;863;218
randomized;133,2083333332;167;862;863;205
randomized;129,3125000000;154;862;863;225
randomized;131,8541666667;160;862;863;215
randomized;117,2916666667;147;862;863;220
randomized;134,1666666667;163;862;863;212
randomized;125,7847222222;159;862;863;219
randomized;127,8333333333;154;862;863;222
randomized;131,7083333333;160;862;863;207
randomized;126,0833333333;157;862;863;212
randomized;129,2083333333;157;862;863;215
randomized;138,1250000000;156;862;863;216
randomized;131,5416666667;160;862;863;212
randomized;133,2708333333;161;862;863;210
randomized;131,7708333333;163;862;863;214
randomized;127,0416666666;156;862;863;215
randomized;131,31250;162;862;863;215
randomized;130,12500;157;862;863;217
randomized;130,2916666666;158;862;863;211
randomized;131,9166666666;163;862;863;208
randomized;132,6249999999;167;862;863;208
randomized;128,7500000000;156;862;863;219
randomized;133,9374999999;157;862;863;219
randomized;134,1666666667;161;862;863;212
randomized;131,9166666667;158;862;863;221
randomized;132,3958333333;159;862;863;218
randomized;132,6666666667;150;862;863;230
randomized;135,375;161;862;863;207
randomized;132,4166666666;165;862;863;211
randomized;133,4375000000;160;862;863;218
randomized;128,2499999999;159;862;863;217
randomized;133,0000;162;862;863;213
randomized;140,5000000000;168;862;863;213
randomized;133,2500000000;159;862;863;210
randomized;137,9583333334;164;862;863;212
randomized;131,7222222222;165;862;863;205
randomized;138,4861111111;157;862;863;216
randomized;134,6250000000;162;862;863;212
randomized;134,4791666666;163;862;863;210
randomized;137,2708333333;166;862;863;204
randomized;128,7916666667;159;862;863;218
randomized;134,0625;164;862;863;204
randomized;138,4166666667;164;862;863;203
randomized;125,9791666667;151;862;863;220
randomized;130,9166666667;162;862;863;213
randomized;132,9583333334;155;862;863;220
