Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;46,9523809525;35;947;948;957
randomized;65,5523809516;86;947;948;97
randomized;58,8857142851;77;947;948;99
randomized;59,9142857138;82;947;948;98
randomized;58,7428571421;76;947;948;103
randomized;60,3904761897;83;947;948;100
randomized;52,5714285708;78;947;948;98
randomized;57,6857142850;83;947;948;96
randomized;55,4095238087;81;947;948;97
randomized;63,0619047610;83;947;948;99
randomized;62,3904761899;84;947;948;101
randomized;55,3761904756;78;947;948;99
randomized;57,5857142852;73;947;948;108
randomized;54,9714285710;82;947;948;97
randomized;58,9809523803;79;947;948;101
randomized;59,3476190469;83;947;948;101
randomized;62,1857142852;83;947;948;99
randomized;59,8547619042;80;947;948;100
randomized;54,3238095228;76;947;948;99
randomized;62,2285714277;82;947;948;97
randomized;56,4761904753;80;947;948;99
randomized;58,4952380944;81;947;948;99
randomized;58,0095238089;77;947;948;100
randomized;57,6333333327;78;947;948;102
randomized;60,6190476182;79;947;948;100
randomized;58,5928571423;78;947;948;101
randomized;63,4761904755;86;947;948;99
randomized;60,7238095229;81;947;948;98
randomized;58,6238095231;81;947;948;103
randomized;58,2857142847;81;947;948;96
randomized;62,2285714280;87;947;948;98
randomized;53,5428571424;77;947;948;100
randomized;55,3619047611;80;947;948;100
randomized;43,5119047614;71;947;948;103
randomized;55,7333333330;77;947;948;102
randomized;50,4238095233;75;947;948;103
randomized;58,9476190470;79;947;948;100
randomized;57,5619047611;76;947;948;101
randomized;51,7523809515;73;947;948;100
randomized;53,8952380947;78;947;948;98
randomized;50,4714285708;75;947;948;100
randomized;61,0166666658;82;947;948;102
randomized;53,2190476183;78;947;948;101
randomized;58,1523809516;80;947;948;100
randomized;51,5619047612;74;947;948;99
randomized;57,7142857136;80;947;948;97
randomized;50,2833333330;75;947;948;100
randomized;56,4666666660;80;947;948;95
randomized;54,6285714279;82;947;948;96
randomized;54,4095238090;75;947;948;103
randomized;57,7023809517;80;947;948;100
randomized;59,3809523803;84;947;948;97
randomized;55,0714285707;80;947;948;94
randomized;57,8333333328;81;947;948;100
randomized;62,1333333326;81;947;948;100
randomized;51,9285714279;75;947;948;101
randomized;61,2523809514;82;947;948;97
randomized;62,8285714279;81;947;948;101
randomized;54,8238095232;79;947;948;101
randomized;64,8285714277;86;947;948;98
randomized;55,7452380947;81;947;948;100
randomized;54,5523809518;81;947;948;96
randomized;56,3904761898;77;947;948;99
randomized;61,2904761896;81;947;948;99
randomized;62,7142857136;87;947;948;97
randomized;61,0809523806;81;947;948;101
randomized;58,6333333326;81;947;948;99
randomized;55,6380952373;78;947;948;98
randomized;57,1238095234;80;947;948;102
randomized;64,4476190470;77;947;948;102
randomized;61,9333333326;82;947;948;100
randomized;60,0999999994;77;947;948;102
randomized;54,7190476181;79;947;948;97
randomized;57,0380952375;81;947;948;99
randomized;57,0666666658;78;947;948;98
randomized;66,8571428563;85;947;948;98
randomized;60,4214285708;81;947;948;101
randomized;63,0214285708;87;947;948;99
randomized;55,3047619038;76;947;948;101
randomized;58,1333333327;77;947;948;104
randomized;54,5047619041;77;947;948;102
randomized;53,3761904755;76;947;948;101
randomized;56,2999999995;80;947;948;101
randomized;54,6952380946;78;947;948;98
randomized;56,6095238087;77;947;948;98
randomized;64,9619047612;84;947;948;100
randomized;61,1333333325;83;947;948;99
randomized;57,2999999993;79;947;948;100
randomized;57,9904761900;78;947;948;99
randomized;58,7142857136;78;947;948;102
randomized;54,8761904752;79;947;948;98
randomized;57,1071428562;80;947;948;99
randomized;55,2809523804;78;947;948;102
randomized;61,5857142851;84;947;948;99
randomized;55,9428571423;79;947;948;100
randomized;57,5809523805;81;947;948;99
randomized;58,4380952374;80;947;948;103
randomized;57,2952380946;76;947;948;102
randomized;58,4761904756;83;947;948;100
randomized;61,8428571424;83;947;948;101
randomized;53,5333333327;79;947;948;99
randomized;56,5999999995;78;947;948;99
randomized;60,4761904756;83;947;948;101
randomized;58,5142857137;77;947;948;103
randomized;53,8619047614;79;947;948;99
randomized;57,6809523802;83;947;948;98
randomized;64,1285714279;85;947;948;98
randomized;54,1428571422;77;947;948;100
randomized;58,8999999993;83;947;948;99
randomized;58,8714285707;81;947;948;96
randomized;62,3476190467;83;947;948;98
randomized;57,3619047610;79;947;948;100
randomized;57,1619047611;81;947;948;98
randomized;60,6809523800;84;947;948;98
randomized;62,6761904753;84;947;948;97
randomized;59,5523809516;81;947;948;98
randomized;62,7999999994;82;947;948;100
randomized;59,3857142853;77;947;948;100
randomized;53,2666666659;78;947;948;100
randomized;64,3047619039;85;947;948;98
randomized;54,7023809517;77;947;948;102
randomized;57,2166666660;80;947;948;99
randomized;56,1999999996;79;947;948;99
randomized;60,8714285707;82;947;948;99
randomized;50,4190476182;79;947;948;97
randomized;58,6333333326;82;947;948;97
randomized;48,7142857133;77;947;948;96
randomized;54,7999999993;77;947;948;98
randomized;55,8666666659;82;947;948;95
randomized;53,7095238091;75;947;948;99
randomized;61,7809523804;82;947;948;101
randomized;58,7190476184;82;947;948;96
randomized;56,4857142848;78;947;948;99
randomized;60,9714285708;80;947;948;98
randomized;51,5857142851;76;947;948;101
randomized;55,1619047612;77;947;948;102
randomized;56,7190476185;79;947;948;100
randomized;58,8571428564;81;947;948;99
randomized;61,6857142850;82;947;948;99
randomized;49,7999999995;74;947;948;97
randomized;52,8523809518;79;947;948;101
randomized;60,3238095233;82;947;948;103
randomized;62,8809523802;82;947;948;101
randomized;56,3642857134;82;947;948;97
randomized;59,0238095232;80;947;948;101
randomized;50,0190476183;72;947;948;103
randomized;59,8714285710;82;947;948;100
randomized;53,3999999996;77;947;948;99
randomized;52,7428571423;73;947;948;100
randomized;55,2285714279;77;947;948;101
randomized;58,5904761899;80;947;948;101
randomized;56,7047619043;75;947;948;102
randomized;49,9999999993;72;947;948;99
randomized;61,1047619039;83;947;948;98
randomized;56,9333333327;80;947;948;99
randomized;56,0142857138;75;947;948;98
randomized;57,3333333327;80;947;948;103
randomized;55,1714285707;79;947;948;100
randomized;57,5999999992;80;947;948;97
randomized;56,6142857134;80;947;948;101
randomized;59,1571428565;77;947;948;103
randomized;60,5428571423;82;947;948;99
randomized;62,7095238086;85;947;948;98
randomized;58,7428571423;79;947;948;102
randomized;53,5809523801;76;947;948;100
randomized;54,6952380943;79;947;948;97
randomized;58,3619047612;81;947;948;99
randomized;62,3761904754;81;947;948;101
randomized;58,1238095233;82;947;948;100
randomized;56,0571428568;76;947;948;99
randomized;62,1904761900;84;947;948;100
randomized;61,5809523804;81;947;948;96
randomized;57,8047619042;79;947;948;100
randomized;59,4523809518;81;947;948;99
randomized;53,6714285708;79;947;948;100
randomized;61,5714285706;81;947;948;99
randomized;58,3333333325;83;947;948;97
randomized;50,7428571424;73;947;948;99
randomized;60,8666666660;80;947;948;99
randomized;64,2380952373;85;947;948;99
randomized;61,3619047612;82;947;948;99
randomized;49,8333333325;80;947;948;97
randomized;63,1380952374;85;947;948;97
randomized;55,1857142851;78;947;948;97
randomized;45,3714285707;76;947;948;100
randomized;54,8571428566;76;947;948;100
randomized;47,9666666661;70;947;948;102
randomized;47,2047619041;71;947;948;104
randomized;48,8142857137;72;947;948;103
randomized;53,8785714279;81;947;948;98
randomized;60,0095238090;82;947;948;100
randomized;44,9142857134;75;947;948;96
randomized;62,4476190467;84;947;948;100
randomized;53,6023809518;76;947;948;101
randomized;52,7523809517;79;947;948;97
randomized;58,8571428564;82;947;948;96
randomized;54,6238095230;83;947;948;98
randomized;54,5190476182;80;947;948;101
randomized;56,8761904754;78;947;948;99
randomized;51,6404761896;74;947;948;100
randomized;53,0761904753;78;947;948;100
randomized;58,3190476183;83;947;948;98
randomized;54,3238095230;76;947;948;100
randomized;58,0761904754;82;947;948;99
randomized;54,0095238087;78;947;948;99
randomized;57,8333333328;82;947;948;98
randomized;58,7523809517;78;947;948;103
randomized;56,5999999993;79;947;948;101
randomized;55,8761904752;79;947;948;99
randomized;44,2619047612;73;947;948;99
randomized;59,2857142849;83;947;948;98
randomized;53,4571428566;75;947;948;100
randomized;51,3095238089;77;947;948;99
randomized;57,7238095231;84;947;948;98
randomized;60,2476190469;81;947;948;97
randomized;56,9333333327;80;947;948;98
randomized;52,1333333326;76;947;948;105
randomized;53,9333333329;79;947;948;100
randomized;56,3904761899;78;947;948;99
randomized;55,1999999993;78;947;948;101
randomized;54,7952380943;81;947;948;100
randomized;55,2571428564;76;947;948;102
randomized;60,7999999993;84;947;948;99
randomized;58,9190476185;78;947;948;104
randomized;58,5333333328;79;947;948;100
randomized;60,4666666663;78;947;948;105
randomized;63,2380952373;85;947;948;97
randomized;55,3714285707;82;947;948;96
randomized;56,9714285710;78;947;948;99
randomized;60,1428571420;83;947;948;99
randomized;61,1999999993;81;947;948;102
randomized;61,6761904754;81;947;948;97
randomized;58,3523809514;81;947;948;97
randomized;53,8761904754;77;947;948;101
randomized;56,5619047608;81;947;948;98
randomized;55,9571428566;79;947;948;102
randomized;64,1761904755;83;947;948;100
randomized;58,6952380948;79;947;948;99
randomized;61,4476190469;80;947;948;99
randomized;58,8857142853;80;947;948;100
randomized;62,2190476183;82;947;948;99
randomized;52,7047619039;77;947;948;101
randomized;60,9333333326;83;947;948;96
