Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;2,5;6;821;820;824
randomized;98,4749999999;256;821;820;341
randomized;99,4458333333;253;821;820;331
randomized;100,2666666667;256;821;820;336
randomized;99,6791666666;251;821;820;332
randomized;98,3291666666;251;821;820;341
randomized;97,9500000000;248;821;820;337
randomized;100,8333333333;260;821;820;340
randomized;97,5999999999;251;821;820;336
randomized;92,7000000000;234;821;820;332
randomized;98,8958333333;251;821;820;334
randomized;98,5583333333;250;821;820;333
randomized;94,5000000000;241;821;820;335
randomized;97,5458333333;249;821;820;337
randomized;97,5541666667;252;821;820;344
randomized;101,7916666667;256;821;820;335
randomized;97,2791666667;245;821;820;333
randomized;99,0499999999;254;821;820;344
randomized;98,4166666666;254;821;820;337
randomized;98,5666666666;253;821;820;335
randomized;99,100;250;821;820;332
randomized;96,5166666666;250;821;820;337
randomized;97,1083333333;243;821;820;328
randomized;100,2375000000;257;821;820;341
randomized;100,4083333333;258;821;820;340
randomized;100,3000000000;255;821;820;331
randomized;102,1166666666;262;821;820;337
randomized;98,8500000001;249;821;820;337
randomized;97,1666666666;252;821;820;337
randomized;99,7916666664;255;821;820;334
randomized;98,9583333333;258;821;820;346
randomized;99,0666666665;255;821;820;333
randomized;98,1083333332;253;821;820;336
randomized;96,2555555554;249;821;820;342
randomized;99,4875000000;253;821;820;342
randomized;99,7083333333;256;821;820;337
randomized;98,4999999999;256;821;820;345
randomized;98,4208333333;252;821;820;342
randomized;97,6666666667;250;821;820;341
randomized;98,2083333333;251;821;820;335
randomized;97,9416666667;252;821;820;344
randomized;102,9708333333;264;821;820;339
randomized;98,2374999999;252;821;820;337
randomized;100,1124999999;260;821;820;345
randomized;100,6208333332;259;821;820;339
randomized;100,4624999999;264;821;820;349
randomized;99,2138888888;256;821;820;337
randomized;99,3958333333;258;821;820;343
randomized;99,9499999999;260;821;820;345
randomized;102,4749999999;258;821;820;336
randomized;98,4583333333;250;821;820;334
randomized;100,1291666666;255;821;820;339
randomized;98,7416666667;252;821;820;336
randomized;98,0250000000;252;821;820;338
randomized;98,1083333332;254;821;820;337
randomized;98,0166666666;252;821;820;338
randomized;97,1722222222;251;821;820;339
randomized;96,5041666667;246;821;820;340
randomized;97,4333333332;251;821;820;339
randomized;97,5750000000;251;821;820;339
randomized;97,9958333333;254;821;820;343
randomized;97,3249999998;256;821;820;348
randomized;100,7666666667;256;821;820;338
randomized;97,0666666666;249;821;820;332
randomized;101,1750000000;256;821;820;334
