Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;24,5555555555;14;168;168;175
randomized;126,2569444426;144;168;168;217
randomized;128,5158730139;151;168;168;213
randomized;120,2738095225;141;168;168;220
randomized;121,4494047600;144;168;168;212
randomized;115,9861111095;139;168;168;213
randomized;122,3978174584;146;168;168;213
randomized;114,0813492046;137;168;168;220
randomized;108,4999999986;131;168;168;229
randomized;104,9771825383;136;168;168;216
randomized;116,3849206328;146;168;168;211
randomized;95,9543650782;129;168;168;222
randomized;120,4761904747;144;168;168;218
randomized;114,7063492043;143;168;168;217
randomized;112,4007936494;133;168;168;226
randomized;112,0138888873;134;168;168;222
randomized;117,1636904747;138;168;168;219
randomized;1310,3015872999;754;168;168;881
randomized;1310,3015872999;754;168;168;881
randomized;104,8700396815;130;168;168;226
randomized;112,7291666653;141;168;168;213
randomized;121,3154761885;148;168;168;211
randomized;122,0753968237;143;168;168;221
randomized;118,8660714269;135;168;168;219
randomized;110,2936507920;140;168;168;211
randomized;108,5436507919;141;168;168;206
randomized;120,0267857129;142;168;168;219
randomized;118,4424603160;138;168;168;224
randomized;120,0932539667;142;168;168;213
randomized;122,4087301568;146;168;168;219
randomized;110,1438492051;137;168;168;218
randomized;119,2331349190;141;168;168;223
randomized;115,9999999988;142;168;168;217
randomized;113,4533730144;130;168;168;217
randomized;124,4999999984;143;168;168;220
randomized;111,0565476175;135;168;168;223
randomized;113,1686507920;141;168;168;212
randomized;116,2638888874;141;168;168;215
randomized;129,6607142843;146;168;168;217
randomized;1305,9424603155;756;168;168;872
randomized;1305,9424603155;756;168;168;872
randomized;110,1408730143;136;168;168;219
randomized;105,2599206328;140;168;168;206
randomized;120,6438492046;149;168;168;210
randomized;113,2698412681;140;168;168;219
randomized;121,5476190457;142;168;168;215
randomized;119,0376984106;146;168;168;203
randomized;117,3898809508;143;168;168;217
randomized;124,6507936489;155;168;168;203
randomized;108,6121031728;138;168;168;214
randomized;120,0148809503;151;168;168;209
randomized;121,8224206334;144;168;168;219
randomized;121,3045634900;151;168;168;211
randomized;120,5337301568;140;168;168;224
randomized;108,0664682522;133;168;168;213
randomized;111,9593253948;138;168;168;216
randomized;120,2400793636;144;168;168;219
randomized;107,5238095222;133;168;168;219
randomized;104,1438492046;134;168;168;214
randomized;112,2371031731;136;168;168;217
randomized;119,3462301571;145;168;168;217
randomized;1288,0476190457;749;168;168;872
randomized;1288,0476190457;749;168;168;872
randomized;123,2847222203;146;168;168;213
randomized;110,2688492045;136;168;168;219
randomized;116,5079365062;138;168;168;219
randomized;1292,5357142837;748;168;168;878
randomized;1291,1230158710;751;168;168;871
randomized;1274,9216269823;744;168;168;869
randomized;1305,5694444425;759;168;168;875
randomized;1292,8412698392;751;168;168;876
randomized;1301,4146825373;757;168;168;874
randomized;1297,8154761887;755;168;168;873
randomized;1298,1587301570;753;168;168;878
randomized;1275,7380952363;742;168;168;873
randomized;132,8085317442;155;168;168;216
randomized;134,5317460301;151;168;168;216
randomized;129,1507936494;154;168;168;206
randomized;117,7123015858;138;168;168;226
randomized;110,5753968237;136;168;168;221
randomized;131,3591269822;156;168;168;204
randomized;128,8115079348;149;168;168;214
randomized;119,8353174587;145;168;168;208
randomized;115,8234126967;143;168;168;214
randomized;122,5297619031;151;168;168;207
randomized;140,8670634903;158;168;168;209
randomized;126,4900793632;152;168;168;216
randomized;121,7767857125;149;168;168;212
randomized;116,6507936488;144;168;168;209
randomized;131,3878968233;149;168;168;216
randomized;1260,5912698391;742;168;168;874
randomized;1289,2529761883;752;168;168;873
randomized;116,3134920618;139;168;168;225
randomized;120,7281746012;142;168;168;220
randomized;112,1011904743;138;168;168;223
randomized;114,2986111096;141;168;168;217
randomized;119,6349206327;142;168;168;220
randomized;110,6180555540;139;168;168;215
randomized;115,5228174588;136;168;168;227
randomized;117,7876984110;144;168;168;214
randomized;124,6378968240;145;168;168;220
randomized;127,8293650777;149;168;168;211
randomized;114,0396825382;133;168;168;224
randomized;125,1130952366;147;168;168;215
randomized;123,7123015858;144;168;168;222
randomized;122,6329365063;141;168;168;218
randomized;128,5704365060;148;168;168;213
randomized;118,4821428554;139;168;168;225
randomized;122,5952380936;152;168;168;208
randomized;117,5218253954;147;168;168;213
randomized;121,6894841252;136;168;168;228
randomized;129,1785714274;144;168;168;219
randomized;1299,4980158710;756;168;168;875
randomized;1299,4980158710;756;168;168;875
randomized;116,7162698397;141;168;168;218
randomized;118,0317460300;142;168;168;212
randomized;126,3204365062;143;168;168;221
randomized;119,9702380935;149;168;168;210
randomized;112,0198412679;143;168;168;210
randomized;122,1874999982;147;168;168;222
randomized;119,3511904746;138;168;168;225
randomized;118,5952380938;147;168;168;212
randomized;109,8472222204;141;168;168;216
randomized;121,7162698397;146;168;168;221
randomized;109,9484126966;132;168;168;222
randomized;127,1904761890;145;168;168;210
randomized;118,1825396807;139;168;168;220
randomized;123,3055555541;145;168;168;212
randomized;117,2103174585;141;168;168;210
randomized;119,0317460302;148;168;168;212
randomized;120,2331349195;142;168;168;222
randomized;115,9007936496;137;168;168;218
randomized;111,1974206332;143;168;168;213
randomized;127,2807539668;138;168;168;228
randomized;1295,5833333316;754;168;168;877
randomized;1295,5833333316;754;168;168;877
randomized;123,0406746011;141;168;168;217
randomized;119,8630952363;138;168;168;219
randomized;126,8253968234;156;168;168;206
randomized;113,2311507920;138;168;168;215
randomized;118,8055555539;148;168;168;210
randomized;118,9791666654;142;168;168;217
randomized;121,8432539663;139;168;168;221
randomized;121,6190476176;143;168;168;217
randomized;1302,6805555540;754;168;168;879
randomized;1302,6805555540;754;168;168;879
randomized;114,9087301570;139;168;168;217
randomized;103,6468253948;138;168;168;211
randomized;116,9484126969;145;168;168;210
randomized;115,7281746013;144;168;168;216
randomized;115,5793650777;147;168;168;207
randomized;108,4900793633;136;168;168;213
randomized;100,1121031730;132;168;168;217
randomized;120,5535714267;145;168;168;215
randomized;111,7579365061;139;168;168;218
randomized;118,8174603157;143;168;168;212
randomized;119,6825396812;142;168;168;221
randomized;125,1567460299;148;168;168;215
randomized;114,9464285698;144;168;168;213
randomized;103,3720238074;133;168;168;220
randomized;124,4801587283;149;168;168;212
randomized;121,9801587289;141;168;168;223
randomized;120,1468253953;145;168;168;215
randomized;103,0515872997;143;168;168;204
randomized;115,8303571411;141;168;168;221
randomized;117,5992063474;142;168;168;217
randomized;1270,5952380932;742;168;168;877
randomized;1270,5952380932;742;168;168;877
randomized;113,1448412679;147;168;168;208
randomized;107,7936507919;143;168;168;212
randomized;123,1547619028;146;168;168;215
randomized;120,3710317442;152;168;168;212
randomized;108,1031746015;140;168;168;214
randomized;108,5654761890;141;168;168;213
randomized;109,2420634905;133;168;168;225
randomized;116,2499999984;137;168;168;212
randomized;116,4484126969;139;168;168;215
randomized;123,1230158712;149;168;168;212
randomized;112,9087301572;135;168;168;217
randomized;114,5317460297;144;168;168;209
randomized;113,3244047600;139;168;168;215
randomized;115,1567460303;134;168;168;221
randomized;123,7579365060;149;168;168;212
randomized;121,1269841253;150;168;168;208
randomized;102,0317460297;140;168;168;212
randomized;113,5515872999;143;168;168;214
randomized;109,3075396812;131;168;168;224
randomized;109,3244047602;136;168;168;213
randomized;1289,7966269821;751;168;168;870
randomized;1289,7966269821;751;168;168;870
randomized;1293,9503968238;752;168;168;876
randomized;120,7619047600;143;168;168;215
randomized;117,1498015859;139;168;168;221
randomized;130,0019841253;151;168;168;215
randomized;118,2718253949;138;168;168;226
randomized;122,7519841254;144;168;168;223
randomized;116,5079365059;147;168;168;209
randomized;133,6607142835;153;168;168;216
randomized;1283,9067460302;745;168;168;875
randomized;1283,9067460302;745;168;168;875
randomized;111,4831349194;139;168;168;218
randomized;115,3561507918;141;168;168;221
randomized;122,0327380933;149;168;168;214
randomized;113,3472222208;127;168;168;228
randomized;129,6527777759;149;168;168;210
randomized;115,5099206333;138;168;168;222
randomized;127,0873015853;152;168;168;208
randomized;119,8829365061;144;168;168;216
randomized;118,7777777765;144;168;168;217
randomized;129,2698412681;152;168;168;214
randomized;114,8779761886;136;168;168;223
randomized;121,4226190458;146;168;168;214
randomized;110,4186507920;139;168;168;215
randomized;123,1428571409;149;168;168;213
randomized;118,7301587284;149;168;168;203
randomized;1310,4087301570;760;168;168;875
randomized;1310,4087301570;760;168;168;875
randomized;124,6349206333;149;168;168;213
randomized;119,7698412679;148;168;168;209
randomized;126,5803571414;148;168;168;218
randomized;123,7886904749;142;168;168;224
randomized;118,5803571412;142;168;168;214
randomized;116,9107142840;143;168;168;210
randomized;111,7351190462;137;168;168;218
randomized;128,3035714268;151;168;168;214
randomized;111,3422619033;132;168;168;223
randomized;126,9960317448;148;168;168;212
randomized;125,9206349191;146;168;168;215
randomized;127,2380952363;148;168;168;214
randomized;118,9940476169;141;168;168;218
randomized;119,6111111096;134;168;168;226
randomized;125,6567460300;144;168;168;212
randomized;108,0009920618;140;168;168;205
randomized;117,6468253950;145;168;168;218
randomized;113,6498015859;137;168;168;221
randomized;117,8402777763;140;168;168;222
randomized;129,9999999982;151;168;168;210
randomized;1285,3640873001;746;168;168;876
randomized;1285,3640873001;746;168;168;876
randomized;119,2113095219;145;168;168;216
randomized;130,1587301572;146;168;168;219
randomized;120,7242063471;143;168;168;219
randomized;115,4126984108;147;168;168;206
randomized;119,4771825379;145;168;168;218
randomized;120,0446428552;148;168;168;210
randomized;113,7123015853;141;168;168;216
randomized;1302,5396825376;754;168;168;874
randomized;1302,5396825376;754;168;168;874
randomized;116,4990079349;140;168;168;220
randomized;104,7311507921;129;168;168;217
randomized;114,4394841254;140;168;168;218
randomized;121,5198412685;150;168;168;205
randomized;116,0238095222;142;168;168;215
randomized;129,4365079345;147;168;168;217
randomized;119,3432539668;147;168;168;218
randomized;119,7867063476;147;168;168;211
randomized;112,4305555537;134;168;168;220
randomized;128,9880952365;147;168;168;211
randomized;107,2490079347;135;168;168;225
randomized;110,2519841250;137;168;168;221
randomized;119,9623015857;143;168;168;214
randomized;117,5277777762;139;168;168;217
randomized;119,9980158714;143;168;168;214
randomized;122,0049603153;144;168;168;213
randomized;129,2242063478;150;168;168;210
randomized;110,1944444429;144;168;168;211
randomized;111,4543650772;140;168;168;207
randomized;116,6507936493;141;168;168;215
randomized;1278,4345238077;741;168;168;877
randomized;1278,4345238077;741;168;168;877
randomized;109,6547619033;134;168;168;221
randomized;119,7123015853;144;168;168;215
randomized;120,9146825382;144;168;168;217
randomized;119,8928571413;135;168;168;229
randomized;131,7668650774;146;168;168;219
randomized;1311,9017857125;761;168;168;878
randomized;1311,9017857125;761;168;168;878
randomized;115,9682539664;144;168;168;213
randomized;116,0436507921;133;168;168;233
randomized;118,4305555538;144;168;168;214
randomized;118,1230158717;147;168;168;208
randomized;1289,2529761883;752;168;168;873
randomized;116,5684523796;139;168;168;220
randomized;1288,8978174583;753;168;168;875
randomized;1274,9216269823;744;168;168;869
randomized;1288,2023809505;747;168;168;873
randomized;1287,3035714270;744;168;168;875
randomized;1297,8154761887;755;168;168;873
randomized;1298,1587301570;753;168;168;878
randomized;1275,7380952363;742;168;168;873
randomized;1283,2817460297;750;168;168;871
randomized;1300,2103174584;757;168;168;872
randomized;1298,6527777759;753;168;168;871
randomized;1280,4583333315;744;168;168;877
randomized;1304,6289682522;756;168;168;882
randomized;123,6190476176;146;168;168;212
randomized;114,4970238079;148;168;168;209
randomized;118,0714285697;145;168;168;221
randomized;105,9980158716;139;168;168;220
randomized;122,7281746016;149;168;168;213
randomized;111,9970238078;140;168;168;220
randomized;121,4027777758;146;168;168;206
randomized;128,1527777760;140;168;168;228
randomized;110,4047619035;134;168;168;222
randomized;121,7827380933;144;168;168;217
randomized;106,8670634903;136;168;168;216
randomized;123,9474206330;144;168;168;215
randomized;114,8511904746;137;168;168;220
randomized;120,2301587283;145;168;168;218
randomized;130,9484126965;155;168;168;210
randomized;106,3174603156;133;168;168;224
randomized;125,1349206331;155;168;168;200
randomized;118,2251984106;146;168;168;212
randomized;105,7519841251;134;168;168;218
randomized;121,3472222202;149;168;168;208
randomized;123,1944444423;149;168;168;213
randomized;110,0436507917;133;168;168;225
randomized;1280,3749999979;746;168;168;872
randomized;1278,5138888871;745;168;168;875
