Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;6,0380952381;14;168;168;175
randomized;67,4541666664;157;168;168;253
randomized;60,8287698409;133;168;168;244
randomized;64,0805555552;143;168;168;236
randomized;62,4186507932;139;168;168;243
randomized;61,2089285711;135;168;168;247
randomized;65,9972222217;154;168;168;244
randomized;64,7496031743;140;168;168;249
randomized;66,8555555554;150;168;168;247
randomized;65,7839285708;146;168;168;241
randomized;68,2376984122;159;168;168;253
randomized;65,0341269837;147;168;168;237
randomized;64,4142857138;136;168;168;240
randomized;67,4571428569;147;168;168;253
randomized;64,4007936504;150;168;168;243
randomized;66,4285714283;145;168;168;235
randomized;65,9166666663;155;168;168;251
randomized;60,2341269837;132;168;168;243
randomized;66,7309523805;149;168;168;251
randomized;63,7648809524;142;168;168;254
randomized;63,9751984123;145;168;168;246
randomized;65,6970238093;151;168;168;252
randomized;63,8583333329;137;168;168;246
randomized;66,0244047615;149;168;168;248
randomized;65,3912698410;146;168;168;238
randomized;64,3710317458;143;168;168;253
randomized;68,1746031741;155;168;168;243
randomized;63,5992063488;145;168;168;247
randomized;65,6958333330;148;168;168;246
randomized;63,3857142853;145;168;168;247
randomized;64,0660714281;143;168;168;241
randomized;64,3121031740;145;168;168;251
randomized;67,0198412696;150;168;168;246
randomized;65,3107142853;151;168;168;248
randomized;65,1535714281;146;168;168;248
randomized;62,3202380950;142;168;168;260
randomized;66,4273809523;144;168;168;242
randomized;66,5942460313;155;168;168;244
randomized;66,9416666660;152;168;168;241
randomized;65,6440476187;153;168;168;235
randomized;64,1829365075;144;168;168;242
randomized;63,4079365075;145;168;168;248
randomized;64,8706349206;143;168;168;246
randomized;64,5178571427;140;168;168;255
randomized;63,8654761900;143;168;168;245
randomized;63,9714285712;151;168;168;242
randomized;65,4341269836;148;168;168;245
randomized;62,4884920632;142;168;168;245
randomized;64,7928571427;149;168;168;246
randomized;63,0726190472;140;168;168;236
randomized;69,3190476189;151;168;168;235
randomized;70,4833333330;157;168;168;237
randomized;67,3130952375;152;168;168;245
randomized;66,6630952376;151;168;168;247
randomized;64,8194444440;147;168;168;248
randomized;66,1773809520;148;168;168;247
randomized;64,0613095233;142;168;168;256
randomized;62,1732142855;137;168;168;245
randomized;60,5400793646;141;168;168;258
randomized;65,2351190474;148;168;168;241
randomized;65,4940476184;149;168;168;246
randomized;61,9720238094;145;168;168;247
randomized;66,6561507933;155;168;168;250
randomized;64,2105158728;151;168;168;248
randomized;62,1488095236;140;168;168;250
randomized;66,8077380949;152;168;168;254
randomized;68,4557539680;158;168;168;252
randomized;62,6428571425;139;168;168;253
randomized;61,6289682535;136;168;168;250
randomized;66,9166666664;150;168;168;244
randomized;65,7589285711;147;168;168;243
randomized;71,0400793647;158;168;168;244
randomized;68,8249999994;159;168;168;241
randomized;63,5041666666;140;168;168;253
randomized;67,3047619045;153;168;168;242
randomized;66,3847222219;151;168;168;244
randomized;69,3297619045;155;168;168;243
randomized;71,5182539677;161;168;168;249
randomized;66,5452380950;148;168;168;248
randomized;69,3928571425;154;168;168;244
randomized;68,5543650790;152;168;168;250
randomized;66,8365079363;148;168;168;251
randomized;68,7488095233;155;168;168;243
randomized;63,3224206344;142;168;168;249
randomized;67,4910714282;149;168;168;247
randomized;63,9551587299;148;168;168;242
randomized;67,4757936503;157;168;168;246
randomized;69,2761904758;154;168;168;247
randomized;65,3251984121;151;168;168;237
randomized;64,9001984123;141;168;168;232
randomized;66,0416666664;153;168;168;242
randomized;61,5005952379;138;168;168;257
randomized;63,1351190474;145;168;168;247
randomized;69,2809523808;157;168;168;245
randomized;62,6857142853;144;168;168;248
randomized;67,5071428566;152;168;168;245
randomized;70,5327380948;160;168;168;244
randomized;63,0617063490;140;168;168;254
randomized;66,5053571422;146;168;168;243
randomized;67,3698412696;154;168;168;243
randomized;64,3482142853;139;168;168;242
randomized;65,2047619043;145;168;168;243
randomized;66,4845238091;146;168;168;245
randomized;63,3476190473;143;168;168;249
randomized;66,2607142854;146;168;168;245
randomized;67,6396825395;157;168;168;245
randomized;63,9394841267;143;168;168;257
randomized;69,4307539677;155;168;168;247
randomized;67,6888888884;155;168;168;239
randomized;66,1589285709;146;168;168;240
randomized;61,7998015868;143;168;168;246
randomized;66,5621031742;152;168;168;248
randomized;68,3101190470;150;168;168;247
randomized;64,4351190472;141;168;168;249
randomized;68,1694444439;157;168;168;241
randomized;69,4047619042;152;168;168;242
randomized;65,4573412692;145;168;168;233
randomized;65,3083333328;138;168;168;243
randomized;67,5775793650;151;168;168;248
randomized;68,0499999994;160;168;168;247
randomized;66,6333333332;151;168;168;249
randomized;64,9246031740;147;168;168;241
randomized;67,6325396824;150;168;168;244
randomized;64,8922619044;149;168;168;241
randomized;67,2613095236;150;168;168;247
randomized;64,9595238089;146;168;168;240
randomized;68,0035714284;153;168;168;250
randomized;64,6249999996;144;168;168;249
randomized;64,8934523806;147;168;168;251
randomized;70,2148809518;160;168;168;240
randomized;68,1841269835;155;168;168;238
randomized;68,1642857141;154;168;168;238
randomized;67,2396825391;146;168;168;238
randomized;62,8999999998;143;168;168;249
randomized;60,6388888886;139;168;168;254
randomized;67,1220238093;148;168;168;254
randomized;68,8388888886;153;168;168;248
randomized;65,2559523806;152;168;168;246
randomized;66,4882936505;148;168;168;244
randomized;65,1285714282;142;168;168;244
randomized;65,6529761901;146;168;168;244
randomized;66,9916666665;152;168;168;252
randomized;64,9871031744;146;168;168;245
randomized;63,2996031741;142;168;168;245
randomized;66,0773809524;143;168;168;247
randomized;64,7601190470;143;168;168;247
randomized;66,6761904759;146;168;168;236
randomized;63,1833333329;144;168;168;236
randomized;64,7589285707;148;168;168;242
randomized;63,9240079363;139;168;168;245
randomized;62,4748015871;149;168;168;251
randomized;61,9079365076;143;168;168;251
randomized;68,2238095233;160;168;168;251
randomized;66,9198412695;155;168;168;240
randomized;64,7386904759;145;168;168;247
randomized;65,6686507932;149;168;168;246
randomized;64,5263888885;143;168;168;248
randomized;65,2178571422;147;168;168;250
randomized;63,3101190472;143;168;168;247
randomized;64,9936507931;143;168;168;246
randomized;66,3452380949;147;168;168;247
randomized;67,2591269836;152;168;168;248
randomized;67,8464285709;151;168;168;244
randomized;66,5398809520;146;168;168;245
randomized;64,0605158726;146;168;168;245
randomized;68,7630952375;159;168;168;257
randomized;66,0805555550;148;168;168;250
randomized;63,6474206347;149;168;168;244
randomized;65,1650793646;148;168;168;242
randomized;63,7769841264;138;168;168;244
randomized;68,1555555550;160;168;168;245
randomized;65,5353174598;144;168;168;238
randomized;62,5847222215;143;168;168;241
randomized;63,6269841265;145;168;168;251
randomized;63,6517857139;137;168;168;245
randomized;62,5916666662;140;168;168;246
randomized;65,0158730155;149;168;168;246
randomized;67,2773809520;151;168;168;247
randomized;63,2019841265;137;168;168;245
randomized;62,0496031744;147;168;168;254
randomized;62,9166666663;141;168;168;250
randomized;59,9682539679;138;168;168;250
randomized;65,2472222218;141;168;168;236
randomized;69,3303571427;158;168;168;245
randomized;66,3523809519;143;168;168;239
randomized;64,6196428567;143;168;168;241
randomized;69,2369047616;159;168;168;245
randomized;69,1547619045;156;168;168;242
randomized;67,0269841267;145;168;168;250
randomized;64,7815476189;143;168;168;248
randomized;64,5549603172;148;168;168;256
randomized;65,7857142854;145;168;168;240
randomized;65,2305555550;145;168;168;241
randomized;66,1267857142;151;168;168;260
randomized;68,7888888883;149;168;168;233
randomized;68,0214285709;146;168;168;237
randomized;61,5876984124;136;168;168;245
randomized;63,6095238090;142;168;168;254
randomized;62,1416666659;137;168;168;238
randomized;60,9434523806;142;168;168;239
randomized;66,3404761899;146;168;168;237
randomized;67,7251984120;159;168;168;244
randomized;63,1351190473;142;168;168;247
randomized;66,7785714284;151;168;168;246
randomized;64,8946428570;146;168;168;244
randomized;63,7547619044;140;168;168;246
randomized;68,5630952377;153;168;168;244
randomized;59,4488095234;145;168;168;246
randomized;68,4452380949;154;168;168;246
randomized;67,2886904758;149;168;168;248
randomized;65,8607142851;147;168;168;236
randomized;65,3345238092;152;168;168;245
randomized;68,7728174599;153;168;168;240
randomized;69,1404761904;159;168;168;244
randomized;61,7065476185;147;168;168;253
randomized;65,7095238092;150;168;168;241
randomized;66,3275793648;151;168;168;246
randomized;68,1261904758;154;168;168;240
randomized;68,1091269837;154;168;168;243
randomized;65,6267857139;149;168;168;241
randomized;60,4273809521;139;168;168;243
randomized;61,1029761900;143;168;168;246
randomized;67,9041666664;154;168;168;249
randomized;67,4148809520;153;168;168;251
randomized;64,3005952379;145;168;168;244
randomized;63,2847222222;141;168;168;255
randomized;64,4563492058;146;168;168;235
randomized;69,7749999998;157;168;168;248
randomized;66,1369047616;152;168;168;244
randomized;63,2964285709;142;168;168;249
randomized;67,1123015872;153;168;168;233
randomized;65,9607142852;154;168;168;249
randomized;66,7303571426;153;168;168;251
randomized;65,3964285711;146;168;168;246
randomized;64,3845238092;135;168;168;243
randomized;68,8107142852;149;168;168;244
randomized;65,6369047616;157;168;168;246
randomized;67,3416666661;150;168;168;240
randomized;66,7249999998;152;168;168;242
randomized;65,3547619045;147;168;168;248
randomized;66,3458333327;145;168;168;242
randomized;63,8293650788;143;168;168;241
randomized;65,5910714283;148;168;168;256
randomized;65,4680555552;143;168;168;239
randomized;64,6011904757;142;168;168;234
randomized;68,4430555554;155;168;168;237
randomized;66,7380952379;150;168;168;235
randomized;63,7964285710;149;168;168;242
randomized;66,1061507930;144;168;168;247
randomized;63,8119047614;144;168;168;249
randomized;66,4672619044;148;168;168;244
randomized;68,0428571423;155;168;168;249
randomized;67,8011904757;154;168;168;243
randomized;67,3859126982;155;168;168;248
randomized;66,4704365075;149;168;168;251
randomized;62,7684523807;142;168;168;251
randomized;65,5942460311;151;168;168;245
randomized;65,4154761903;152;168;168;258
randomized;66,5928571425;150;168;168;246
randomized;66,7829365077;148;168;168;249
randomized;68,4732142855;151;168;168;235
randomized;68,9428571426;161;168;168;246
randomized;65,7690476186;150;168;168;257
randomized;66,2249999998;147;168;168;249
randomized;63,5785714284;141;168;168;250
randomized;70,1928571426;160;168;168;248
randomized;63,0815476186;139;168;168;244
randomized;63,6023809521;134;168;168;247
randomized;67,8333333331;154;168;168;229
randomized;66,6464285713;148;168;168;248
randomized;65,0678571424;154;168;168;245
randomized;67,1720238090;153;168;168;253
randomized;68,1374999996;149;168;168;242
randomized;65,3692460315;149;168;168;252
randomized;67,2732142854;150;168;168;242
randomized;70,2047619044;163;168;168;261
randomized;65,9638888884;150;168;168;245
randomized;71,1904761902;166;168;168;265
randomized;66,2196428568;148;168;168;245
randomized;68,1178571427;156;168;168;247
randomized;68,0940476186;150;168;168;247
randomized;64,1970238093;143;168;168;251
randomized;63,1380952376;145;168;168;243
randomized;66,8287698408;153;168;168;248
randomized;64,6922619045;146;168;168;249
randomized;60,7847222220;131;168;168;246
randomized;64,0476190473;143;168;168;241
randomized;63,8136904759;144;168;168;243
randomized;67,3446428567;152;168;168;240
randomized;62,3934523807;147;168;168;251
randomized;65,1880952375;146;168;168;246
randomized;62,4208333330;142;168;168;246
randomized;65,2376984122;145;168;168;240
randomized;66,7906746026;146;168;168;237
randomized;65,7136904756;158;168;168;248
randomized;63,8160714286;140;168;168;245
randomized;64,0184523804;144;168;168;247
randomized;65,3523809522;148;168;168;246
randomized;66,2726190474;148;168;168;235
randomized;68,1404761899;157;168;168;236
randomized;65,5101190471;153;168;168;256
randomized;64,7041666662;147;168;168;247
randomized;65,4940476187;146;168;168;251
randomized;66,0216269838;154;168;168;254
randomized;63,9059523807;142;168;168;253
randomized;68,0279761898;151;168;168;244
randomized;67,1089285709;157;168;168;243
randomized;65,8833333329;145;168;168;246
randomized;67,0255952375;149;168;168;242
randomized;66,4916666662;148;168;168;249
randomized;66,8158730155;150;168;168;253
randomized;68,5037698411;151;168;168;254
randomized;61,6672619045;140;168;168;248
randomized;65,7692460314;144;168;168;254
randomized;64,0773809521;148;168;168;246
randomized;71,3325396819;163;168;168;239
randomized;66,4664682534;153;168;168;255
randomized;63,0781746030;146;168;168;253
randomized;63,3982142856;148;168;168;244
randomized;69,3047619043;151;168;168;243
randomized;65,6773809521;149;168;168;248
randomized;62,9591269839;137;168;168;254
randomized;63,7845238094;143;168;168;251
randomized;67,2412698412;147;168;168;238
randomized;64,8240079360;141;168;168;243
randomized;61,1702380949;134;168;168;243
randomized;65,2035714283;153;168;168;260
randomized;68,1194444443;154;168;168;241
randomized;68,8529761899;152;168;168;247
randomized;67,6732142853;153;168;168;258
randomized;64,8499999997;146;168;168;251
randomized;62,4744047615;136;168;168;248
randomized;68,9214285710;156;168;168;240
randomized;66,8857142852;152;168;168;248
randomized;62,0244047616;140;168;168;245
randomized;62,2494047614;140;168;168;247
randomized;67,0549603170;148;168;168;244
randomized;67,5732142851;146;168;168;242
randomized;67,8722222221;153;168;168;248
randomized;63,3912698411;144;168;168;241
randomized;66,4579365075;146;168;168;238
randomized;66,2541666663;151;168;168;246
randomized;66,0648809518;149;168;168;245
randomized;61,5815476189;140;168;168;248
randomized;64,9166666663;148;168;168;249
randomized;65,0744047614;145;168;168;249
randomized;65,4690476187;151;168;168;253
randomized;66,2863095233;150;168;168;246
randomized;67,8900793646;155;168;168;247
randomized;68,9440476187;159;168;168;253
randomized;68,2410714283;152;168;168;235
randomized;66,6369047613;154;168;168;250
randomized;62,9517857139;139;168;168;243
randomized;66,5892857140;143;168;168;253
randomized;66,1263888890;145;168;168;256
randomized;67,7055555549;151;168;168;256
randomized;62,5583333330;138;168;168;249
randomized;63,2851190470;144;168;168;244
randomized;66,3136904758;149;168;168;249
randomized;69,7446428570;156;168;168;250
randomized;67,1565476187;152;168;168;258
randomized;66,3865079363;150;168;168;247
randomized;66,5853174600;145;168;168;247
randomized;65,3222222218;153;168;168;242
randomized;70,0595238094;155;168;168;251
randomized;64,7089285711;149;168;168;251
randomized;66,0468253964;152;168;168;238
randomized;65,3785714283;148;168;168;255
randomized;64,0821428568;143;168;168;240
randomized;65,4984126979;145;168;168;246
randomized;61,9007936505;139;168;168;234
randomized;65,3561507933;145;168;168;247
randomized;68,6392857140;157;168;168;255
randomized;68,4922619044;148;168;168;251
randomized;62,2726190471;137;168;168;252
randomized;63,3761904755;146;168;168;244
randomized;66,6095238095;145;168;168;249
randomized;66,2446428569;156;168;168;254
randomized;69,1821428565;151;168;168;240
randomized;67,9345238091;148;168;168;236
randomized;64,3005952378;151;168;168;246
randomized;63,3107142852;146;168;168;248
randomized;62,9672619042;142;168;168;240
randomized;64,3773809520;149;168;168;251
randomized;67,9577380951;158;168;168;243
randomized;67,9763888884;145;168;168;248
randomized;64,9053571424;149;168;168;240
randomized;62,9142857140;142;168;168;252
randomized;62,2208333329;138;168;168;247
randomized;63,6767857141;146;168;168;239
randomized;63,6339285713;144;168;168;245
randomized;65,3234126980;152;168;168;243
randomized;63,6773809521;146;168;168;239
randomized;66,8017857138;150;168;168;246
randomized;65,5190476189;148;168;168;240
randomized;65,3279761901;146;168;168;243
randomized;66,4783730155;146;168;168;252
randomized;66,7103174600;150;168;168;254
randomized;63,4327380948;145;168;168;254
randomized;64,4206349202;149;168;168;243
randomized;64,3886904757;147;168;168;250
