Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;4,40;12;168;168;175
randomized;75,21250;195;168;168;267
randomized;75,0500000000;190;168;168;265
randomized;78,7000000001;197;168;168;257
randomized;79,0833333333;207;168;168;269
randomized;76,4375000000;192;168;168;257
randomized;77,4083333333;203;168;168;270
randomized;78,4583333334;204;168;168;269
randomized;77,3958333334;203;168;168;278
randomized;79,8333333333;206;168;168;264
randomized;78,8166666666;203;168;168;265
randomized;77,7333333332;203;168;168;263
randomized;75,7333333334;191;168;168;259
randomized;75,3250000000;199;168;168;273
randomized;78,6500000000;206;168;168;267
randomized;76,4833333333;198;168;168;265
randomized;78,2916666667;202;168;168;268
randomized;76,1000000000;197;168;168;259
randomized;76,9666666666;202;168;168;266
randomized;76,3333333333;199;168;168;266
randomized;73,5583333333;191;168;168;273
randomized;78,0583333333;200;168;168;261
randomized;76,9250000000;199;168;168;269
randomized;74,0333333332;191;168;168;269
randomized;76,2000000000;194;168;168;258
randomized;76,5999999999;199;168;168;263
randomized;76,7833333334;197;168;168;269
randomized;75,40;189;168;168;252
randomized;72,5499999999;188;168;168;268
randomized;77,5333333334;202;168;168;273
randomized;76,7250000000;200;168;168;267
randomized;74,5000000000;192;168;168;269
randomized;76,8333333334;198;168;168;263
randomized;75,2083333333;190;168;168;262
randomized;74,9000000000;197;168;168;268
randomized;75,7500000000;194;168;168;267
randomized;75,5833333333;195;168;168;267
randomized;74,5833333334;191;168;168;268
randomized;78,4250000000;199;168;168;263
randomized;77,6250000000;198;168;168;269
randomized;78,2166666666;207;168;168;269
randomized;75,3500000001;197;168;168;277
randomized;77,0833333333;201;168;168;267
randomized;75,3124999999;191;168;168;266
randomized;73,6666666666;187;168;168;259
randomized;72,2166666667;180;168;168;267
randomized;74,0791666666;194;168;168;269
randomized;75,68750;195;168;168;272
randomized;72,2041666666;186;168;168;267
randomized;76,9250000000;202;168;168;271
randomized;74,6916666666;195;168;168;273
randomized;72,2083333332;185;168;168;274
randomized;76,9666666666;199;168;168;260
randomized;75,7083333333;196;168;168;269
randomized;74,2416666667;193;168;168;261
randomized;78,0666666665;202;168;168;266
randomized;74,9999999999;196;168;168;265
randomized;75,2749999999;196;168;168;269
randomized;77,0249999999;198;168;168;264
randomized;78,6499999999;205;168;168;263
randomized;74,2333333334;192;168;168;274
randomized;78,7500000000;204;168;168;269
randomized;74,7500000001;194;168;168;270
randomized;71,3499999999;180;168;168;263
randomized;72,5208333333;185;168;168;261
randomized;75,2333333334;196;168;168;269
randomized;76,9333333332;201;168;168;270
randomized;76,5208333333;202;168;168;270
randomized;75,6791666666;193;168;168;265
randomized;73,3958333333;192;168;168;278
randomized;73,5958333333;185;168;168;265
randomized;74,1458333333;195;168;168;270
randomized;77,0249999999;201;168;168;264
randomized;76,5750000001;198;168;168;269
randomized;71,4833333334;182;168;168;256
randomized;77,2750000000;201;168;168;264
randomized;75,8166666666;198;168;168;264
randomized;75,8708333332;198;168;168;271
randomized;77,1583333333;199;168;168;265
randomized;74,8583333333;197;168;168;270
randomized;72,7374999999;187;168;168;273
randomized;75,9583333332;200;168;168;279
randomized;75,22500;191;168;168;267
randomized;72,8291666666;189;168;168;273
randomized;74,3833333333;192;168;168;268
randomized;75,8875000000;197;168;168;271
randomized;74,3125000000;192;168;168;272
randomized;75,4333333334;194;168;168;264
randomized;76,6416666666;197;168;168;259
randomized;72,6583333333;193;168;168;280
randomized;76,8333333333;197;168;168;263
randomized;76,7500000000;196;168;168;263
randomized;75,4375000000;195;168;168;266
randomized;73,0874999999;192;168;168;270
randomized;76,8333333333;196;168;168;262
randomized;72,6750000000;186;168;168;270
randomized;73,6666666665;193;168;168;273
randomized;73,9750000000;185;168;168;255
randomized;76,2000000000;190;168;168;257
randomized;75,4749999999;195;168;168;262
randomized;75,2000000000;195;168;168;267
randomized;74,0000000000;193;168;168;269
randomized;75,9499999999;195;168;168;259
randomized;78,250;203;168;168;261
randomized;78,3208333333;202;168;168;271
randomized;76,0208333332;196;168;168;273
randomized;76,3999999999;203;168;168;270
randomized;74,7666666666;189;168;168;259
randomized;74,9666666666;194;168;168;264
randomized;73,7875000000;186;168;168;261
randomized;77,4999999999;202;168;168;269
randomized;74,6166666666;197;168;168;276
randomized;76,0499999999;195;168;168;266
randomized;76,7833333334;200;168;168;273
randomized;73,5250000000;185;168;168;261
randomized;77,1500000000;194;168;168;256
randomized;77,0875;197;168;168;263
randomized;75,7500000000;197;168;168;268
randomized;77,3333333333;207;168;168;274
randomized;77,2833333333;195;168;168;259
randomized;73,7041666666;189;168;168;261
randomized;75,9666666666;201;168;168;266
randomized;74,7166666666;197;168;168;274
randomized;77,1916666667;204;168;168;275
randomized;78,9416666667;202;168;168;262
randomized;76,7666666666;197;168;168;265
randomized;75,0541666667;194;168;168;267
randomized;74,8333333333;192;168;168;266
randomized;76,2999999999;199;168;168;273
randomized;76,8333333332;200;168;168;264
randomized;77,3666666666;202;168;168;266
randomized;75,2666666667;200;168;168;278
randomized;76,6416666666;192;168;168;256
randomized;76,5666666667;195;168;168;260
randomized;77,4041666666;203;168;168;273
randomized;77,3250000000;199;168;168;263
randomized;75,7666666666;195;168;168;264
randomized;75,0166666667;190;168;168;268
randomized;73,3583333333;189;168;168;265
randomized;75,4583333333;190;168;168;259
randomized;77,4333333332;202;168;168;265
randomized;76,2583333333;196;168;168;271
randomized;73,3166666666;187;168;168;260
randomized;75,0541666667;196;168;168;276
randomized;76,0333333334;194;168;168;271
randomized;76,2749999999;197;168;168;265
randomized;73,8833333333;193;168;168;274
randomized;75,9083333333;201;168;168;275
randomized;77,7499999999;202;168;168;268
randomized;76,3166666666;195;168;168;259
randomized;77,2833333333;203;168;168;269
randomized;75,6833333333;197;168;168;264
randomized;75,7833333333;196;168;168;263
randomized;76,6416666666;195;168;168;260
randomized;71,8791666665;184;168;168;267
randomized;75,4499999998;199;168;168;272
randomized;78,7833333333;204;168;168;262
randomized;75,4083333333;193;168;168;264
randomized;77,4208333333;199;168;168;267
randomized;73,9083333333;191;168;168;264
randomized;74,3666666666;191;168;168;261
randomized;75,4833333334;195;168;168;264
randomized;73,5833333334;193;168;168;270
randomized;77,3166666666;200;168;168;269
