Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;0,2380952381;2;162;162;163
randomized;63,2107142853;142;162;162;227
randomized;63,2380952377;147;162;162;237
randomized;61,3630952377;138;162;162;234
randomized;63,9130952378;145;162;162;239
randomized;64,5817460314;141;162;162;241
randomized;65,4238095234;148;162;162;225
randomized;62,5779761900;137;162;162;227
randomized;62,2839285710;147;162;162;242
randomized;61,5970238091;137;162;162;235
randomized;62,2761904758;147;162;162;239
randomized;58,5567460316;130;162;162;223
randomized;63,6988095235;142;162;162;231
randomized;62,1446428569;140;162;162;235
randomized;61,9565476188;132;162;162;230
randomized;59,4029761901;133;162;162;227
randomized;55,5984126980;134;162;162;235
randomized;62,8734126979;144;162;162;228
randomized;62,1609126979;135;162;162;228
randomized;59,3499999996;137;162;162;237
randomized;61,9547619045;135;162;162;225
randomized;64,5309523805;150;162;162;232
randomized;64,3773809521;150;162;162;242
randomized;61,4017857140;133;162;162;233
randomized;60,9424603169;141;162;162;240
randomized;63,1982142852;149;162;162;239
randomized;62,0829365077;142;162;162;240
randomized;59,6130952375;141;162;162;230
randomized;59,6222222219;137;162;162;233
randomized;60,9565476188;133;162;162;229
randomized;60,5777777773;132;162;162;228
randomized;62,8660714281;145;162;162;229
randomized;64,3113095234;146;162;162;242
randomized;62,3305555550;137;162;162;224
randomized;60,2946428569;132;162;162;234
randomized;61,4904761900;144;162;162;238
randomized;60,0454365075;140;162;162;230
randomized;64,6892857139;138;162;162;238
randomized;60,5712301584;135;162;162;232
randomized;62,4218253962;149;162;162;232
randomized;64,8204365074;147;162;162;239
randomized;66,8791666663;149;162;162;233
randomized;61,9142857141;144;162;162;229
randomized;63,0547619043;141;162;162;225
randomized;62,7265873014;140;162;162;231
randomized;60,3952380949;135;162;162;229
randomized;62,4392857140;135;162;162;239
randomized;61,5916666662;137;162;162;228
randomized;62,6714285710;142;162;162;231
randomized;63,1942460314;145;162;162;238
randomized;65,2690476187;148;162;162;233
randomized;63,8031746028;147;162;162;236
randomized;59,1799603169;132;162;162;239
randomized;58,5343253963;136;162;162;235
randomized;57,2517857140;131;162;162;237
randomized;59,5371031743;132;162;162;241
randomized;58,2136904759;128;162;162;231
randomized;59,9341269839;132;162;162;234
randomized;57,9333333330;128;162;162;231
randomized;60,9656746027;141;162;162;234
randomized;58,2456349202;129;162;162;221
randomized;59,7357142853;133;162;162;227
randomized;63,4829365076;142;162;162;224
randomized;65,5952380950;152;162;162;230
randomized;63,4833333333;142;162;162;241
randomized;66,0924603170;147;162;162;231
randomized;64,0928571423;140;162;162;227
randomized;58,3299603173;133;162;162;228
randomized;61,8359126982;136;162;162;238
randomized;57,4690476187;127;162;162;229
randomized;62,5630952376;138;162;162;237
randomized;61,5714285709;144;162;162;233
randomized;63,9892857139;144;162;162;240
randomized;62,3154761898;135;162;162;217
randomized;60,9783730154;138;162;162;236
randomized;61,1460317455;134;162;162;231
randomized;63,8095238089;142;162;162;230
randomized;60,9970238092;136;162;162;237
randomized;62,1708333329;142;162;162;232
randomized;62,2660714281;134;162;162;230
randomized;61,8559523807;135;162;162;230
randomized;61,6472222218;136;162;162;228
randomized;60,9345238092;135;162;162;239
randomized;60,1577380951;139;162;162;240
randomized;59,6194444438;139;162;162;227
randomized;60,1869047614;131;162;162;230
randomized;62,5476190474;140;162;162;225
randomized;63,8071428569;143;162;162;228
randomized;60,7285714284;137;162;162;233
randomized;56,7898809521;127;162;162;224
randomized;62,6341269838;140;162;162;230
randomized;63,4478174600;137;162;162;230
randomized;63,0293650788;141;162;162;229
randomized;62,3922619043;143;162;162;230
randomized;59,8454365077;130;162;162;239
randomized;63,5916666664;142;162;162;228
randomized;61,5964285710;142;162;162;229
randomized;65,3619047617;154;162;162;240
randomized;64,3523809520;145;162;162;226
randomized;61,3386904759;142;162;162;234
randomized;61,5261904756;143;162;162;225
randomized;62,6873015871;141;162;162;235
randomized;61,6130952377;143;162;162;236
randomized;63,7972222218;142;162;162;221
randomized;62,6071428567;139;162;162;233
randomized;64,0202380947;144;162;162;236
randomized;60,9071428566;135;162;162;235
randomized;60,7055555551;133;162;162;232
randomized;60,2511904760;139;162;162;227
randomized;61,9642857138;135;162;162;230
randomized;61,9464285714;144;162;162;248
randomized;58,9904761901;134;162;162;231
randomized;62,7281746026;148;162;162;237
randomized;63,1476190474;139;162;162;232
randomized;64,7940476186;147;162;162;229
randomized;58,9234126982;134;162;162;240
randomized;62,3619047617;140;162;162;231
randomized;58,2591269839;132;162;162;233
randomized;64,3857142852;145;162;162;224
randomized;62,9738095234;148;162;162;230
randomized;63,6156746026;147;162;162;230
randomized;62,8458333331;144;162;162;233
randomized;62,7642857140;145;162;162;238
randomized;64,1531746026;143;162;162;225
randomized;59,2757936504;138;162;162;225
randomized;65,7190476187;144;162;162;238
randomized;63,8642857140;146;162;162;235
randomized;62,1184523807;143;162;162;231
randomized;61,6075396821;143;162;162;242
randomized;63,2920634918;144;162;162;229
randomized;61,8357142854;145;162;162;236
randomized;58,8559523805;136;162;162;235
randomized;62,2452380947;142;162;162;231
randomized;62,8650793648;141;162;162;230
randomized;58,9898809520;131;162;162;226
randomized;59,9851190472;132;162;162;232
randomized;58,2357142855;133;162;162;236
randomized;63,9061507932;150;162;162;233
randomized;62,9390873010;142;162;162;224
randomized;62,4615079360;145;162;162;222
randomized;62,9353174599;143;162;162;233
randomized;62,0720238093;138;162;162;232
randomized;62,4773809519;140;162;162;225
randomized;61,2273809519;142;162;162;233
randomized;64,8672619042;146;162;162;241
randomized;62,8880952380;145;162;162;239
randomized;59,9440476185;135;162;162;234
randomized;62,5573412694;140;162;162;224
randomized;62,7412698407;142;162;162;226
randomized;59,6303571424;140;162;162;231
randomized;64,4166666662;147;162;162;233
randomized;65,3047619043;150;162;162;224
randomized;65,4353174595;147;162;162;225
randomized;59,5267857139;134;162;162;226
randomized;60,2359126979;137;162;162;240
randomized;62,8857142855;143;162;162;236
randomized;64,4111111107;145;162;162;230
randomized;64,8321428569;144;162;162;229
randomized;63,7632936504;140;162;162;220
randomized;59,3083333327;136;162;162;227
randomized;60,5244047617;136;162;162;234
randomized;62,8611111109;142;162;162;236
randomized;63,0448412696;148;162;162;241
randomized;62,2202380949;143;162;162;226
randomized;61,7023809519;140;162;162;237
randomized;59,3470238090;142;162;162;230
randomized;65,0988095235;148;162;162;237
randomized;64,2672619043;144;162;162;236
randomized;60,7785714282;132;162;162;232
randomized;61,8291666664;146;162;162;226
randomized;61,4833333329;147;162;162;244
randomized;61,4730158725;133;162;162;227
randomized;65,5327380948;150;162;162;236
randomized;65,2886904757;143;162;162;235
randomized;62,0654761902;145;162;162;243
randomized;60,5849206346;137;162;162;229
randomized;65,2148809519;143;162;162;226
randomized;59,3392857141;135;162;162;228
randomized;64,6744047617;147;162;162;233
randomized;61,7988095236;141;162;162;238
randomized;64,0845238091;145;162;162;228
randomized;58,4880952377;137;162;162;227
randomized;62,6460317459;144;162;162;241
randomized;58,3607142854;126;162;162;245
randomized;64,3886904759;147;162;162;238
randomized;60,2571428567;131;162;162;229
randomized;61,1668650791;139;162;162;228
randomized;60,0440476190;143;162;162;242
randomized;62,8166666663;146;162;162;241
randomized;62,2777777772;140;162;162;238
randomized;61,3434523806;144;162;162;241
randomized;60,6091269836;140;162;162;237
randomized;61,2416666661;133;162;162;234
randomized;63,0674603171;142;162;162;229
randomized;66,5662698408;144;162;162;225
randomized;64,4704365071;145;162;162;233
randomized;62,2113095238;138;162;162;238
randomized;59,4809523807;137;162;162;231
randomized;61,8619047618;148;162;162;229
randomized;64,2482142852;143;162;162;219
randomized;59,7613095234;138;162;162;233
randomized;57,5714285711;125;162;162;229
randomized;59,3821428569;137;162;162;238
randomized;59,6095238093;134;162;162;227
randomized;62,2257936501;142;162;162;227
randomized;62,2869047613;141;162;162;229
randomized;60,8579365076;138;162;162;233
randomized;62,8166666665;142;162;162;240
randomized;60,2476190472;137;162;162;237
randomized;62,5702380949;144;162;162;236
randomized;60,4619047614;138;162;162;232
randomized;63,3321428569;148;162;162;238
randomized;59,3922619042;136;162;162;217
randomized;65,6686507934;155;162;162;235
randomized;63,5388888886;146;162;162;229
randomized;59,6446428568;131;162;162;242
randomized;62,3043650792;143;162;162;242
randomized;63,1152777776;140;162;162;240
randomized;59,2922619044;138;162;162;246
randomized;61,6226190473;136;162;162;238
randomized;58,7849206346;134;162;162;236
randomized;63,0732142852;138;162;162;229
randomized;63,3996031743;140;162;162;238
randomized;62,4873015870;141;162;162;236
randomized;62,7928571425;139;162;162;229
randomized;62,7196428568;141;162;162;223
randomized;63,7529761903;143;162;162;248
randomized;60,6426587300;135;162;162;245
randomized;62,7535714283;139;162;162;229
randomized;60,8333333328;143;162;162;234
