Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;1,3;3;603;603;552
randomized;129,3500;294;603;603;439
randomized;126,3000;284;603;603;435
randomized;129,2458333333;296;603;603;440
randomized;130,1916666666;296;603;603;437
randomized;130,9958333333;300;603;603;435
randomized;129,4375;301;603;603;446
randomized;131,6708333333;305;603;603;446
randomized;126,2916666666;292;603;603;437
randomized;130,3250;298;603;603;436
randomized;129,2416666666;296;603;603;436
randomized;126,7708333333;287;603;603;437
randomized;126,2625000000;289;603;603;435
randomized;123,4500000000;280;603;603;440
randomized;129,0333333333;303;603;603;449
randomized;131,7333333333;304;603;603;446
randomized;127,9000;298;603;603;432
randomized;127,2624999999;290;603;603;439
randomized;125,5125000000;285;603;603;434
randomized;126,5583333333;292;603;603;440
randomized;126,2666666666;292;603;603;444
randomized;130,2708333333;303;603;603;447
randomized;128,5416666666;296;603;603;440
randomized;130,8583333332;305;603;603;449
randomized;127,3749999999;292;603;603;434
randomized;128,6666666666;294;603;603;439
randomized;131,5041666666;301;603;603;440
randomized;127,2333333333;292;603;603;426
randomized;128,1249999999;297;603;603;437
randomized;125,2791666666;287;603;603;439
randomized;131,2000;300;603;603;434
randomized;124,2083333333;288;603;603;448
randomized;127,8958333333;290;603;603;444
randomized;131,0999999999;303;603;603;447
randomized;129,3416666666;296;603;603;430
randomized;127,6958333333;291;603;603;430
randomized;127,3249999999;292;603;603;429
randomized;131,5500000000;305;603;603;448
randomized;131,3583333333;300;603;603;432
randomized;128,3583333332;297;603;603;432
randomized;127,9833333333;294;603;603;438
randomized;127,1499999999;290;603;603;438
randomized;128,2000000000;296;603;603;439
randomized;127,9791666667;295;603;603;436
randomized;125,0833333333;291;603;603;443
randomized;128,0083333333;293;603;603;429
randomized;130,7000000000;301;603;603;436
randomized;130,5416666666;301;603;603;442
randomized;129,7625000000;293;603;603;440
randomized;128,5624999999;295;603;603;435
randomized;127,2249999999;295;603;603;442
randomized;129,8333333333;297;603;603;424
randomized;128,550;299;603;603;436
randomized;128,2083333333;296;603;603;434
randomized;129,9583333333;296;603;603;428
randomized;129,4583333333;297;603;603;432
randomized;130,1833333333;301;603;603;439
randomized;127,9833333333;294;603;603;425
randomized;128,6499999999;299;603;603;448
randomized;128,2333333332;299;603;603;431
randomized;128,8541666667;293;603;603;437
randomized;129,4750;302;603;603;444
randomized;131,2125;301;603;603;438
randomized;130,6458333333;298;603;603;435
randomized;130,6250000000;303;603;603;440
randomized;126,2500;290;603;603;442
randomized;131,4333333333;306;603;603;439
randomized;126,8250;294;603;603;436
randomized;127,0833333333;293;603;603;429
randomized;130,1541666666;300;603;603;442
randomized;131,7208333333;299;603;603;429
randomized;126,3791666666;288;603;603;440
