Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;3,6333333333;11;903;902;906
randomized;27,8666666665;85;903;902;95
randomized;27,7833333331;82;903;902;95
randomized;28,1166666665;80;903;902;93
randomized;29,3166666666;84;903;902;93
randomized;29,4666666665;83;903;902;95
randomized;27,2833333332;79;903;902;93
randomized;27,2333333331;80;903;902;92
randomized;28,0666666666;84;903;902;97
randomized;29,6999999999;85;903;902;93
randomized;27,3833333331;82;903;902;93
randomized;28,9999999998;81;903;902;94
randomized;28,1166666666;82;903;902;93
randomized;26,9833333331;77;903;902;94
randomized;28,8333333333;83;903;902;94
randomized;28,1499999998;80;903;902;93
randomized;27,4666666665;84;903;902;98
randomized;26,5666666665;80;903;902;94
randomized;26,8833333332;78;903;902;92
randomized;28,1833333331;83;903;902;95
randomized;26,9333333332;83;903;902;91
randomized;28,9999999998;88;903;902;98
randomized;26,7166666666;82;903;902;96
randomized;27,3333333331;80;903;902;91
randomized;28,1666666664;82;903;902;93
randomized;27,6666666665;85;903;902;96
randomized;28,1833333331;79;903;902;97
randomized;27,5166666664;79;903;902;94
randomized;28,0833333331;82;903;902;93
randomized;28,3333333331;83;903;902;94
randomized;27,7999999999;78;903;902;98
randomized;28,3833333331;83;903;902;92
randomized;27,9999999998;82;903;902;94
randomized;28,2833333331;83;903;902;92
randomized;27,0333333332;78;903;902;95
randomized;28,1333333331;80;903;902;96
randomized;27,9666666666;83;903;902;94
randomized;27,2999999998;81;903;902;98
randomized;27,6666666664;80;903;902;93
randomized;28,3999999998;85;903;902;93
randomized;27,3999999999;80;903;902;94
randomized;26,4333333332;79;903;902;93
randomized;28,1333333331;80;903;902;96
randomized;28,3166666664;82;903;902;95
randomized;27,9666666664;84;903;902;95
randomized;26,9499999998;80;903;902;93
randomized;28,5666666665;83;903;902;99
randomized;27,7666666665;79;903;902;90
randomized;26,6666666665;79;903;902;94
randomized;27,0666666665;81;903;902;95
randomized;28,8166666664;82;903;902;91
randomized;27,5166666665;84;903;902;96
randomized;25,7833333332;75;903;902;94
randomized;27,8999999998;85;903;902;94
randomized;26,5166666665;77;903;902;93
randomized;29,2166666665;82;903;902;95
randomized;27,7333333332;80;903;902;96
randomized;26,2166666665;80;903;902;90
randomized;26,4499999998;76;903;902;94
randomized;26,5166666665;78;903;902;93
randomized;27,7833333332;80;903;902;92
randomized;27,1999999999;80;903;902;94
randomized;28,3499999998;86;903;902;96
randomized;27,7833333331;83;903;902;93
randomized;25,9999999998;76;903;902;89
randomized;29,0333333332;82;903;902;92
randomized;28,3999999998;83;903;902;95
randomized;28,4833333332;85;903;902;97
randomized;27,6833333332;83;903;902;95
randomized;27,4166666665;83;903;902;93
randomized;27,2666666665;78;903;902;93
randomized;27,0833333332;82;903;902;93
randomized;26,9666666664;80;903;902;93
randomized;26,7666666666;79;903;902;96
randomized;28,2499999998;85;903;902;95
randomized;27,0166666666;79;903;902;96
randomized;27,3166666665;81;903;902;91
randomized;28,7666666666;80;903;902;94
randomized;27,0666666665;76;903;902;93
randomized;28,0999999999;81;903;902;96
randomized;26,7833333332;82;903;902;95
randomized;26,8833333332;82;903;902;96
randomized;27,0666666666;76;903;902;94
randomized;27,4499999999;81;903;902;93
randomized;27,5999999998;82;903;902;95
randomized;29,3499999998;84;903;902;97
randomized;27,7666666664;79;903;902;94
randomized;27,6499999998;80;903;902;94
randomized;27,1500000000;80;903;902;97
randomized;26,9499999998;77;903;902;93
randomized;27,1166666665;81;903;902;92
randomized;27,9166666665;82;903;902;95
randomized;27,9333333331;81;903;902;92
randomized;27,2666666665;80;903;902;95
randomized;28,7499999998;81;903;902;96
randomized;27,5499999998;83;903;902;93
randomized;27,9666666665;84;903;902;96
randomized;26,4833333331;80;903;902;93
randomized;27,1666666664;77;903;902;94
randomized;27,5166666664;79;903;902;94
randomized;28,7833333331;82;903;902;91
randomized;26,0833333333;82;903;902;94
randomized;28,1999999999;85;903;902;95
randomized;27,8166666665;79;903;902;92
randomized;29,4833333331;84;903;902;95
randomized;28,9833333331;83;903;902;95
randomized;28,1833333331;84;903;902;94
randomized;27,4833333331;77;903;902;93
randomized;27,5833333331;81;903;902;91
