Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;42,7333333333;31;635;636;644
randomized;251,2;358;635;636;383
randomized;249,4;341;635;636;384
randomized;248,4;352;635;636;382
randomized;253,0;358;635;636;382
randomized;242,6;346;635;636;380
randomized;244,6;343;635;636;383
randomized;251,4;360;635;636;381
randomized;251,4;346;635;636;383
randomized;254,8;356;635;636;383
randomized;252,6;351;635;636;384
randomized;252,0;355;635;636;383
randomized;251,0;355;635;636;383
randomized;257,0;352;635;636;384
randomized;247,4;352;635;636;383
randomized;254,6;358;635;636;383
randomized;244,8;348;635;636;382
randomized;245,2;339;635;636;383
randomized;245,8;345;635;636;382
randomized;249,8;352;635;636;383
randomized;252,0;361;635;636;382
randomized;241,6;348;635;636;380
randomized;246,8;345;635;636;382
randomized;248,2;347;635;636;382
randomized;248,6;352;635;636;382
randomized;248,0;345;635;636;382
randomized;251,0;352;635;636;384
randomized;252,8;345;635;636;385
randomized;248,8;349;635;636;384
randomized;247,6;343;635;636;382
randomized;253,8;357;635;636;382
randomized;253,2;354;635;636;384
randomized;252,0;341;635;636;384
randomized;252,4;351;635;636;383
randomized;252,4;359;635;636;381
randomized;244,6;346;635;636;382
randomized;244,2;352;635;636;381
randomized;243,2;348;635;636;381
randomized;250,6;353;635;636;384
randomized;248,0;345;635;636;382
randomized;252,8;353;635;636;383
randomized;256,6;359;635;636;383
randomized;255,4;355;635;636;384
randomized;252,6;348;635;636;384
randomized;247,8;349;635;636;382
randomized;247,2;345;635;636;383
randomized;246,2;353;635;636;381
randomized;257,8;364;635;636;384
randomized;243,0;350;635;636;379
randomized;256,2;355;635;636;384
randomized;244,8;348;635;636;381
randomized;256,6;355;635;636;385
randomized;258,6;365;635;636;384
randomized;244,0;343;635;636;381
randomized;239,8;339;635;636;382
randomized;252,2;344;635;636;385
randomized;246,8;351;635;636;382
randomized;246,4;345;635;636;384
randomized;246,0;344;635;636;382
randomized;255,8;345;635;636;385
randomized;250,0;347;635;636;381
randomized;238,6;336;635;636;380
randomized;249,2;353;635;636;381
randomized;253,6;350;635;636;382
randomized;252,2;350;635;636;385
randomized;249,0;340;635;636;383
randomized;246,4;347;635;636;381
randomized;251,2;351;635;636;383
randomized;250,6;346;635;636;383
randomized;241,4;354;635;636;379
randomized;247,8;344;635;636;383
randomized;249,2;352;635;636;380
randomized;253,4;350;635;636;385
randomized;258,6;356;635;636;385
randomized;251,4;356;635;636;382
randomized;245,4;351;635;636;381
randomized;244,8;351;635;636;380
randomized;250,8;355;635;636;383
randomized;248,6;353;635;636;382
randomized;245,0;352;635;636;381
randomized;246,8;350;635;636;381
randomized;246,2;348;635;636;382
randomized;245,8;347;635;636;382
randomized;245,6;348;635;636;381
randomized;256,4;360;635;636;382
randomized;250,4;354;635;636;382
randomized;255,8;355;635;636;383
randomized;247,0;355;635;636;384
randomized;253,6;350;635;636;383
randomized;240,4;347;635;636;381
randomized;250,0;355;635;636;382
randomized;244,6;348;635;636;381
randomized;247,6;346;635;636;383
randomized;251,0;355;635;636;383
randomized;256,4;350;635;636;384
randomized;247,6;351;635;636;382
randomized;250,6;352;635;636;383
randomized;251,2;348;635;636;383
randomized;247,6;347;635;636;381
randomized;249,2;351;635;636;382
randomized;253,6;355;635;636;384
randomized;244,6;349;635;636;381
randomized;251,6;344;635;636;387
randomized;248,0;348;635;636;384
randomized;246,6;349;635;636;383
