Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;0;0;162;162;163
randomized;144,1666666666;134;162;162;208
randomized;151,4791666667;142;162;162;198
randomized;142,4583333333;134;162;162;211
randomized;151,50000;140;162;162;199
randomized;138,6875000000;129;162;162;211
randomized;143,3333333333;133;162;162;205
randomized;146,9999999999;135;162;162;206
randomized;132,9791666667;125;162;162;207
randomized;143,4583333333;130;162;162;213
randomized;144,0625000000;132;162;162;215
randomized;151,1458333333;132;162;162;216
randomized;148,9375000000;134;162;162;216
randomized;141,93750;135;162;162;205
randomized;150,6666666667;134;162;162;208
randomized;147,9166666667;133;162;162;212
randomized;133,81250;127;162;162;209
randomized;145,8541666667;135;162;162;206
randomized;146,1666666666;134;162;162;205
randomized;147,2500;132;162;162;212
randomized;144,0208333333;128;162;162;214
randomized;154,5416666667;143;162;162;203
randomized;144,0416666666;129;162;162;215
randomized;150,18750;137;162;162;206
randomized;146,375;133;162;162;205
randomized;143,4375000000;128;162;162;216
randomized;147,0208333333;137;162;162;201
randomized;139,50000;132;162;162;198
randomized;131,6249999999;127;162;162;211
randomized;153,5833333333;142;162;162;201
randomized;147,8958333334;134;162;162;204
randomized;147,87500;136;162;162;204
randomized;155,9166666667;138;162;162;200
randomized;143,6041666666;132;162;162;210
randomized;151,0625000000;135;162;162;207
randomized;153,18750;138;162;162;206
randomized;154,1041666666;134;162;162;216
randomized;156,5208333333;138;162;162;213
randomized;141,2500000000;136;162;162;202
randomized;143,56250;130;162;162;210
randomized;139,2708333333;128;162;162;211
randomized;148,9583333333;135;162;162;214
randomized;153,93750;137;162;162;207
randomized;148,6875000000;134;162;162;211
randomized;149,6250000000;135;162;162;210
randomized;129,5416666667;118;162;162;217
randomized;134,5000000000;126;162;162;209
randomized;142,8541666665;135;162;162;204
randomized;140,5833333333;130;162;162;215
randomized;145,6250000000;136;162;162;205
randomized;144,2916666667;131;162;162;210
randomized;141,4375;136;162;162;200
randomized;142,0000000000;132;162;162;204
randomized;137,7708333333;133;162;162;206
randomized;137,1041666666;129;162;162;210
randomized;142,9791666666;131;162;162;206
randomized;141,1041666667;128;162;162;213
randomized;133,2083333333;124;162;162;207
randomized;135,93750;125;162;162;219
randomized;137,750;131;162;162;209
randomized;143,7083333332;136;162;162;203
randomized;136,7916666666;127;162;162;209
