Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;6,6666666667;8;603;603;605
randomized;140,4904761885;245;603;603;397
randomized;148,4511904739;255;603;603;387
randomized;151,2309523788;262;603;603;385
randomized;157,3761904738;267;603;603;385
randomized;156,8976190454;268;603;603;389
randomized;150,8190476166;272;603;603;379
randomized;146,9726190453;265;603;603;383
randomized;147,3499999981;262;603;603;395
randomized;153,7404761884;265;603;603;378
randomized;148,9380952358;260;603;603;382
randomized;145,6785714263;260;603;603;383
randomized;147,8499999977;258;603;603;381
randomized;153,9785714260;265;603;603;380
randomized;155,1404761882;269;603;603;380
randomized;145,2297619024;259;603;603;379
randomized;150,9071428548;265;603;603;384
randomized;149,0392857122;264;603;603;390
randomized;151,8547619023;262;603;603;373
randomized;154,3142857119;268;603;603;380
randomized;154,4357142833;275;603;603;378
randomized;158,7428571406;264;603;603;389
randomized;144,5654761880;255;603;603;387
randomized;154,4583333310;269;603;603;381
randomized;149,9738095214;253;603;603;397
randomized;149,3261904741;264;603;603;379
randomized;146,4499999978;258;603;603;388
randomized;148,0178571407;263;603;603;375
randomized;152,8071428548;255;603;603;394
randomized;154,1238095216;261;603;603;382
randomized;148,8892857121;260;603;603;387
randomized;150,6619047596;273;603;603;375
randomized;152,1392857124;251;603;603;395
randomized;149,0809523789;264;603;603;388
randomized;150,4571428549;257;603;603;385
randomized;156,2249999978;266;603;603;386
randomized;147,2416666645;259;603;603;383
randomized;145,2428571408;250;603;603;396
randomized;153,9857142834;269;603;603;383
randomized;147,4678571407;262;603;603;377
randomized;139,9440476170;242;603;603;399
randomized;151,7321428549;265;603;603;379
randomized;143,6773809503;251;603;603;400
randomized;154,2738095215;261;603;603;382
randomized;146,7857142838;255;603;603;390
randomized;149,7392857121;260;603;603;389
randomized;138,6904761888;251;603;603;394
randomized;154,8499999978;262;603;603;385
randomized;151,4428571409;265;603;603;392
randomized;147,7404761883;255;603;603;383
randomized;158,4630952358;266;603;603;386
randomized;143,9833333309;251;603;603;388
randomized;155,4714285690;275;603;603;379
randomized;150,1202380930;266;603;603;383
randomized;151,3857142834;263;603;603;392
randomized;155,9523809501;271;603;603;378
randomized;150,4654761879;270;603;603;378
randomized;140,8916666645;250;603;603;399
randomized;143,0309523789;251;603;603;399
randomized;149,0083333310;260;603;603;382
randomized;154,9988095212;272;603;603;378
randomized;154,6107142835;266;603;603;380
randomized;158,1190476168;277;603;603;383
randomized;151,5142857124;244;603;603;400
randomized;144,9999999977;263;603;603;380
randomized;145,9047619028;254;603;603;389
randomized;153,7464285691;265;603;603;389
randomized;155,4523809501;260;603;603;393
randomized;155,0357142835;267;603;603;385
randomized;152,4535714264;268;603;603;383
randomized;147,1511904740;257;603;603;389
randomized;148,9738095216;259;603;603;382
randomized;151,7035714261;265;603;603;385
randomized;140,5642857119;249;603;603;388
randomized;155,5488095215;273;603;603;379
randomized;147,3999999978;250;603;603;392
randomized;145,3869047597;255;603;603;391
randomized;148,5142857124;268;603;603;374
randomized;143,3083333310;256;603;603;388
randomized;151,6499999981;264;603;603;389
randomized;137,9714285694;246;603;603;397
randomized;148,6535714267;245;603;603;404
randomized;152,2678571408;261;603;603;388
randomized;151,5535714263;255;603;603;398
randomized;151,9964285690;261;603;603;387
randomized;155,6297619022;264;603;603;383
randomized;150,8178571405;258;603;603;395
randomized;155,9678571404;271;603;603;377
randomized;151,3976190455;259;603;603;393
randomized;147,9357142832;271;603;603;377
randomized;158,0047619025;273;603;603;386
randomized;152,9654761882;264;603;603;381
randomized;148,5190476165;263;603;603;385
randomized;154,8119047595;268;603;603;379
randomized;149,8702380930;262;603;603;385
randomized;142,1976190452;260;603;603;386
randomized;154,9999999977;272;603;603;374
randomized;150,2809523787;258;603;603;387
randomized;146,9547619027;263;603;603;393
randomized;153,3761904740;265;603;603;394
randomized;144,5821428548;264;603;603;387
randomized;137,9535714263;250;603;603;391
randomized;145,1952380928;257;603;603;387
randomized;148,5023809500;271;603;603;382
randomized;146,4404761883;259;603;603;385
randomized;155,0583333310;267;603;603;382
randomized;149,6249999976;261;603;603;388
randomized;151,3321428550;256;603;603;391
randomized;160,4928571403;268;603;603;387
randomized;148,3511904741;253;603;603;393
randomized;152,0035714264;262;603;603;385
randomized;150,0071428550;264;603;603;384
randomized;148,3178571406;263;603;603;379
randomized;143,1107142835;250;603;603;382
randomized;159,7392857118;272;603;603;385
randomized;148,4178571407;259;603;603;390
randomized;143,5226190453;253;603;603;383
randomized;148,5571428549;264;603;603;381
randomized;154,1571428548;263;603;603;386
randomized;143,3107142834;260;603;603;387
randomized;150,4607142833;261;603;603;387
randomized;151,3214285694;257;603;603;393
randomized;158,7630952360;263;603;603;389
randomized;152,0357142833;253;603;603;384
randomized;141,6678571406;258;603;603;387
randomized;147,6476190455;255;603;603;389
randomized;150,6690476163;269;603;603;377
randomized;150,5249999980;263;603;603;391
randomized;150,4452380929;266;603;603;376
randomized;155,1999999977;271;603;603;378
randomized;142,7130952360;263;603;603;384
randomized;158,8999999978;260;603;603;393
randomized;142,6214285692;260;603;603;388
randomized;148,9607142835;257;603;603;392
randomized;153,5630952358;275;603;603;376
randomized;147,5642857124;248;603;603;392
randomized;148,1928571407;258;603;603;388
randomized;149,5190476172;259;603;603;389
randomized;146,8095238072;264;603;603;381
randomized;147,6083333312;267;603;603;383
randomized;150,9714285694;267;603;603;384
randomized;150,2797619025;260;603;603;384
randomized;156,5726190453;262;603;603;391
randomized;149,6928571404;266;603;603;380
randomized;148,0142857123;254;603;603;387
randomized;152,6988095215;264;603;603;382
randomized;153,0464285689;270;603;603;371
randomized;158,6523809501;263;603;603;389
randomized;149,6071428546;266;603;603;385
randomized;145,2511904742;249;603;603;390
randomized;152,4583333311;260;603;603;378
randomized;151,6678571405;268;603;603;384
randomized;157,2321428549;263;603;603;394
randomized;142,1107142835;250;603;603;394
randomized;152,2511904739;265;603;603;381
randomized;141,5464285694;250;603;603;392
randomized;150,1761904739;265;603;603;387
randomized;145,7749999978;266;603;603;380
randomized;152,1619047593;271;603;603;387
randomized;146,5999999977;259;603;603;388
randomized;148,4011904740;272;603;603;379
randomized;147,7464285693;259;603;603;388
randomized;149,4535714263;267;603;603;383
randomized;155,2071428549;268;603;603;384
randomized;154,0392857121;264;603;603;383
randomized;144,5714285693;250;603;603;385
randomized;144,9928571407;262;603;603;377
randomized;145,8285714265;256;603;603;394
randomized;153,1059523786;271;603;603;382
randomized;147,6357142835;260;603;603;386
randomized;149,6690476164;267;603;603;385
randomized;151,5535714265;257;603;603;399
randomized;148,5285714263;263;603;603;387
randomized;158,6869047596;274;603;603;378
randomized;154,7773809505;261;603;603;391
randomized;146,2702380933;245;603;603;399
randomized;150,7249999978;264;603;603;384
