Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;0,4;1;289;290;243
randomized;45,9000;106;289;290;153
randomized;45,9000;105;289;290;156
randomized;44,975;107;289;290;158
randomized;44,450;104;289;290;153
randomized;42,925;102;289;290;158
randomized;46,2250;109;289;290;159
randomized;43,475;97;289;290;147
randomized;45,200;108;289;290;157
randomized;46,225;107;289;290;152
randomized;44,9333333333;104;289;290;152
randomized;46,050;108;289;290;156
randomized;41,8250;96;289;290;151
randomized;43,750;99;289;290;150
randomized;41,3083333333;94;289;290;151
randomized;45,350;108;289;290;161
randomized;46,3333333333;107;289;290;154
randomized;44,6000;103;289;290;162
randomized;44,75;102;289;290;155
randomized;44,80;103;289;290;149
randomized;45,75;107;289;290;154
randomized;46,1833333333;108;289;290;162
randomized;43,725;102;289;290;153
randomized;44,775;104;289;290;152
randomized;44,675;107;289;290;156
randomized;46,775;108;289;290;157
randomized;45,250;103;289;290;152
randomized;44,2333333333;103;289;290;156
randomized;44,350;107;289;290;157
randomized;46,35;107;289;290;151
randomized;47,000;106;289;290;153
randomized;44,7083333333;106;289;290;150
randomized;45,90;105;289;290;149
randomized;45,050;105;289;290;157
randomized;44,90;104;289;290;156
randomized;45,5333333333;108;289;290;155
randomized;45,750;109;289;290;160
randomized;46,9833333333;107;289;290;148
randomized;42,1250;96;289;290;154
randomized;44,250;102;289;290;156
randomized;45,5333333333;109;289;290;157
randomized;45,700;105;289;290;149
randomized;43,8166666666;104;289;290;153
randomized;45,5583333333;106;289;290;154
randomized;43,975;103;289;290;161
randomized;45,8333333333;105;289;290;151
randomized;44,8583333333;103;289;290;152
randomized;43,925;100;289;290;151
randomized;45,850;109;289;290;158
randomized;45,150;103;289;290;152
randomized;43,525;99;289;290;156
randomized;45,050;102;289;290;146
randomized;46,3000;109;289;290;153
randomized;45,0583333333;104;289;290;153
randomized;44,300;104;289;290;154
randomized;43,6333333333;101;289;290;158
randomized;45,725;107;289;290;156
randomized;44,3833333333;103;289;290;150
randomized;46,150;107;289;290;151
randomized;44,8500;101;289;290;158
randomized;46,475;107;289;290;153
randomized;46,8833333333;110;289;290;153
randomized;44,100;101;289;290;155
randomized;45,9833333333;109;289;290;157
randomized;45,00;103;289;290;144
randomized;46,375;109;289;290;153
randomized;44,400;104;289;290;149
randomized;46,850;107;289;290;157
randomized;46,5500;109;289;290;163
randomized;43,100;102;289;290;153
randomized;44,475;103;289;290;153
randomized;48,00;111;289;290;149
randomized;46,1000;106;289;290;153
randomized;45,000;104;289;290;146
randomized;44,4833333333;105;289;290;155
randomized;46,3166666667;109;289;290;156
randomized;48,675;110;289;290;148
randomized;43,475;104;289;290;156
randomized;44,3750;101;289;290;153
randomized;45,050;106;289;290;160
randomized;45,150;104;289;290;150
randomized;43,850;101;289;290;148
randomized;46,50;109;289;290;152
randomized;46,5000;108;289;290;155
randomized;45,950;108;289;290;155
randomized;43,95;103;289;290;150
randomized;46,5833333333;105;289;290;150
randomized;45,3666666666;105;289;290;152
randomized;44,4000;104;289;290;157
randomized;47,750;108;289;290;154
randomized;46,350;110;289;290;157
randomized;45,9333333333;108;289;290;153
