Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;42,5;28;635;636;644
randomized;253,8125;268;635;636;433
randomized;277,4583333333;284;635;636;431
randomized;266,3750;282;635;636;426
randomized;263,5625;272;635;636;435
randomized;272,8125;288;635;636;429
randomized;257,5000;269;635;636;439
randomized;259,250;284;635;636;420
randomized;280,0000;289;635;636;430
randomized;272,3125;291;635;636;424
randomized;265,9583333333;273;635;636;431
randomized;271,5000000000;277;635;636;434
randomized;278,6250;285;635;636;438
randomized;271,3750;284;635;636;426
randomized;264,1250000000;274;635;636;429
randomized;275,5833333334;283;635;636;435
randomized;270,9583333334;279;635;636;431
randomized;270,1875;279;635;636;427
randomized;269,0833333333;282;635;636;430
randomized;269,2500;274;635;636;431
randomized;282,7500000000;288;635;636;434
randomized;265,0208333333;282;635;636;427
randomized;276,5000;280;635;636;436
randomized;271,2083333333;276;635;636;440
randomized;279,0000;287;635;636;418
randomized;266,0416666666;279;635;636;428
randomized;272,3750;281;635;636;429
randomized;278,6458333333;284;635;636;433
randomized;280,2500;288;635;636;421
randomized;282,3750;292;635;636;427
randomized;275,0833333333;294;635;636;418
randomized;274,2083333333;287;635;636;422
randomized;275,2083333333;279;635;636;427
randomized;281,1875;284;635;636;435
randomized;261,4583333333;275;635;636;435
randomized;277,125;287;635;636;431
randomized;270,2916666666;277;635;636;434
randomized;272,5625;276;635;636;435
randomized;269,7916666666;280;635;636;435
randomized;260,3333333333;265;635;636;436
randomized;286,2083333333;291;635;636;422
randomized;283,3541666666;287;635;636;434
randomized;271,1250;286;635;636;423
randomized;276,8750;280;635;636;432
randomized;255,6041666667;265;635;636;442
randomized;271,0833333333;280;635;636;432
randomized;269,8333333333;276;635;636;438
randomized;271,7291666667;279;635;636;422
randomized;280,5625;288;635;636;428
randomized;277,4375000000;288;635;636;419
randomized;267,1250;273;635;636;430
randomized;270,6666666667;286;635;636;430
randomized;269,000;276;635;636;436
randomized;261,3750;270;635;636;431
randomized;262,4166666667;280;635;636;428
randomized;276,875;284;635;636;428
randomized;261,0000;274;635;636;426
randomized;263,375;280;635;636;424
randomized;267,5416666666;287;635;636;421
randomized;266,0000;273;635;636;433
randomized;265,4583333333;272;635;636;441
randomized;271,3125;279;635;636;426
randomized;270,1875;280;635;636;430
randomized;289,3333333333;289;635;636;431
randomized;262,7500;278;635;636;431
randomized;272,2916666667;278;635;636;437
randomized;274,9375000000;285;635;636;425
randomized;265,3125;277;635;636;436
randomized;271,8125;277;635;636;435
randomized;256,2500;262;635;636;436
randomized;271,2083333333;282;635;636;423
randomized;269,1458333333;281;635;636;430
randomized;259,5416666666;274;635;636;438
randomized;271,1250000000;275;635;636;437
randomized;269,1875;277;635;636;435
randomized;268,0000000000;281;635;636;432
randomized;267,0833333333;277;635;636;440
randomized;272,2500;272;635;636;442
randomized;262,8541666666;273;635;636;426
randomized;261,5208333333;276;635;636;435
randomized;259,0833333333;278;635;636;428
randomized;248,4375;269;635;636;431
randomized;278,7500;281;635;636;430
randomized;255,750;276;635;636;431
randomized;261,0833333333;281;635;636;423
randomized;269,250;275;635;636;432
randomized;267,750;280;635;636;437
randomized;263,3958333333;275;635;636;428
randomized;263,3125;275;635;636;430
randomized;261,5208333333;277;635;636;433
randomized;267,6250;273;635;636;441
randomized;273,375;283;635;636;430
randomized;274,5833333333;287;635;636;425
randomized;288,6875;294;635;636;425
randomized;271,0000;286;635;636;427
randomized;276,0000;292;635;636;427
randomized;276,6666666666;288;635;636;422
randomized;259,2916666667;274;635;636;429
randomized;259,4375;272;635;636;436
randomized;266,5833333333;285;635;636;416
randomized;278,1875;291;635;636;421
randomized;263,9375;273;635;636;435
randomized;268,1875;279;635;636;433
randomized;270,5000;275;635;636;431
randomized;272,3750;281;635;636;425
randomized;269,7916666667;280;635;636;435
randomized;266,8749999999;277;635;636;436
randomized;260,6250000000;276;635;636;428
randomized;273,0833333333;278;635;636;427
randomized;256,3750;275;635;636;421
randomized;266,7500;280;635;636;434
randomized;264,7500;279;635;636;422
randomized;278,0208333333;289;635;636;424
randomized;280,2083333333;291;635;636;431
randomized;265,5416666667;278;635;636;428
randomized;284,2083333333;295;635;636;427
randomized;274,1250;285;635;636;425
randomized;273,0416666667;283;635;636;428
randomized;254,8333333333;270;635;636;443
randomized;274,0000000000;282;635;636;431
randomized;269,8958333333;284;635;636;420
randomized;270,3125000000;285;635;636;431
randomized;278,4166666666;285;635;636;422
randomized;255,1666666667;279;635;636;425
randomized;255,4583333333;274;635;636;427
randomized;269,9791666667;281;635;636;433
randomized;261,2916666666;275;635;636;434
randomized;268,3750;282;635;636;433
randomized;253,5000;273;635;636;425
randomized;272,3333333333;285;635;636;424
randomized;271,3958333333;274;635;636;442
randomized;260,1666666666;272;635;636;441
randomized;273,125;287;635;636;425
randomized;270,6458333333;276;635;636;434
randomized;275,5000;283;635;636;431
randomized;265,4583333333;278;635;636;430
randomized;263,0208333333;270;635;636;443
randomized;265,5000;282;635;636;433
randomized;269,2291666667;284;635;636;426
randomized;272,0833333333;285;635;636;429
randomized;264,4583333333;281;635;636;428
randomized;264,3333333333;271;635;636;437
randomized;268,7708333333;283;635;636;420
randomized;268,0000;270;635;636;440
randomized;277,0000000000;283;635;636;429
randomized;262,2083333333;276;635;636;422
randomized;276,3125;287;635;636;433
randomized;269,4583333334;276;635;636;433
randomized;267,5625;284;635;636;423
randomized;267,7083333333;282;635;636;426
randomized;254,2083333333;262;635;636;433
randomized;251,9166666667;269;635;636;428
randomized;274,3750;284;635;636;428
randomized;268,5000;278;635;636;438
randomized;264,0833333333;279;635;636;422
randomized;262,4166666667;287;635;636;418
randomized;274,4999999999;281;635;636;431
randomized;269,4166666667;280;635;636;437
randomized;265,6666666666;275;635;636;434
randomized;280,1249999999;286;635;636;430
randomized;258,8125;272;635;636;430
randomized;256,1875;270;635;636;439
randomized;271,5833333333;282;635;636;427
