Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;12,8833333333;31;635;636;650
randomized;119,20;359;635;636;421
randomized;120,45;358;635;636;418
randomized;121,35;364;635;636;421
randomized;117,85;359;635;636;419
randomized;120,25;356;635;636;418
randomized;120,80;357;635;636;422
randomized;120,05;356;635;636;421
randomized;121,25;362;635;636;424
randomized;121,80;354;635;636;423
randomized;120,45;361;635;636;423
randomized;122,05;365;635;636;425
randomized;121,25;357;635;636;425
randomized;119,60;359;635;636;419
randomized;118,40;352;635;636;419
randomized;119,60;360;635;636;421
randomized;120,20;361;635;636;426
randomized;118,65;359;635;636;421
randomized;120,20;359;635;636;420
randomized;119,55;358;635;636;419
randomized;117,60;354;635;636;418
randomized;119,20;360;635;636;422
randomized;119,85;355;635;636;420
randomized;119,05;358;635;636;422
randomized;120,10;354;635;636;427
randomized;121,35;357;635;636;423
randomized;119,30;352;635;636;421
randomized;119,60;354;635;636;418
randomized;120,85;357;635;636;424
randomized;120,35;355;635;636;425
randomized;120,70;355;635;636;420
randomized;118,95;356;635;636;420
randomized;118,10;352;635;636;423
randomized;120,10;360;635;636;420
randomized;120,90;357;635;636;422
randomized;121,35;355;635;636;421
randomized;121,85;362;635;636;428
randomized;122,60;380;635;636;417
randomized;120,60;355;635;636;418
randomized;121,85;362;635;636;417
randomized;121,85;353;635;636;424
randomized;119,85;353;635;636;418
randomized;118,95;363;635;636;416
randomized;118,60;356;635;636;414
randomized;120,05;363;635;636;420
randomized;120,45;351;635;636;419
randomized;120,45;363;635;636;416
randomized;121,00;355;635;636;421
randomized;120,95;365;635;636;419
randomized;120,05;360;635;636;420
randomized;121,00;363;635;636;420
randomized;119,75;364;635;636;416
randomized;118,55;355;635;636;417
randomized;117,40;358;635;636;419
randomized;120,70;359;635;636;428
randomized;118,85;361;635;636;417
randomized;118,65;354;635;636;415
randomized;116,20;354;635;636;414
randomized;118,30;356;635;636;418
randomized;120,15;356;635;636;415
randomized;120,45;362;635;636;429
randomized;117,60;355;635;636;421
randomized;120,20;365;635;636;417
randomized;119,85;362;635;636;430
randomized;119,65;355;635;636;429
randomized;117,25;353;635;636;411
randomized;117,10;356;635;636;417
randomized;120,15;354;635;636;417
randomized;115,95;350;635;636;412
randomized;118,50;351;635;636;422
randomized;119,95;352;635;636;413
randomized;120,15;359;635;636;422
randomized;118,75;357;635;636;417
randomized;119,05;362;635;636;421
randomized;122,50;367;635;636;418
randomized;117,40;348;635;636;413
randomized;121,15;354;635;636;420
randomized;119,65;363;635;636;418
randomized;119,95;359;635;636;415
randomized;120,00;359;635;636;420
randomized;118,10;359;635;636;413
randomized;120,30;360;635;636;414
randomized;118,15;352;635;636;420
randomized;119,90;360;635;636;414
randomized;122,05;364;635;636;419
randomized;120,05;347;635;636;421
randomized;118,50;351;635;636;415
randomized;119,65;359;635;636;413
randomized;121,80;366;635;636;419
randomized;122,40;362;635;636;418
randomized;119,05;355;635;636;413
randomized;120,05;364;635;636;425
randomized;121,00;354;635;636;420
randomized;120,80;362;635;636;419
randomized;119,15;352;635;636;415
randomized;119,50;358;635;636;416
randomized;120,60;361;635;636;424
randomized;120,00;359;635;636;429
randomized;121,05;364;635;636;423
randomized;118,55;353;635;636;422
randomized;119,45;365;635;636;419
randomized;118,45;348;635;636;419
randomized;119,95;356;635;636;425
randomized;119,60;362;635;636;423
randomized;120,20;361;635;636;423
randomized;118,25;357;635;636;418
randomized;119,35;362;635;636;423
randomized;119,50;358;635;636;420
randomized;120,75;361;635;636;417
randomized;119,95;354;635;636;422
randomized;121,05;367;635;636;422
randomized;120,20;356;635;636;424
randomized;118,75;348;635;636;418
randomized;121,35;362;635;636;420
randomized;120,80;359;635;636;424
randomized;120,05;352;635;636;421
randomized;117,80;348;635;636;413
randomized;120,15;364;635;636;418
randomized;118,65;353;635;636;423
randomized;122,50;364;635;636;416
randomized;121,15;356;635;636;422
randomized;121,70;356;635;636;424
randomized;121,80;358;635;636;421
randomized;120,80;369;635;636;419
randomized;119,65;356;635;636;422
randomized;119,05;348;635;636;422
randomized;120,35;348;635;636;424
randomized;121,50;355;635;636;416
randomized;119,80;357;635;636;416
randomized;119,70;356;635;636;416
randomized;120,40;360;635;636;415
randomized;121,25;366;635;636;415
randomized;122,20;365;635;636;423
randomized;121,25;361;635;636;421
randomized;121,40;366;635;636;423
randomized;120,75;363;635;636;424
