Source;Distance;Number of Changes;LengthSequenceA;LengthSequenceB;LengthBacktrace
original;0;0;162;162;136
randomized;86,56250;105;162;162;164
randomized;88,7083333334;110;162;162;158
randomized;84,50000;104;162;162;162
randomized;91,2500000000;105;162;162;163
randomized;90,7708333333;104;162;162;161
randomized;84,62500;109;162;162;160
randomized;85,8124999999;106;162;162;163
randomized;81,25000;98;162;162;169
randomized;92,0833333333;107;162;162;161
randomized;92,8333333333;111;162;162;153
randomized;88,0625000000;99;162;162;162
randomized;85,43750;101;162;162;169
randomized;87,7291666667;104;162;162;164
randomized;84,6666666667;103;162;162;163
randomized;84,0833333333;104;162;162;162
randomized;88,37500;111;162;162;154
randomized;85,6666666666;108;162;162;162
randomized;84,2916666666;104;162;162;162
randomized;87,5000000001;106;162;162;162
randomized;86,9583333333;108;162;162;163
randomized;86,1250000001;101;162;162;163
randomized;88,4375;107;162;162;159
randomized;85,0208333333;101;162;162;161
randomized;83,5208333333;98;162;162;169
randomized;87,7083333333;105;162;162;161
randomized;84,1458333333;101;162;162;164
randomized;87,5833333333;103;162;162;167
randomized;89,4583333334;106;162;162;160
randomized;89,2916666666;104;162;162;162
randomized;86,3333333334;101;162;162;173
randomized;83,3333333334;102;162;162;165
randomized;89,4375000001;99;162;162;170
randomized;88,2500000000;104;162;162;164
randomized;85,5833333334;106;162;162;157
randomized;86,7083333333;102;162;162;163
randomized;80,6875000000;101;162;162;161
randomized;84,6250000000;100;162;162;162
randomized;83,8958333334;102;162;162;163
randomized;87,2916666666;110;162;162;159
randomized;84,75000;106;162;162;159
randomized;87,8333333333;103;162;162;162
randomized;88,0625000000;105;162;162;163
randomized;89,1250000000;108;162;162;161
randomized;84,2291666666;102;162;162;164
randomized;86,6249999999;105;162;162;163
randomized;84,9583333334;104;162;162;164
randomized;83,9166666667;100;162;162;164
randomized;83,1041666666;101;162;162;168
randomized;86,8125000000;99;162;162;164
randomized;81,1250000000;98;162;162;172
randomized;84,9583333333;107;162;162;162
randomized;87,68750;106;162;162;165
randomized;85,9583333333;101;162;162;168
randomized;85,0208333333;105;162;162;159
randomized;88,7500000000;104;162;162;158
randomized;89,3750000000;110;162;162;158
randomized;83,8125000000;103;162;162;163
randomized;79,6041666667;95;162;162;170
randomized;89,4166666666;105;162;162;162
randomized;81,4791666667;100;162;162;168
randomized;86,7291666667;101;162;162;165
randomized;85,2916666666;101;162;162;164
randomized;91,2708333333;112;162;162;152
randomized;86,2083333333;101;162;162;166
randomized;77,8749999999;98;162;162;169
randomized;85,0833333333;101;162;162;165
randomized;87,2291666666;104;162;162;162
randomized;83,1458333333;104;162;162;159
randomized;87,0000000000;105;162;162;158
randomized;84,3124999999;105;162;162;163
randomized;90,7083333333;103;162;162;162
randomized;88,8333333333;104;162;162;163
randomized;88,4583333333;106;162;162;157
randomized;84,2083333334;101;162;162;164
randomized;92,6041666667;108;162;162;161
randomized;90,6875000000;102;162;162;167
randomized;88,5833333334;104;162;162;164
randomized;87,4791666667;110;162;162;157
randomized;89,9583333334;113;162;162;154
randomized;82,5624999999;103;162;162;164
randomized;82,6875000000;101;162;162;169
randomized;83,6875000000;101;162;162;163
randomized;86,2916666666;102;162;162;162
randomized;86,2083333334;106;162;162;160
randomized;84,6250000001;99;162;162;164
randomized;86,3333333333;97;162;162;169
randomized;84,9166666666;101;162;162;166
randomized;82,3541666667;96;162;162;166
randomized;81,6666666666;104;162;162;164
randomized;88,1041666667;102;162;162;165
randomized;87,0833333333;104;162;162;162
randomized;88,0000000000;106;162;162;160
randomized;88,6666666666;109;162;162;160
randomized;83,3958333333;95;162;162;171
randomized;88,93750;103;162;162;160
randomized;85,5416666667;107;162;162;163
randomized;86,5833333332;102;162;162;163
randomized;86,3333333333;106;162;162;159
randomized;87,6458333333;106;162;162;161
randomized;84,9166666666;100;162;162;167
randomized;84,5833333333;105;162;162;166
randomized;85,68750;102;162;162;167
randomized;84,2708333334;102;162;162;161
randomized;88,0833333333;105;162;162;159
randomized;88,8541666666;107;162;162;163
randomized;83,87500;103;162;162;162
randomized;85,3541666667;102;162;162;163
randomized;87,0208333333;103;162;162;169
randomized;90,0000000000;101;162;162;169
randomized;84,8333333333;108;162;162;163
randomized;82,0000000000;101;162;162;169
randomized;85,4166666667;102;162;162;161
randomized;90,43750;108;162;162;160
randomized;83,2291666666;101;162;162;167
randomized;88,6041666667;102;162;162;164
randomized;86,4583333333;104;162;162;164
randomized;87,6041666667;108;162;162;156
randomized;80,5208333333;99;162;162;166
randomized;85,87500;107;162;162;165
randomized;79,8125000000;99;162;162;171
randomized;88,1250;106;162;162;158
randomized;81,7083333333;96;162;162;172
randomized;90,2916666666;103;162;162;169
randomized;88,1250000000;105;162;162;162
randomized;87,1666666667;111;162;162;161
randomized;89,8541666667;99;162;162;168
randomized;81,4166666667;98;162;162;166
randomized;91,2500000000;112;162;162;153
randomized;83,2083333333;104;162;162;163
randomized;89,7083333333;110;162;162;160
randomized;89,12500;109;162;162;158
randomized;82,9583333333;97;162;162;166
randomized;89,75000;106;162;162;164
randomized;88,3750000000;107;162;162;161
randomized;83,3125000000;96;162;162;169
randomized;88,7291666667;108;162;162;159
randomized;87,1666666666;103;162;162;170
randomized;85,50000;99;162;162;171
randomized;89,8958333333;112;162;162;157
randomized;89,8958333333;103;162;162;167
randomized;80,2916666667;98;162;162;165
randomized;86,9166666666;105;162;162;162
randomized;87,1041666667;105;162;162;163
randomized;84,3750000000;97;162;162;171
randomized;85,2083333333;102;162;162;161
randomized;92,4166666666;110;162;162;163
randomized;88,43750;106;162;162;164
randomized;80,62500;99;162;162;164
randomized;79,0208333333;98;162;162;165
randomized;81,3541666667;100;162;162;163
randomized;87,9166666666;107;162;162;161
randomized;93,6458333334;108;162;162;160
randomized;82,5208333334;102;162;162;165
randomized;85,8750000000;106;162;162;158
randomized;79,5416666667;95;162;162;167
randomized;83,37500;97;162;162;164
randomized;87,2083333333;106;162;162;165
randomized;84,7083333333;103;162;162;157
randomized;83,4999999999;104;162;162;163
randomized;88,2500000000;103;162;162;163
randomized;85,81250;100;162;162;166
randomized;83,0000000000;99;162;162;164
randomized;88,8124999999;105;162;162;166
randomized;86,3333333333;103;162;162;166
randomized;85,9791666666;103;162;162;166
randomized;89,3333333333;107;162;162;164
randomized;89,6250000000;110;162;162;155
randomized;84,2916666667;98;162;162;169
randomized;82,7291666667;105;162;162;161
randomized;84,4166666667;102;162;162;163
randomized;88,5208333333;108;162;162;160
randomized;86,1666666666;103;162;162;163
randomized;86,75000;104;162;162;164
randomized;85,9791666666;104;162;162;167
randomized;89,7916666666;106;162;162;160
randomized;82,81250;102;162;162;168
